Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2001-07-19,15.1,15.29,15.0,15.17,34994300.0,0.0,1.0,11.907899138063,12.057733630529,11.829038878871,11.963101319498,34994300.0
2001-07-20,15.05,15.05,14.8,15.01,9238500.0,0.0,1.0,11.868469008467,11.868469008467,11.671318360486,11.83692490479,9238500.0
2001-07-23,15.0,15.01,14.55,15.0,7501000.0,0.0,1.0,11.829038878871,11.83692490479,11.474167712505,11.829038878871,7501000.0
2001-07-24,14.95,14.97,14.7,14.86,3537300.0,0.0,1.0,11.789608749275,11.805380801113,11.592458101294,11.718634516001,3537300.0
2001-07-25,14.7,14.95,14.65,14.95,4208100.0,0.0,1.0,11.592458101294,11.789608749275,11.553027971697,11.789608749275,4208100.0
2001-07-26,14.95,14.99,14.5,14.5,6335300.0,0.0,1.0,11.789608749275,11.821152852952,11.434737582909,11.434737582909,6335300.0
2001-07-27,14.51,14.59,14.5,14.51,3524000.0,0.0,1.0,11.442623608828,11.505711816182,11.434737582909,11.442623608828,3524000.0
2001-07-30,14.5,14.78,14.5,14.7,3654300.0,0.0,1.0,11.434737582909,11.655546308648,11.434737582909,11.592458101294,3654300.0
2001-07-31,14.71,15.01,14.6,14.96,1429000.0,0.0,1.0,11.600344127213,11.83692490479,11.513597842101,11.797494775194,1429000.0
2001-08-01,15.0,15.5,14.9,15.5,2087900.0,0.0,1.0,11.829038878871,12.223340174833,11.750178619678,12.223340174833,2087900.0
2001-08-02,15.4,15.5,15.1,15.4,1717400.0,0.0,1.0,12.144479915641,12.223340174833,11.907899138063,12.144479915641,1717400.0
2001-08-03,15.4,15.4,14.98,15.15,983600.0,0.0,1.0,12.144479915641,12.144479915641,11.813266827032,11.94732926766,983600.0
2001-08-06,15.15,15.22,15.02,15.1,777400.0,0.0,1.0,11.94732926766,12.002531449094,11.844810930709,11.907899138063,777400.0
2001-08-07,15.1,15.55,15.1,15.5,788900.0,0.0,1.0,11.907899138063,12.26277030443,11.907899138063,12.223340174833,788900.0
