Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,39.75,39.81,37.81,38.0,181500.0,0.0,1.0,11.222634432967,11.239574258526,10.674913406553,10.728556187491,181500.0
2000-01-04,38.0,38.0,37.31,37.5,250900.0,0.0,1.0,10.728556187491,10.728556187491,10.53374819356,10.587390974497,250900.0
2000-01-05,37.63,37.75,37.38,37.75,108100.0,0.0,1.0,10.624093929876,10.657973580994,10.553511323379,10.657973580994,108100.0
2000-01-06,37.81,38.75,37.81,38.63,71000.0,0.0,1.0,10.674913406553,10.940304006981,10.674913406553,10.906424355862,71000.0
2000-01-07,38.63,39.38,38.63,39.06,108300.0,0.0,1.0,10.906424355862,11.118172175352,10.906424355862,11.027826439036,108300.0
2000-01-10,39.0,39.75,38.88,39.69,244100.0,0.0,1.0,11.010886613477,11.222634432967,10.977006962359,11.205694607408,244100.0
2000-01-11,39.75,39.75,38.56,39.5,292800.0,0.0,1.0,11.222634432967,11.222634432967,10.886661226043,11.152051826471,292800.0
2000-01-12,39.63,39.63,39.38,39.5,55600.0,0.0,1.0,11.188754781849,11.188754781849,11.118172175352,11.152051826471,55600.0
2000-01-13,39.38,39.5,38.81,38.88,60300.0,0.0,1.0,11.118172175352,11.152051826471,10.95724383254,10.977006962359,60300.0
2000-01-14,38.94,39.19,37.5,37.56,1043900.0,0.0,1.0,10.993946787918,11.064529394415,10.587390974497,10.604330800057,1043900.0
2000-01-18,37.56,38.19,37.38,38.19,95100.0,0.0,1.0,10.604330800057,10.782198968428,10.553511323379,10.782198968428,95100.0
2000-01-19,38.06,38.81,38.06,38.5,96900.0,0.0,1.0,10.74549601305,10.95724383254,10.74549601305,10.869721400484,96900.0
2000-01-20,38.31,38.44,37.81,37.88,65300.0,0.0,1.0,10.816078619547,10.852781574925,10.674913406553,10.694676536372,65300.0
2000-01-21,37.88,38.19,37.5,38.19,151600.0,0.0,1.0,10.694676536372,10.782198968428,10.587390974497,10.782198968428,151600.0
2000-01-24,38.06,38.13,37.69,37.75,75900.0,0.0,1.0,10.74549601305,10.765259142869,10.641033755435,10.657973580994,75900.0
2000-01-25,37.81,38.0,37.19,37.25,298000.0,0.0,1.0,10.674913406553,10.728556187491,10.499868542442,10.516808368001,298000.0
2000-01-26,37.25,37.25,36.63,36.94,182000.0,0.0,1.0,10.516808368001,10.516808368001,10.341763503889,10.429285935945,182000.0
2000-01-27,37.0,37.88,37.0,37.75,226500.0,0.0,1.0,10.446225761504,10.694676536372,10.446225761504,10.657973580994,226500.0
2000-01-28,37.81,38.13,37.38,37.75,268000.0,0.0,1.0,10.674913406553,10.765259142869,10.553511323379,10.657973580994,268000.0
2000-01-31,37.75,37.88,37.63,37.88,144800.0,0.0,1.0,10.657973580994,10.694676536372,10.624093929876,10.694676536372,144800.0
2000-02-01,37.88,38.25,37.44,37.94,164800.0,0.0,1.0,10.694676536372,10.799138793987,10.570451148938,10.711616361931,164800.0
2000-02-02,37.25,38.12,37.25,37.88,142900.0,0.7,1.0,10.711152767621,10.961319288636,10.711152767621,10.892307834563,142900.0
2000-02-03,37.88,37.94,37.69,37.88,113900.0,0.0,1.0,10.892307834563,10.909560698081,10.837673766755,10.892307834563,113900.0
2000-02-04,37.88,37.94,36.5,36.69,1786200.0,0.0,1.0,10.892307834563,10.909560698081,10.495491973642,10.55012604145,1786200.0
2000-02-07,36.69,36.94,36.56,36.75,130000.0,0.0,1.0,10.55012604145,10.622012972776,10.51274483716,10.567378904968,130000.0
2000-02-08,36.75,37.13,36.63,37.13,163200.0,0.0,1.0,10.567378904968,10.676647040584,10.532873177931,10.676647040584,163200.0
