Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2001-01-30,18.13,18.19,16.25,16.88,812300.0,0.0,1.0,18.13,18.19,16.25,16.88,812300.0
2001-01-31,17.13,17.19,13.44,13.5,1212700.0,0.0,1.0,17.13,17.19,13.44,13.5,1212700.0
2001-02-01,13.13,14.38,13.0,14.19,669100.0,0.0,1.0,13.13,14.38,13.0,14.19,669100.0
2001-02-02,14.0,14.56,13.75,14.13,775000.0,0.0,1.0,14.0,14.56,13.75,14.13,775000.0
2001-02-05,14.44,14.5,13.88,14.13,489400.0,0.0,1.0,14.44,14.5,13.88,14.13,489400.0
2001-02-06,14.02,14.06,13.88,14.0,737900.0,0.0,1.0,14.02,14.06,13.88,14.0,737900.0
2001-02-07,14.0,14.06,13.0,13.06,1361000.0,0.0,1.0,14.0,14.06,13.0,13.06,1361000.0
2001-02-08,13.13,13.19,13.0,13.06,712000.0,0.0,1.0,13.13,13.19,13.0,13.06,712000.0
2001-02-09,13.05,13.06,11.88,12.0,1100800.0,0.0,1.0,13.05,13.06,11.88,12.0,1100800.0
2001-02-12,12.05,12.13,10.94,11.06,552000.0,0.0,1.0,12.05,12.13,10.94,11.06,552000.0
2001-02-13,11.0,11.56,11.0,11.44,304300.0,0.0,1.0,11.0,11.56,11.0,11.44,304300.0
2001-02-14,11.25,11.75,11.13,11.63,136900.0,0.0,1.0,11.25,11.75,11.13,11.63,136900.0
2001-02-15,12.06,13.0,12.05,12.81,1568600.0,0.0,1.0,12.06,13.0,12.05,12.81,1568600.0
2001-02-16,12.84,13.06,12.5,13.06,161500.0,0.0,1.0,12.84,13.06,12.5,13.06,161500.0
2001-02-20,13.63,13.69,12.63,12.75,411200.0,0.0,1.0,13.63,13.69,12.63,12.75,411200.0
2001-02-21,12.59,13.13,12.25,12.31,219000.0,0.0,1.0,12.59,13.13,12.25,12.31,219000.0
2001-02-22,12.0,12.5,11.5,12.11,712500.0,0.0,1.0,12.0,12.5,11.5,12.11,712500.0
2001-02-23,12.13,12.25,10.63,11.06,217800.0,0.0,1.0,12.13,12.25,10.63,11.06,217800.0
2001-02-26,10.66,11.38,8.75,9.0,839200.0,0.0,1.0,10.66,11.38,8.75,9.0,839200.0
2001-02-27,9.406,9.5,7.125,7.563,865200.0,0.0,1.0,9.406,9.5,7.125,7.563,865200.0
2001-02-28,8.094,8.125,7.375,7.5,503600.0,0.0,1.0,8.094,8.125,7.375,7.5,503600.0
2001-03-01,7.484,7.625,7.313,7.563,464200.0,0.0,1.0,7.484,7.625,7.313,7.563,464200.0
2001-03-02,7.563,7.625,7.313,7.5,277800.0,0.0,1.0,7.563,7.625,7.313,7.5,277800.0
2001-03-05,7.594,7.625,6.125,6.688,697900.0,0.0,1.0,7.594,7.625,6.125,6.688,697900.0
2001-03-06,6.516,7.625,6.5,7.5,1922300.0,0.0,1.0,6.516,7.625,6.5,7.5,1922300.0
2001-03-07,7.969,8.0,7.438,7.813,321800.0,0.0,1.0,7.969,8.0,7.438,7.813,321800.0
2001-03-08,7.813,8.5,7.625,8.469,242900.0,0.0,1.0,7.813,8.5,7.625,8.469,242900.0
2001-03-09,8.563,8.625,8.0,8.125,165700.0,0.0,1.0,8.563,8.625,8.0,8.125,165700.0
