Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-12-08,84.96,85.93,84.23,85.22,2668647.0,0.0,1.0,84.96,85.93,84.23,85.22,2668647.0
2017-12-11,86.3,86.94,85.04,85.89,3693957.0,0.0,1.0,86.3,86.94,85.04,85.89,3693957.0
2017-12-12,86.61,86.62,85.38,85.67,2630369.0,0.0,1.0,86.61,86.62,85.38,85.67,2630369.0
2017-12-13,85.99,86.07,83.44,83.56,2091885.0,0.0,1.0,85.99,86.07,83.44,83.56,2091885.0
2017-12-14,84.13,84.63,82.97,83.05,2009248.0,0.0,1.0,84.13,84.63,82.97,83.05,2009248.0
2017-12-15,83.92,84.48,83.42,84.4,2782046.0,0.0,1.0,83.92,84.48,83.42,84.4,2782046.0
2017-12-18,85.24,85.47,84.13,84.24,1660870.0,0.0,1.0,85.24,85.47,84.13,84.24,1660870.0
2017-12-19,84.905,86.91,84.65,85.62,2232703.0,0.0,1.0,84.905,86.91,84.65,85.62,2232703.0
2017-12-20,85.82,86.39,85.3,85.87,1633035.0,0.0,1.0,85.82,86.39,85.3,85.87,1633035.0
2017-12-21,86.78,86.79,84.88,84.98,1645235.0,0.0,1.0,86.78,86.79,84.88,84.98,1645235.0
2017-12-22,84.7,85.19,84.16,84.79,906296.0,0.0,1.0,84.7,85.19,84.16,84.79,906296.0
2017-12-26,84.64,85.12,84.46,84.88,335577.0,0.0,1.0,84.64,85.12,84.46,84.88,335577.0
2017-12-27,85.03,85.47,84.61,84.73,682731.0,0.0,1.0,85.03,85.47,84.61,84.73,682731.0
2017-12-28,85.03,85.59,84.72,85.56,960937.0,0.0,1.0,85.03,85.59,84.72,85.56,960937.0
2017-12-29,85.65,85.97,84.83,84.83,878510.0,0.0,1.0,85.65,85.97,84.83,84.83,878510.0
