Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.81,31.81,31.25,31.25,48500.0,0.0,1.0,16.639546730306,16.639546730306,16.346615382649,16.346615382649,48500.0
2000-01-04,31.13,31.13,30.5,30.56,25200.0,0.0,1.0,16.28384437958,16.28384437958,15.954296613466,15.985682115,25200.0
2000-01-05,30.5,30.56,30.0,30.06,12900.0,0.0,1.0,15.954296613466,15.985682115,15.692750767343,15.724136268878,12900.0
2000-01-06,29.88,29.88,29.38,29.44,20300.0,0.0,1.0,15.629979764274,15.629979764274,15.368433918151,15.399819419686,20300.0
2000-01-07,29.38,30.0,29.38,30.0,18700.0,0.0,1.0,15.368433918151,15.692750767343,15.368433918151,15.692750767343,18700.0
2000-01-10,30.13,30.5,30.0,30.38,19600.0,0.0,1.0,15.760752687335,15.954296613466,15.692750767343,15.891525610396,19600.0
2000-01-11,30.44,30.44,30.25,30.44,18500.0,0.0,1.0,15.922911111931,15.922911111931,15.823523690404,15.922911111931,18500.0
2000-01-12,30.38,30.38,29.81,30.0,43900.0,0.0,1.0,15.891525610396,15.891525610396,15.593363345817,15.692750767343,43900.0
2000-01-13,30.0,30.13,29.5,30.13,10500.0,0.0,1.0,15.692750767343,15.760752687335,15.431204921221,15.760752687335,10500.0
2000-01-14,30.25,30.38,30.13,30.31,4500.0,0.0,1.0,15.823523690404,15.891525610396,15.760752687335,15.854909191939,4500.0
2000-01-18,30.31,30.38,30.0,30.38,101800.0,0.0,1.0,15.854909191939,15.891525610396,15.692750767343,15.891525610396,101800.0
2000-01-19,30.63,30.63,30.19,30.25,26800.0,0.0,1.0,16.022298533457,16.022298533457,15.79213818887,15.823523690404,26800.0
2000-01-20,30.13,30.38,30.13,30.25,14300.0,0.0,1.0,15.760752687335,15.891525610396,15.760752687335,15.823523690404,14300.0
2000-01-21,30.13,30.19,30.06,30.13,7600.0,0.0,1.0,15.760752687335,15.79213818887,15.724136268878,15.760752687335,7600.0
2000-01-24,30.19,30.25,30.0,30.0,18600.0,0.0,1.0,15.79213818887,15.823523690404,15.692750767343,15.692750767343,18600.0
