Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,23.75,23.81,21.81,22.06,1656500.0,0.0,1.0,23.75,23.81,21.81,22.06,1656500.0
2000-01-04,21.88,22.5,21.5,22.0,1796600.0,0.0,1.0,21.88,22.5,21.5,22.0,1796600.0
2000-01-05,21.63,21.75,20.69,21.56,2758000.0,0.0,1.0,21.63,21.75,20.69,21.56,2758000.0
2000-01-06,21.5,21.63,20.38,20.94,1505800.0,0.0,1.0,21.5,21.63,20.38,20.94,1505800.0
2000-01-07,21.0,22.38,20.94,22.31,1891000.0,0.0,1.0,21.0,22.38,20.94,22.31,1891000.0
2000-01-10,22.5,23.88,22.0,23.38,1485600.0,0.0,1.0,22.5,23.88,22.0,23.38,1485600.0
2000-01-11,23.0,23.38,22.19,22.25,1402500.0,0.0,1.0,23.0,23.38,22.19,22.25,1402500.0
2000-01-12,22.63,22.88,20.69,20.69,1142900.0,0.0,1.0,22.63,22.88,20.69,20.69,1142900.0
2000-01-13,21.38,21.5,20.31,21.0,1245800.0,0.0,1.0,21.38,21.5,20.31,21.0,1245800.0
2000-01-14,21.0,22.31,21.0,22.25,1341100.0,0.0,1.0,21.0,22.31,21.0,22.25,1341100.0
2000-01-18,22.25,23.06,22.0,22.63,1144800.0,0.0,1.0,22.25,23.06,22.0,22.63,1144800.0
2000-01-19,22.56,23.31,22.25,23.0,951800.0,0.0,1.0,22.56,23.31,22.25,23.0,951800.0
2000-01-20,23.0,24.38,22.63,23.06,1845000.0,0.0,1.0,23.0,24.38,22.63,23.06,1845000.0
2000-01-21,22.88,22.94,20.25,21.88,2558700.0,0.0,1.0,22.88,22.94,20.25,21.88,2558700.0
2000-01-24,22.75,24.0,22.0,23.69,2939800.0,0.0,1.0,22.75,24.0,22.0,23.69,2939800.0
2000-01-25,24.5,24.63,23.0,24.0,3155500.0,0.0,1.0,24.5,24.63,23.0,24.0,3155500.0
