Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,19.69,20.69,19.69,20.44,92100.0,0.0,1.0,2.46125,2.58625,2.46125,2.555,736800.0
2000-01-04,20.25,20.44,19.88,20.06,135400.0,0.0,1.0,2.53125,2.555,2.485,2.5075,1083200.0
2000-01-05,20.13,20.13,19.75,19.88,140200.0,0.0,1.0,2.51625,2.51625,2.46875,2.485,1121600.0
2000-01-06,19.94,20.06,19.63,19.94,158400.0,0.0,1.0,2.4925,2.5075,2.45375,2.4925,1267200.0
2000-01-07,19.78,20.38,19.5,20.31,239300.0,0.0,1.0,2.4725,2.5475,2.4375,2.53875,1914400.0
2000-01-10,20.06,21.25,19.94,21.0,309800.0,0.0,1.0,2.5075,2.65625,2.4925,2.625,2478400.0
2000-01-11,21.13,23.0,21.13,22.63,392000.0,0.0,1.0,2.64125,2.875,2.64125,2.82875,3136000.0
2000-01-12,22.94,23.19,21.38,21.94,299800.0,0.0,1.0,2.8675,2.89875,2.6725,2.7425,2398400.0
2000-01-13,21.88,22.81,21.88,22.19,182100.0,0.0,1.0,2.735,2.85125,2.735,2.77375,1456800.0
2000-01-14,22.16,24.25,22.0,24.13,385800.0,0.0,1.0,2.77,3.03125,2.75,3.01625,3086400.0
2000-01-18,23.94,24.13,23.0,23.5,268500.0,0.0,1.0,2.9925,3.01625,2.875,2.9375,2148000.0
2000-01-19,23.5,23.5,20.06,21.44,572300.0,0.0,1.0,2.9375,2.9375,2.5075,2.68,4578400.0
2000-01-20,21.25,22.06,20.88,21.38,611000.0,0.0,1.0,2.65625,2.7575,2.61,2.6725,4888000.0
2000-01-21,21.88,21.88,20.81,20.84,343700.0,0.0,1.0,2.735,2.735,2.60125,2.605,2749600.0
2000-01-24,20.75,21.0,19.38,19.75,513100.0,0.0,1.0,2.59375,2.625,2.4225,2.46875,4104800.0
2000-01-25,19.88,19.88,18.69,18.75,332500.0,0.0,1.0,2.485,2.485,2.33625,2.34375,2660000.0
2000-01-26,18.63,19.5,18.38,18.38,180400.0,0.0,1.0,2.32875,2.4375,2.2975,2.2975,1443200.0
2000-01-27,18.38,20.06,17.88,19.5,183800.0,0.0,1.0,2.2975,2.5075,2.235,2.4375,1470400.0
2000-01-28,22.5,24.0,21.31,21.44,1537400.0,0.0,1.0,2.8125,3.0,2.66375,2.68,12299200.0
2000-01-31,21.5,21.88,19.63,19.88,313400.0,0.0,1.0,2.6875,2.735,2.45375,2.485,2507200.0
2000-02-01,20.0,21.63,19.81,20.56,754600.0,0.0,1.0,2.5,2.70375,2.47625,2.57,6036800.0
2000-02-02,20.5,22.5,20.25,22.38,403000.0,0.0,1.0,2.5625,2.8125,2.53125,2.7975,3224000.0
2000-02-03,21.88,23.5,21.81,23.19,292900.0,0.0,1.0,2.735,2.9375,2.72625,2.89875,2343200.0
2000-02-04,22.94,24.25,22.94,23.88,349200.0,0.0,1.0,2.8675,3.03125,2.8675,2.985,2793600.0
2000-02-07,24.13,25.75,23.25,25.5,603400.0,0.0,1.0,3.01625,3.21875,2.90625,3.1875,4827200.0
2000-02-08,25.69,26.19,23.75,24.53,338900.0,0.0,1.0,3.21125,3.27375,2.96875,3.06625,2711200.0
2000-02-09,24.75,24.88,23.63,24.0,182400.0,0.0,1.0,3.09375,3.11,2.95375,3.0,1459200.0
2000-02-10,23.88,24.75,23.44,24.75,223600.0,0.0,1.0,2.985,3.09375,2.93,3.09375,1788800.0
2000-02-11,24.75,25.0,24.19,24.75,265100.0,0.0,1.0,3.09375,3.125,3.02375,3.09375,2120800.0
2000-02-14,26.88,30.5,26.88,30.0,2124300.0,0.0,1.0,3.36,3.8125,3.36,3.75,16994400.0
2000-02-15,29.38,31.88,28.5,31.75,957400.0,0.0,1.0,3.6725,3.985,3.5625,3.96875,7659200.0
2000-02-16,31.63,31.75,29.5,29.69,516000.0,0.0,1.0,3.95375,3.96875,3.6875,3.71125,4128000.0
2000-02-17,29.63,31.0,29.25,30.69,313700.0,0.0,1.0,3.70375,3.875,3.65625,3.83625,2509600.0
2000-02-18,30.44,30.75,29.25,29.25,206800.0,0.0,1.0,3.805,3.84375,3.65625,3.65625,1654400.0
2000-02-22,29.19,30.19,28.44,29.88,242900.0,0.0,1.0,3.64875,3.77375,3.555,3.735,1943200.0
2000-02-23,30.0,32.0,29.75,31.25,396300.0,0.0,1.0,3.75,4.0,3.71875,3.90625,3170400.0
2000-02-24,31.13,32.63,30.81,32.31,289700.0,0.0,1.0,3.89125,4.07875,3.85125,4.03875,2317600.0
2000-02-25,32.13,34.13,31.88,33.63,506700.0,0.0,1.0,4.01625,4.26625,3.985,4.20375,4053600.0
2000-02-28,33.38,33.63,32.5,33.38,196900.0,0.0,1.0,4.1725,4.20375,4.0625,4.1725,1575200.0
2000-02-29,33.25,35.75,32.38,35.44,331000.0,0.0,1.0,4.15625,4.46875,4.0475,4.43,2648000.0
2000-03-01,35.63,35.63,33.63,33.94,305700.0,0.0,1.0,4.45375,4.45375,4.20375,4.2425,2445600.0
2000-03-02,33.75,35.69,33.75,35.38,210800.0,0.0,1.0,4.21875,4.46125,4.21875,4.4225,1686400.0
2000-03-03,36.63,40.88,36.25,38.0,996800.0,0.0,1.0,4.57875,5.11,4.53125,4.75,7974400.0
2000-03-06,37.75,37.88,34.25,35.94,966000.0,0.0,1.0,4.71875,4.735,4.28125,4.4925,7728000.0
2000-03-07,36.0,36.0,32.5,33.63,627100.0,0.0,1.0,4.5,4.5,4.0625,4.20375,5016800.0
2000-03-08,33.88,34.0,32.25,32.56,604000.0,0.0,1.0,4.235,4.25,4.03125,4.07,4832000.0
2000-03-09,32.5,34.5,32.0,32.88,1662500.0,0.0,1.0,4.0625,4.3125,4.0,4.11,13300000.0
2000-03-10,33.25,33.38,32.25,32.5,279300.0,0.0,1.0,4.15625,4.1725,4.03125,4.0625,2234400.0
2000-03-13,32.25,32.63,31.63,32.0,106900.0,0.0,1.0,4.03125,4.07875,3.95375,4.0,855200.0
2000-03-14,32.0,32.06,27.63,28.63,261600.0,0.0,1.0,4.0,4.0075,3.45375,3.57875,2092800.0
2000-03-15,28.75,30.94,28.5,29.88,259200.0,0.0,1.0,3.59375,3.8675,3.5625,3.735,2073600.0
2000-03-16,29.5,30.81,29.38,30.44,384400.0,0.0,1.0,3.6875,3.85125,3.6725,3.805,3075200.0
2000-03-17,30.38,31.0,29.75,30.44,47400.0,0.0,1.0,3.7975,3.875,3.71875,3.805,379200.0
2000-03-20,30.5,31.25,28.25,28.25,294500.0,0.0,1.0,3.8125,3.90625,3.53125,3.53125,2356000.0
2000-03-21,28.5,28.56,25.75,25.94,840200.0,0.0,1.0,3.5625,3.57,3.21875,3.2425,6721600.0
2000-03-22,25.94,25.94,25.13,25.5,529600.0,0.0,1.0,3.2425,3.2425,3.14125,3.1875,4236800.0
2000-03-23,25.63,26.5,25.5,25.75,527000.0,0.0,1.0,3.20375,3.3125,3.1875,3.21875,4216000.0
2000-03-24,25.75,28.75,25.56,27.56,655200.0,0.0,1.0,3.21875,3.59375,3.195,3.445,5241600.0
