Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-05,35.0,35.0,35.0,35.0,10000.0,0.0,1.0,35.0,35.0,35.0,35.0,10000.0
2010-01-06,35.0,35.0,35.0,35.0,0.0,0.0,1.0,35.0,35.0,35.0,35.0,0.0
2010-01-07,35.25,35.5,35.0,35.0,9800.0,0.0,1.0,35.25,35.5,35.0,35.0,9800.0
2010-01-08,34.55,34.55,33.5,33.5,32200.0,0.0,1.0,34.55,34.55,33.5,33.5,32200.0
2010-01-11,33.5,33.5,33.5,33.5,3700.0,0.0,1.0,33.5,33.5,33.5,33.5,3700.0
2010-01-12,33.5,33.55,33.5,33.5,5100.0,0.0,1.0,33.5,33.55,33.5,33.5,5100.0
2010-01-13,33.01,33.01,32.5,32.75,226300.0,0.0,1.0,33.01,33.01,32.5,32.75,226300.0
2010-01-14,32.75,32.75,32.75,32.75,150500.0,0.0,1.0,32.75,32.75,32.75,32.75,150500.0
2010-01-15,32.5,32.5,32.25,32.25,45500.0,0.0,1.0,32.5,32.5,32.25,32.25,45500.0
2010-01-19,32.25,32.25,31.75,32.0,19400.0,0.0,1.0,32.25,32.25,31.75,32.0,19400.0
2010-01-20,31.5,31.75,31.5,31.75,600.0,0.0,1.0,31.5,31.75,31.5,31.75,600.0
2010-01-21,31.5,31.6,31.5,31.6,600.0,0.0,1.0,31.5,31.6,31.5,31.6,600.0
2010-01-22,31.5,31.5,31.5,31.5,200.0,0.0,1.0,31.5,31.5,31.5,31.5,200.0
2010-01-25,31.1,31.25,31.0,31.25,1300.0,0.0,1.0,31.1,31.25,31.0,31.25,1300.0
2010-01-26,31.0,31.0,30.75,30.75,300.0,0.0,1.0,31.0,31.0,30.75,30.75,300.0
2010-01-27,30.55,31.0,30.55,30.75,77000.0,0.0,1.0,30.55,31.0,30.55,30.75,77000.0
2010-01-28,31.0,31.0,30.75,30.75,10400.0,0.0,1.0,31.0,31.0,30.75,30.75,10400.0
2010-01-29,30.85,30.85,30.5,30.63,30700.0,0.0,1.0,30.85,30.85,30.5,30.63,30700.0
2010-02-01,30.25,30.5,30.25,30.5,3500.0,0.0,1.0,30.25,30.5,30.25,30.5,3500.0
2010-02-02,30.5,30.5,30.5,30.5,600.0,0.0,1.0,30.5,30.5,30.5,30.5,600.0
2010-02-03,30.1,30.1,29.75,29.75,5200.0,0.0,1.0,30.1,30.1,29.75,29.75,5200.0
2010-02-04,30.0,30.25,30.0,30.25,29400.0,0.0,1.0,30.0,30.25,30.0,30.25,29400.0
