Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,80.31,80.31,77.81,78.44,696500.0,0.0,1.0,24.425642883035014,24.425642883035014,23.66528791842802,23.85689736950898,2089500.0
2000-01-04,75.88,78.38,74.88,78.13,691000.0,0.0,1.0,23.07829388575142,23.838648850358414,22.774151899908627,23.762613353897716,2073000.0
2000-01-05,77.94,79.63,77.94,78.5,518900.0,0.0,1.0,23.704826376587583,24.218826332661912,23.704826376587583,23.875145888659553,1556700.0
2000-01-06,77.81,83.75,77.81,81.56,672300.0,0.0,1.0,23.66528791842802,25.471891314334236,23.66528791842802,24.805820365338512,2016900.0
2000-01-07,84.0,85.38,82.94,85.13,581100.0,0.0,1.0,25.547926810794934,25.967642751257994,25.22553630580157,25.891607254797293,1743300.0
2000-01-10,84.94,85.63,84.38,84.63,802800.0,0.0,1.0,25.833820277487163,26.04367824771869,25.663500765415197,25.739536261875894,2408400.0
2000-01-11,84.0,84.0,82.31,82.44,559500.0,0.0,1.0,25.547926810794934,25.547926810794934,25.033926854720608,25.07346531288017,1678500.0
2000-01-12,82.13,82.56,81.88,82.56,619300.0,0.0,1.0,24.9791812972689,25.109962351181306,24.903145800808204,25.109962351181306,1857900.0
2000-01-13,82.0,84.88,81.75,84.13,615100.0,0.0,1.0,24.93964283910934,25.815571758336596,24.863607342648642,25.587465268954496,1845300.0
2000-01-14,82.63,83.44,80.13,80.63,618600.0,0.0,1.0,25.1312522901903,25.377607298722967,24.37089732558331,24.522968318504706,1855800.0
2000-01-18,78.75,80.25,78.0,79.0,592800.0,0.0,1.0,23.95118138512025,24.407394363884446,23.723074895738154,24.02721688158095,1778400.0
2000-01-19,79.25,80.25,76.81,77.44,710500.0,0.0,1.0,24.10325237804165,24.407394363884446,23.361145932585227,23.552755383666188,2131500.0
2000-01-20,77.63,78.13,75.63,75.94,580500.0,0.0,1.0,23.610542360976318,23.762613353897716,23.002258389290724,23.096542404901992,1741500.0
2000-01-21,76.13,76.13,73.19,74.56,833400.0,0.0,1.0,23.154329382212122,23.154329382212122,22.2601519438343,22.676826464438932,2500200.0
2000-01-24,74.5,74.5,71.75,71.94,539800.0,0.0,1.0,22.658577945288364,22.658577945288364,21.822187484220674,21.879974461530804,1619400.0
2000-01-25,72.75,73.0,71.25,71.5,517900.0,0.0,1.0,22.12632947006347,22.20236496652417,21.670116491299275,21.746151987759973,1553700.0
2000-01-26,73.25,74.0,71.88,72.75,874400.0,0.0,1.0,22.27840046298487,22.506506952366966,21.861725942380236,22.12632947006347,2623200.0
2000-01-27,73.0,73.75,71.5,72.44,494800.0,0.0,1.0,22.20236496652417,22.430471455906268,21.746151987759973,22.032045454452202,1484400.0
2000-01-28,72.0,73.38,71.88,72.56,847900.0,0.0,1.0,21.89822298068137,22.31793892114443,21.861725942380236,22.068542492753338,2543700.0
2000-01-31,72.0,72.5,70.31,71.75,432000.0,0.0,1.0,21.89822298068137,22.05029397360277,21.384223024607046,21.822187484220674,1296000.0
2000-02-01,72.0,72.88,71.81,71.88,407000.0,0.0,1.0,21.89822298068137,22.165867928223033,21.84043600337124,21.861725942380236,1221000.0
2000-02-02,73.0,74.13,72.63,73.75,1113900.0,0.0,1.0,22.20236496652417,22.546045410526528,22.089832431762332,22.430471455906268,3341700.0
