Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,91.06,91.06,87.94,89.0,3028700.0,0.0,1.0,35.405766609993,35.405766609993,34.192654466097,34.604801540626,6057400.0
2000-01-04,88.94,89.13,83.94,84.13,2861400.0,0.0,1.0,34.581472460936,34.655347879955,32.637382486743,32.711257905763,5722800.0
2000-01-05,84.44,85.69,83.69,85.56,3863200.0,0.0,1.0,32.831791484163,33.317813977711,32.540177988034,33.267267638382,7726400.0
2000-01-06,86.63,89.13,86.5,87.28,3610700.0,0.0,1.0,33.683302892859,34.655347879955,33.63275655353,33.936034589504,7221400.0
2000-01-07,86.88,93.25,86.81,93.06,2582400.0,0.0,1.0,33.780507391568,36.25727801869,33.75329013193,36.18340259967,5164800.0
2000-01-10,93.06,95.06,91.81,95.0,2227000.0,0.0,1.0,36.18340259967,36.961038589347,35.697380106122,36.937709509657,4454000.0
2000-01-11,94.25,95.13,91.5,91.63,1477500.0,0.0,1.0,36.646096013528,36.988255848986,35.576846527722,35.627392867051,2955000.0
2000-01-12,93.13,94.5,89.88,91.5,2343700.0,0.0,1.0,36.210619859309,36.743300512238,34.946961376084,35.576846527722,4687400.0
2000-01-13,92.56,96.13,90.88,94.94,2875400.0,0.0,1.0,35.988993602251,37.377073843825,35.335779370922,36.914380429967,5750800.0
2000-01-14,48.13,50.25,48.0,49.06,2285500.0,0.0,2.0,37.427620183154,39.076208481269,37.326527504496,38.150821653553,2285500.0
2000-01-18,48.75,51.75,48.25,51.25,5932000.0,0.0,1.0,37.909754496753,40.242662465784,37.520936501915,39.853844470946,5932000.0
2000-01-19,51.94,53.13,50.13,51.88,4130500.0,0.0,1.0,40.390413303823,41.315800131538,38.982892162508,40.343755144442,4130500.0
2000-01-20,52.38,53.13,50.0,50.0,5551900.0,0.0,1.0,40.732573139281,41.315800131538,38.88179948385,38.88179948385,5551900.0
2000-01-21,51.44,51.5,48.0,48.5,3520200.0,0.0,1.0,40.001595308984,40.048253468365,37.326527504496,37.715345499334,3520200.0
2000-01-24,48.19,51.25,46.5,47.0,5005500.0,0.0,1.0,37.474278342534,39.853844470946,36.16007351998,36.548891514819,5005500.0
2000-01-25,47.56,49.75,45.75,49.69,3730800.0,0.0,1.0,36.984367669038,38.68739048643,35.576846527722,38.64073232705,3730800.0
2000-01-26,49.13,52.0,48.69,50.44,3782800.0,0.0,1.0,38.205256172831,40.437071463203,37.863096337373,39.223959319307,3782800.0
2000-01-27,50.56,51.38,46.5,48.94,3109600.0,0.0,1.0,39.317275638069,39.954937149604,36.16007351998,38.057505334792,3109600.0
2000-01-28,48.63,49.75,45.88,46.0,2834600.0,0.0,1.0,37.816438177992,38.68739048643,35.67793920638,35.771255525142,2834600.0
2000-01-31,46.06,49.5,45.0,48.94,3249700.0,0.0,1.0,35.817913684522,38.492981489011,34.993619535465,38.057505334792,3249700.0
2000-02-01,49.31,52.13,48.0,51.88,4530500.0,0.0,1.0,38.345230650972,40.538164141862,37.326527504496,40.343755144442,4530500.0
2000-02-02,52.0,54.0,51.0,54.0,4945700.0,0.0,1.0,40.437071463203,41.992343442557,39.659435473527,41.992343442557,4945700.0
2000-02-03,54.0,55.0,53.25,54.19,4640800.0,0.0,1.0,41.992343442557,42.769979432234,41.4091164503,42.140094280596,4640800.0
2000-02-04,54.75,55.0,52.63,53.0,3273700.0,0.0,1.0,42.575570434815,42.769979432234,40.9269821367,41.21470745288,3273700.0
2000-02-07,52.0,52.25,51.0,51.25,2566700.0,0.0,1.0,40.437071463203,40.631480460623,39.659435473527,39.853844470946,2566700.0
2000-02-08,51.94,53.75,51.75,53.06,2440700.0,0.0,1.0,40.390413303823,41.797934445138,40.242662465784,41.261365612261,2440700.0
2000-02-09,52.0,53.0,51.44,52.88,1466800.0,0.0,1.0,40.437071463203,41.21470745288,40.001595308984,41.121391134119,1466800.0
2000-02-10,52.81,52.88,51.88,52.13,2761800.0,0.0,1.0,41.066956614842,41.121391134119,40.343755144442,40.538164141862,2761800.0
2000-02-11,52.13,52.31,51.0,51.69,2071000.0,0.0,1.0,40.538164141862,40.678138620003,39.659435473527,40.196004306404,2071000.0
2000-02-14,51.56,51.63,50.0,50.75,1856300.0,0.0,1.0,40.094911627746,40.149346147023,38.88179948385,39.465026476107,1856300.0
2000-02-15,50.06,50.5,48.5,49.38,2675400.0,0.0,1.0,38.92845764323,39.270617478688,37.715345499334,38.39966517025,2675400.0
2000-02-16,49.19,49.31,46.38,47.75,4231600.0,0.0,1.0,38.251914332211,38.345230650972,36.066757201219,37.132118507076,4231600.0
2000-02-17,48.0,48.0,43.5,44.0,6955400.0,0.0,1.0,37.326527504496,37.326527504496,33.827165550949,34.215983545788,6955400.0
2000-02-18,43.75,45.94,41.88,44.94,6004200.0,0.0,1.0,34.021574548368,35.724597365761,32.567395247672,34.946961376084,6004200.0
2000-02-22,44.81,45.25,42.63,44.0,3769600.0,0.0,1.0,34.845868697426,35.188028532884,33.15062223993,34.215983545788,3769600.0
2000-02-23,44.38,45.25,43.64,44.56,4267300.0,0.0,1.0,34.511485221865,35.188028532884,33.936034589504,34.651459700007,4267300.0
2000-02-24,44.7,45.06,43.0,44.38,3990500.0,0.0,1.0,34.760328738561,35.040277694845,33.438347556111,34.511485221865,3990500.0
2000-02-25,44.25,48.34,43.75,47.63,7698400.0,0.0,1.0,34.410392543207,37.590923740986,34.021574548368,37.038802188315,7698400.0
