Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,13.81,13.81,13.12,13.25,280000.0,0.0,1.0,3.628657885318,3.628657885318,3.4473563689625,3.4815146256672,839999.99999998
2000-01-04,13.38,13.38,12.25,12.75,189467.0,0.0,1.0,3.5156728823718,3.5156728823718,3.2187588048621,3.3501367152646,568400.99999999
2000-01-05,12.81,13.0,12.69,12.94,167233.0,0.0,1.0,3.3659020645129,3.4158256704659,3.3343713660163,3.4000603212176,501698.99999999
2000-01-06,12.88,12.88,12.25,12.25,827767.0,0.0,1.0,3.3842949719693,3.3842949719693,3.2187588048621,3.2187588048621,2483300.9999999
2000-01-07,12.38,12.88,12.31,12.69,228167.0,0.0,1.0,3.2529170615668,3.3842949719693,3.2345241541104,3.3343713660163,684500.99999998
2000-01-10,12.69,12.94,12.44,12.94,193867.0,0.0,1.0,3.3343713660163,3.4000603212176,3.2686824108151,3.4000603212176,581600.99999999
2000-01-11,12.94,12.94,12.06,12.13,976167.0,0.0,1.0,3.4000603212176,3.4000603212176,3.1688351989091,3.1872281063655,2928500.9999999
2000-01-12,12.13,12.25,11.94,12.0,403367.0,0.0,1.0,3.1872281063655,3.2187588048621,3.1373045004125,3.1530698496608,1210101.0
2000-01-13,12.25,12.31,11.94,12.13,394033.0,0.0,1.0,3.2187588048621,3.2345241541104,3.1373045004125,3.1872281063655,1182099.0
2000-01-14,12.19,12.69,11.88,12.69,324000.0,0.0,1.0,3.2029934556138,3.3343713660163,3.1215391511642,3.3343713660163,971999.99999998
2000-01-18,12.13,12.19,11.88,12.06,294400.0,0.0,1.0,3.1872281063655,3.2029934556138,3.1215391511642,3.1688351989091,883199.99999998
2000-01-19,12.25,12.25,11.63,11.75,260967.0,0.0,1.0,3.2187588048621,3.2187588048621,3.055850195963,3.0873808944596,782900.99999998
2000-01-20,11.88,11.88,11.38,11.75,417867.0,0.0,1.0,3.1215391511642,3.1215391511642,2.9901612407617,3.0873808944596,1253601.0
2000-01-21,11.75,11.75,11.31,11.63,377200.0,0.0,1.0,3.0873808944596,3.0873808944596,2.9717683333053,3.055850195963,1131600.0
