Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,48.0,48.13,46.25,46.5,279500.0,0.0,1.0,8.6703988477378,8.6938811779505,8.3542905564141,8.399448883746,1118000.0
2000-01-04,46.75,46.81,44.5,44.81,459600.0,0.0,1.0,8.444607211078,8.4554452096377,8.0381822650903,8.0941785909819,1838400.0
2000-01-05,45.25,46.25,44.38,46.06,541100.0,0.0,1.0,8.1736572470862,8.3542905564141,8.016506267971,8.3199702276418,2164400.0
2000-01-06,44.81,46.88,43.75,45.81,242800.0,0.0,1.0,8.0941785909819,8.4680895412906,7.9027072830944,8.2748119003098,971200.0
2000-01-07,46.0,46.5,45.75,46.19,332000.0,0.0,1.0,8.3091322290821,8.399448883746,8.2639739017501,8.3434525578544,1328000.0
2000-01-10,46.44,47.13,46.38,47.13,491400.0,0.0,1.0,8.3886108851864,8.5132478686226,8.3777728866267,8.5132478686226,1965600.0
2000-01-11,47.0,47.25,45.81,45.94,354000.0,0.0,1.0,8.48976553841,8.5349238657419,8.2748119003098,8.2982942305224,1416000.0
2000-01-12,45.75,45.81,44.31,44.69,243000.0,0.0,1.0,8.2639739017501,8.2748119003098,8.003861936318,8.0725025938626,972000.0
2000-01-13,45.06,45.75,45.06,45.38,577100.0,0.0,1.0,8.1393369183139,8.2639739017501,8.1393369183139,8.1971395772988,2308400.0
2000-01-14,45.25,45.5,44.31,45.38,331200.0,0.0,1.0,8.1736572470862,8.2188155744182,8.003861936318,8.1971395772988,1324800.0
2000-01-18,44.88,44.88,43.88,44.13,373800.0,0.0,1.0,8.1068229226349,8.1068229226349,7.926189613307,7.971347940639,1495200.0
2000-01-19,43.88,44.25,43.25,43.63,548700.0,0.0,1.0,7.926189613307,7.9930239377583,7.8123906284305,7.881031285975,2194800.0
2000-01-20,43.56,43.63,42.31,42.69,224100.0,0.0,1.0,7.8683869543221,7.881031285975,7.6425953176623,7.7112359752068,896400.0
2000-01-21,42.69,42.69,40.5,41.19,839600.0,0.0,1.0,7.7112359752068,7.7112359752068,7.3156490277788,7.440286011215,3358400.0
2000-01-24,41.0,41.0,37.94,38.0,850800.0,0.0,1.0,7.4059656824427,7.4059656824427,6.8532277558995,6.8640657544591,3403200.0
2000-01-25,38.25,40.5,38.25,40.31,721100.0,0.0,1.0,6.9092240817911,7.3156490277788,6.9092240817911,7.2813286990065,2884400.0
2000-01-26,40.31,41.88,40.19,41.5,437700.0,0.0,1.0,7.2813286990065,7.5649229946513,7.2596527018872,7.4962823371067,1750800.0
2000-01-27,40.38,42.56,40.31,41.56,803000.0,0.0,1.0,7.2939730306595,7.6877536449942,7.2813286990065,7.5071203356664,3212000.0
2000-01-28,41.56,42.44,41.31,42.25,743600.0,0.0,1.0,7.5071203356664,7.6660776478749,7.4619620083344,7.6317573191026,2974400.0
2000-01-31,42.19,44.69,42.19,43.13,860000.0,0.0,1.0,7.6209193205429,8.0725025938626,7.6209193205429,7.7907146313111,3440000.0
2000-02-01,43.06,43.38,42.81,43.25,619600.0,0.0,1.0,7.7780702996582,7.8358729586431,7.7329119723262,7.8123906284305,2478400.0
2000-02-02,43.13,44.0,42.94,43.19,409200.0,0.0,1.0,7.7907146313111,7.9478656104264,7.7563943025388,7.8015526298708,1636800.0
2000-02-03,43.31,43.94,43.13,43.56,175800.0,0.0,1.0,7.8232286269901,7.9370276118667,7.7907146313111,7.8683869543221,703200.0
2000-02-04,43.88,43.94,43.0,43.25,212400.0,0.0,1.0,7.926189613307,7.9370276118667,7.7672323010985,7.8123906284305,849600.0
2000-02-07,43.25,43.81,42.38,43.13,475200.0,0.0,1.0,7.8123906284305,7.9135452816541,7.6552396493152,7.7907146313111,1900800.0
2000-02-08,43.13,44.25,43.13,43.81,481600.0,0.0,1.0,7.7907146313111,7.9930239377583,7.7907146313111,7.9135452816541,1926400.0
2000-02-09,43.94,44.06,43.44,43.63,610900.0,0.0,1.0,7.9370276118667,7.958703608986,7.8467109572028,7.881031285975,2443600.0
2000-02-10,43.5,43.69,41.5,41.69,261100.0,0.0,1.0,7.8575489557624,7.8918692845347,7.4962823371067,7.530602665879,1044400.0
2000-02-11,42.0,42.31,40.56,41.06,450800.0,0.0,1.0,7.5865989917706,7.6425953176623,7.3264870263385,7.4168036810024,1803200.0
2000-02-14,40.94,41.13,40.38,40.94,322100.0,0.0,1.0,7.3951276838831,7.4294480126554,7.2939730306595,7.3951276838831,1288400.0
2000-02-15,40.75,41.5,40.63,41.19,505800.0,0.0,1.0,7.3608073551108,7.4962823371067,7.3391313579914,7.440286011215,2023200.0
2000-02-16,40.81,41.31,40.81,40.88,434300.0,0.0,1.0,7.3716453536704,7.4619620083344,7.3716453536704,7.3842896853234,1737200.0
2000-02-17,40.94,41.56,40.88,40.94,291000.0,0.0,1.0,7.3951276838831,7.5071203356664,7.3842896853234,7.3951276838831,1164000.0
2000-02-18,40.94,41.13,39.31,39.88,501700.0,0.0,1.0,7.3951276838831,7.4294480126554,7.1006953896786,7.2036563759955,2006800.0
2000-02-22,39.88,40.5,39.25,39.75,465100.0,0.0,1.0,7.2036563759955,7.3156490277788,7.089857391119,7.1801740457829,1860400.0
2000-02-23,39.63,39.94,39.0,39.31,567500.0,0.0,1.0,7.1584980486636,7.2144943745552,7.044699063787,7.1006953896786,2270000.0
2000-02-24,39.31,39.5,37.5,38.56,557400.0,0.0,1.0,7.1006953896786,7.1350157184509,6.7737490997952,6.9652204076827,2229600.0
