Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,19.12,19.12,18.12,19.0,297800.0,0.0,1.0,6.4857601959961,6.4857601959961,6.146546796624,6.4450545880715,297800.0
2000-01-04,18.81,18.88,18.56,18.88,621800.0,0.0,1.0,6.3806040421908,6.4043489801468,6.2958006923477,6.4043489801468,621800.0
2000-01-05,18.81,19.06,18.75,18.94,439900.0,0.0,1.0,6.3806040421908,6.4654073920338,6.3602512382284,6.4247017841092,439900.0
2000-01-06,18.88,19.5,18.88,19.38,593400.0,0.0,1.0,6.4043489801468,6.6146612877576,6.4043489801468,6.5739556798329,593400.0
2000-01-07,19.44,20.0,19.38,19.75,334800.0,0.0,1.0,6.5943084837952,6.7842679874437,6.5739556798329,6.6994646376006,334800.0
2000-01-10,19.88,19.94,19.62,19.88,278200.0,0.0,1.0,6.743562379519,6.7639151834813,6.6553668956822,6.743562379519,278200.0
2000-01-11,20.12,20.12,19.69,19.69,243100.0,0.0,1.0,6.8249735953683,6.8249735953683,6.6791118336383,6.6791118336383,243100.0
2000-01-12,19.75,19.81,19.5,19.5,151100.0,0.0,1.0,6.6994646376006,6.7198174415629,6.6146612877576,6.6146612877576,151100.0
2000-01-13,19.69,19.69,19.5,19.56,134700.0,0.0,1.0,6.6791118336383,6.6791118336383,6.6146612877576,6.6350140917199,134700.0
2000-01-14,19.56,19.69,19.44,19.5,246200.0,0.0,1.0,6.6350140917199,6.6791118336383,6.5943084837952,6.6146612877576,246200.0
2000-01-18,19.38,19.69,19.38,19.62,235600.0,0.0,1.0,6.5739556798329,6.6791118336383,6.5739556798329,6.6553668956822,235600.0
2000-01-19,19.69,19.88,19.56,19.88,350100.0,0.0,1.0,6.6791118336383,6.743562379519,6.6350140917199,6.743562379519,350100.0
2000-01-20,19.88,19.94,19.56,19.88,161400.0,0.0,1.0,6.743562379519,6.7639151834813,6.6350140917199,6.743562379519,161400.0
2000-01-21,19.88,20.75,19.62,20.5,325700.0,0.0,1.0,6.743562379519,7.0386780369728,6.6553668956822,6.9538746871298,325700.0
2000-01-24,20.5,20.56,20.0,20.0,226200.0,0.0,1.0,6.9538746871298,6.9742274910921,6.7842679874437,6.7842679874437,226200.0
2000-01-25,20.0,20.12,19.81,20.06,257700.0,0.0,1.0,6.7842679874437,6.8249735953683,6.7198174415629,6.804620791406,257700.0
2000-01-26,20.0,20.0,19.62,19.81,272900.0,0.0,1.0,6.7842679874437,6.7842679874437,6.6553668956822,6.7198174415629,272900.0
2000-01-27,19.75,19.81,19.5,19.62,227100.0,0.0,1.0,6.6994646376006,6.7198174415629,6.6146612877576,6.6553668956822,227100.0
2000-01-28,19.69,19.75,19.5,19.69,169000.0,0.0,1.0,6.6791118336383,6.6994646376006,6.6146612877576,6.6791118336383,169000.0
2000-01-31,19.81,20.06,19.62,19.81,183000.0,0.0,1.0,6.7198174415629,6.804620791406,6.6553668956822,6.7198174415629,183000.0
2000-02-01,19.81,20.06,19.81,20.0,150100.0,0.0,1.0,6.7198174415629,6.804620791406,6.7198174415629,6.7842679874437,150100.0
2000-02-02,20.19,20.38,20.0,20.06,263100.0,0.0,1.0,6.8487185333244,6.9131690792051,6.7842679874437,6.804620791406,263100.0
2000-02-03,19.94,20.38,19.94,20.25,116700.0,0.0,1.0,6.7639151834813,6.9131690792051,6.7639151834813,6.8690713372867,116700.0
2000-02-04,20.06,20.19,20.0,20.12,113500.0,0.0,1.0,6.804620791406,6.8487185333244,6.7842679874437,6.8249735953683,113500.0
2000-02-07,19.88,20.25,19.88,20.12,248900.0,0.0,1.0,6.743562379519,6.8690713372867,6.743562379519,6.8249735953683,248900.0
2000-02-08,20.19,20.25,20.12,20.12,208100.0,0.0,1.0,6.8487185333244,6.8690713372867,6.8249735953683,6.8249735953683,208100.0
2000-02-09,19.94,20.0,19.69,19.75,294600.0,0.39,1.0,6.8974811035602,6.9182358109932,6.8110031559228,6.8317578633558,294600.0
2000-02-10,19.5,19.69,19.5,19.56,201600.0,0.0,1.0,6.7452799157184,6.8110031559228,6.7452799157184,6.7660346231513,201600.0
2000-02-11,19.56,20.06,19.5,19.5,5817900.0,0.0,1.0,6.7660346231513,6.9389905184262,6.7452799157184,6.7452799157184,5817900.0
2000-02-14,18.5,19.38,18.5,19.12,336100.0,0.0,1.0,6.3993681251687,6.7037705008524,6.3993681251687,6.6138334353095,336100.0
2000-02-15,19.31,19.38,18.75,18.94,431100.0,0.0,1.0,6.6795566755139,6.7037705008524,6.4858460728061,6.5515693130105,431100.0
2000-02-16,19.12,19.5,19.0,19.19,140700.0,0.0,1.0,6.6138334353095,6.7452799157184,6.5723240204435,6.638047260648,140700.0
2000-02-17,19.25,19.81,19.12,19.31,212000.0,0.0,1.0,6.6588019680809,6.8525125707887,6.6138334353095,6.6795566755139,212000.0
2000-02-18,19.25,19.31,19.0,19.12,196800.0,0.0,1.0,6.6588019680809,6.6795566755139,6.5723240204435,6.6138334353095,196800.0
2000-02-22,18.88,19.19,18.69,18.81,209400.0,0.0,1.0,6.5308146055776,6.638047260648,6.4650913653731,6.5066007802391,209400.0
2000-02-23,18.69,18.94,18.69,18.81,153300.0,0.0,1.0,6.4650913653731,6.5515693130105,6.4650913653731,6.5066007802391,153300.0
2000-02-24,18.69,18.88,18.62,18.75,149200.0,0.0,1.0,6.4650913653731,6.5308146055776,6.4408775400347,6.4858460728061,149200.0
2000-02-25,18.75,18.75,18.5,18.56,118500.0,0.0,1.0,6.4858460728061,6.4858460728061,6.3993681251687,6.4201228326017,118500.0
2000-02-28,18.06,18.62,18.06,18.38,267400.0,0.0,1.0,6.2471669373268,6.4408775400347,6.2471669373268,6.3578587103027,267400.0
2000-02-29,18.38,18.44,18.19,18.38,373900.0,0.0,1.0,6.3578587103027,6.3786134177357,6.2921354700983,6.3578587103027,373900.0
2000-03-01,18.38,18.62,18.31,18.56,350500.0,0.0,1.0,6.3578587103027,6.4408775400347,6.3336448849643,6.4201228326017,350500.0
2000-03-02,18.5,18.62,18.19,18.5,193200.0,0.0,1.0,6.3993681251687,6.4408775400347,6.2921354700983,6.3993681251687,193200.0
2000-03-03,18.31,18.56,18.19,18.25,444000.0,0.0,1.0,6.3336448849643,6.4201228326017,6.2921354700983,6.3128901775313,444000.0
2000-03-06,18.31,18.44,18.12,18.31,119300.0,0.0,1.0,6.3336448849643,6.3786134177357,6.2679216447598,6.3336448849643,119300.0
2000-03-07,18.12,18.25,17.88,18.0,613400.0,0.0,1.0,6.2679216447598,6.3128901775313,6.1849028150279,6.2264122298939,613400.0
2000-03-08,18.0,18.31,17.88,17.94,227500.0,0.0,1.0,6.2264122298939,6.3336448849643,6.1849028150279,6.2056575224609,227500.0
2000-03-09,17.94,18.12,17.88,18.0,126900.0,0.0,1.0,6.2056575224609,6.2679216447598,6.1849028150279,6.2264122298939,126900.0
2000-03-10,18.06,18.12,17.88,18.0,107200.0,0.0,1.0,6.2471669373268,6.2679216447598,6.1849028150279,6.2264122298939,107200.0
2000-03-13,17.94,18.0,17.75,17.94,174400.0,0.0,1.0,6.2056575224609,6.2264122298939,6.1399342822565,6.2056575224609,174400.0
2000-03-14,18.0,18.12,17.75,17.88,215400.0,0.0,1.0,6.2264122298939,6.2679216447598,6.1399342822565,6.1849028150279,215400.0
2000-03-15,17.88,18.0,17.75,18.0,317600.0,0.0,1.0,6.1849028150279,6.2264122298939,6.1399342822565,6.2264122298939,317600.0
2000-03-16,18.0,18.5,17.88,18.25,537900.0,0.0,1.0,6.2264122298939,6.3993681251687,6.1849028150279,6.3128901775313,537900.0
2000-03-17,18.38,18.5,17.94,17.94,446800.0,0.0,1.0,6.3578587103027,6.3993681251687,6.2056575224609,6.2056575224609,446800.0
