Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,18.0,18.06,17.25,17.31,269200.0,0.0,1.0,7.289479730591,7.3137779963596,6.985751408483,7.0100496742516,403800.0
2000-01-04,17.31,17.56,17.0,17.19,185667.0,0.0,1.0,7.0100496742516,7.1112924482876,6.884508634447,6.9614531427144,278500.5
2000-01-05,17.06,18.06,17.06,17.81,266400.0,0.0,1.0,6.9088069002157,7.3137779963596,6.9088069002157,7.2125352223236,399600.0
2000-01-06,17.69,18.19,17.63,17.63,133200.0,0.0,1.0,7.1639386907863,7.3664242388583,7.1396404250177,7.1396404250177,199800.0
2000-01-07,17.75,18.25,17.38,17.38,446600.0,0.0,1.0,7.188236956555,7.390722504627,7.0383976509817,7.0383976509817,669900.0
2000-01-10,17.31,17.69,17.31,17.5,190800.0,0.0,1.0,7.0100496742516,7.1639386907863,7.0100496742516,7.086994182519,286200.0
2000-01-11,17.5,18.31,17.5,18.19,278267.0,0.0,1.0,7.086994182519,7.4150207703956,7.086994182519,7.3664242388583,417400.5
2000-01-12,18.13,18.19,17.38,17.56,774867.0,0.0,1.0,7.3421259730897,7.3664242388583,7.0383976509817,7.1112924482876,1162300.5
2000-01-13,17.75,18.75,17.63,18.63,647600.0,0.0,1.0,7.188236956555,7.5932080526989,7.1396404250177,7.5446115211616,971400.0
2000-01-14,18.63,19.0,18.63,18.88,237267.0,0.0,1.0,7.5446115211616,7.6944508267349,7.5446115211616,7.6458542951976,355900.5
2000-01-18,18.75,19.0,18.38,18.63,274667.0,0.0,1.0,7.5932080526989,7.6944508267349,7.4433687471257,7.5446115211616,412000.5
2000-01-19,18.63,18.69,18.13,18.31,554867.0,0.0,1.0,7.5446115211616,7.5689097869303,7.3421259730897,7.4150207703956,832300.5
2000-01-20,18.19,18.25,17.5,17.63,463467.0,0.0,1.0,7.3664242388583,7.390722504627,7.086994182519,7.1396404250177,695200.5
2000-01-21,17.88,17.88,17.56,17.56,469867.0,0.0,1.0,7.2408831990537,7.2408831990537,7.1112924482876,7.1112924482876,704800.5
2000-01-24,17.81,17.81,17.0,17.13,471400.0,0.0,1.0,7.2125352223236,7.2125352223236,6.884508634447,6.9371548769457,707100.0
2000-01-25,16.94,17.0,16.56,16.63,519667.0,0.0,1.0,6.8602103686784,6.884508634447,6.7063213521437,6.7346693288738,779500.5
2000-01-26,16.81,16.81,16.38,16.56,602867.0,0.0,1.0,6.8075641261797,6.8075641261797,6.6334265548378,6.7063213521437,904300.5
2000-01-27,16.56,16.69,16.25,16.5,376200.0,0.0,1.0,6.7063213521437,6.7589675946424,6.5807803123391,6.6820230863751,564300.0
2000-01-28,16.38,16.38,15.69,15.75,798000.0,0.0,1.0,6.6334265548378,6.6334265548378,6.3539964984985,6.3782947642671,1197000.0
2000-01-31,15.75,16.06,15.56,15.88,385000.0,0.0,1.0,6.3782947642671,6.5038358040717,6.3013502559997,6.4309410067658,577500.0
2000-02-01,15.88,16.0,15.25,15.38,425667.0,0.0,1.0,6.4309410067658,6.4795375383031,6.1758092161951,6.2284554586938,638500.5
2000-02-02,15.38,15.81,14.25,15.81,2485067.0,0.0,1.0,6.2284554586938,6.4025930300357,5.7708381200512,6.4025930300357,3727600.5
2000-02-03,15.88,16.19,15.63,16.19,376267.0,0.0,1.0,6.4309410067658,6.5564820465704,6.3296982327298,6.5564820465704,564400.5
2000-02-04,16.12,16.75,16.12,16.75,1167267.0,0.0,1.0,6.5281340698404,6.783265860411,6.5281340698404,6.783265860411,1750900.5
2000-02-07,16.69,16.75,15.94,16.06,411200.0,0.0,1.0,6.7589675946424,6.783265860411,6.4552392725344,6.5038358040717,616800.0
2000-02-08,16.25,16.5,16.13,16.38,592600.0,0.0,1.0,6.5807803123391,6.6820230863751,6.5321837808018,6.6334265548378,888900.0
2000-02-09,16.25,16.31,15.75,15.81,392667.0,0.0,1.0,6.5807803123391,6.6050785781077,6.3782947642671,6.4025930300357,589000.5
2000-02-10,15.69,16.06,15.5,15.88,449667.0,0.0,1.0,6.3539964984985,6.5038358040717,6.2770519902311,6.4309410067658,674500.5
2000-02-11,16.0,16.06,15.44,15.56,366400.0,0.0,1.0,6.4795375383031,6.5038358040717,6.2527537244625,6.3013502559997,549600.0
2000-02-14,15.5,15.56,15.06,15.13,287200.0,0.0,1.0,6.2770519902311,6.3013502559997,6.0988647079278,6.1272126846579,430800.0
2000-02-15,15.06,15.44,14.94,15.38,644200.0,0.0,1.0,6.0988647079278,6.2527537244625,6.0502681763905,6.2284554586938,966300.0
2000-02-16,15.38,15.44,14.63,14.69,455667.0,0.0,1.0,6.2284554586938,6.2527537244625,5.9247271365859,5.9490254023545,683500.5
2000-02-17,14.88,14.94,14.56,14.75,351400.0,0.0,1.0,6.0259699106219,6.0502681763905,5.8963791598558,5.9733236681232,527100.0
2000-02-18,14.5,14.63,14.25,14.44,653800.0,0.0,1.0,5.8720808940872,5.9247271365859,5.7708381200512,5.8477826283185,980700.0
2000-02-22,14.5,14.75,14.25,14.38,355200.0,0.0,1.0,5.8720808940872,5.9733236681232,5.7708381200512,5.8234843625499,532800.0
2000-02-23,14.31,14.72,14.13,14.13,755267.0,0.0,1.0,5.7951363858198,5.9611745352388,5.7222415885139,5.7222415885139,1132900.5
2000-02-24,14.0,14.13,13.31,13.69,585467.0,0.0,1.0,5.6695953460152,5.7222415885139,5.3901652896759,5.5440543062106,878200.5
2000-02-25,13.69,13.88,13.5,13.56,250067.0,0.0,1.0,5.5440543062106,5.6209988144779,5.4671097979432,5.4914080637119,375100.5
2000-02-28,13.81,13.94,13.44,13.5,328867.0,0.0,1.0,5.5926508377478,5.6452970802466,5.4428115321746,5.4671097979432,493300.5
2000-02-29,13.5,13.69,13.13,13.19,522000.0,0.0,1.0,5.4671097979432,5.5440543062106,5.31727049237,5.3415687581386,783000.0
2000-03-01,13.31,13.75,13.25,13.63,515667.0,0.0,1.0,5.3901652896759,5.5683525719792,5.3658670239072,5.5197560404419,773500.5
2000-03-02,13.63,13.88,13.38,13.44,316267.0,0.0,1.0,5.5197560404419,5.6209988144779,5.418513266406,5.4428115321746,474400.5
2000-03-03,13.44,13.75,13.38,13.56,413200.0,0.0,1.0,5.4428115321746,5.5683525719792,5.418513266406,5.4914080637119,619800.0
2000-03-06,13.5,13.75,13.38,13.56,376067.0,0.0,1.0,5.4671097979432,5.5683525719792,5.418513266406,5.4914080637119,564100.5
