Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.38,31.38,29.88,30.06,572300.0,0.0,1.0,13.926446005377,13.926446005377,13.260745909518,13.340629921021,572300.0
2000-01-04,29.56,30.13,29.56,30.13,561200.0,0.0,1.0,13.118729889068,13.371695925494,13.118729889068,13.371695925494,561200.0
2000-01-05,30.31,31.44,30.31,31.19,378200.0,0.0,1.0,13.451579936998,13.953074009212,13.451579936998,13.842123993235,378200.0
2000-01-06,31.0,31.38,30.69,30.94,288500.0,0.0,1.0,13.757801981093,13.926446005377,13.620223961282,13.731173977258,288500.0
2000-01-07,31.0,31.25,30.88,31.25,567300.0,0.0,1.0,13.757801981093,13.868751997069,13.704545973424,13.868751997069,567300.0
2000-01-10,31.94,32.13,31.31,31.44,632800.0,0.0,1.0,14.174974041165,14.259296053307,13.895380000904,13.953074009212,632800.0
2000-01-11,31.31,31.44,31.0,31.44,359700.0,0.0,1.0,13.895380000904,13.953074009212,13.757801981093,13.953074009212,359700.0
2000-01-12,31.31,31.94,31.25,31.56,1021700.0,0.0,1.0,13.895380000904,14.174974041165,13.868751997069,14.00633001688,1021700.0
2000-01-13,31.69,31.75,31.19,31.5,321400.0,0.0,1.0,14.064024025188,14.090652029022,13.842123993235,13.979702013046,321400.0
2000-01-14,31.56,31.75,31.0,31.19,409900.0,0.0,1.0,14.00633001688,14.090652029022,13.757801981093,13.842123993235,409900.0
2000-01-18,31.19,31.31,30.5,30.81,251200.0,0.0,1.0,13.842123993235,13.895380000904,13.53590194914,13.673479968951,251200.0
2000-01-19,31.0,32.13,30.88,31.88,581500.0,0.0,1.0,13.757801981093,14.259296053307,13.704545973424,14.14834603733,581500.0
2000-01-20,32.0,34.06,31.88,33.88,985800.0,0.0,1.0,14.201602044999,15.115830176646,14.14834603733,15.035946165143,985800.0
2000-01-21,34.75,37.5,33.88,37.19,1231300.0,0.0,1.0,15.422052220741,16.642502396483,15.035946165143,16.504924376672,1231300.0
2000-01-24,39.0,41.31,37.38,37.56,1822600.0,0.0,1.0,17.308202492343,18.333380639966,16.589246388814,16.669130400318,1822600.0
2000-01-25,37.63,38.0,35.25,35.75,773400.0,0.0,1.0,16.700196404791,16.864402428436,15.643952252694,15.865852284647,773400.0
2000-01-26,35.81,35.88,35.38,35.88,443300.0,0.0,1.0,15.892480288482,15.923546292955,15.701646261002,15.923546292955,443300.0
2000-01-27,35.75,35.75,34.5,35.0,963600.0,0.0,1.0,15.865852284647,15.865852284647,15.311102204765,15.533002236718,963600.0
2000-01-28,34.5,34.69,33.25,33.25,394300.0,0.0,1.0,15.311102204765,15.395424216907,14.756352124882,14.756352124882,394300.0
2000-01-31,33.63,35.0,33.38,34.75,906000.0,0.0,1.0,14.924996149166,15.533002236718,14.81404613319,15.422052220741,906000.0
2000-02-01,34.88,35.31,34.69,34.75,637000.0,0.0,1.0,15.479746229049,15.670580256529,15.395424216907,15.422052220741,637000.0
2000-02-02,34.44,34.56,33.62,33.69,386000.0,0.0,1.0,15.28447420093,15.337730208599,14.920558148527,14.951624153001,386000.0
2000-02-03,33.69,34.56,33.69,34.25,623600.0,0.0,1.0,14.951624153001,15.337730208599,14.951624153001,15.200152188788,623600.0
2000-02-04,34.31,34.38,33.13,33.25,546600.0,0.0,1.0,15.226780192622,15.257846197096,14.703096117213,14.756352124882,546600.0
2000-02-07,33.25,33.25,32.63,33.0,372800.0,0.0,1.0,14.756352124882,14.756352124882,14.48119608526,14.645402108905,372800.0
2000-02-08,33.19,33.25,32.94,33.0,580600.0,0.0,1.0,14.729724121047,14.756352124882,14.618774105071,14.645402108905,580600.0
2000-02-09,33.0,33.38,32.38,32.38,521800.0,0.0,1.0,14.645402108905,14.81404613319,14.370246069283,14.370246069283,521800.0
2000-02-10,32.63,32.69,31.88,32.19,662500.0,0.0,1.0,14.48119608526,14.507824089094,14.14834603733,14.285924057141,662500.0
2000-02-11,32.19,32.69,32.19,32.5,327200.0,0.0,1.0,14.285924057141,14.507824089094,14.285924057141,14.423502076952,327200.0
2000-02-14,32.75,33.38,32.44,32.69,509800.0,0.0,1.0,14.534452092929,14.81404613319,14.396874073118,14.507824089094,509800.0
2000-02-15,32.81,33.25,32.63,33.0,517600.0,0.0,1.0,14.561080096763,14.756352124882,14.48119608526,14.645402108905,517600.0
2000-02-16,33.06,33.25,32.5,32.56,377800.0,0.0,1.0,14.67203011274,14.756352124882,14.423502076952,14.450130080786,377800.0
2000-02-17,33.0,33.19,32.38,32.5,475400.0,0.0,1.0,14.645402108905,14.729724121047,14.370246069283,14.423502076952,475400.0
2000-02-18,32.5,32.56,32.06,32.13,328000.0,0.0,1.0,14.423502076952,14.450130080786,14.228230048833,14.259296053307,328000.0
2000-02-22,32.38,32.5,31.69,31.81,324800.0,0.0,1.0,14.370246069283,14.423502076952,14.064024025188,14.117280032857,324800.0
2000-02-23,31.56,31.63,30.75,30.88,302100.0,0.0,1.0,14.00633001688,14.037396021354,13.646851965116,13.704545973424,302100.0
2000-02-24,31.06,31.19,29.81,30.06,620100.0,0.0,1.0,13.784429984927,13.842123993235,13.229679905044,13.340629921021,620100.0
2000-02-25,30.06,30.19,29.13,29.44,451100.0,0.0,1.0,13.340629921021,13.398323929329,12.927895861588,13.065473881399,451100.0
2000-02-28,29.38,30.19,29.13,29.75,750600.0,0.0,1.0,13.038845877565,13.398323929329,12.927895861588,13.20305190121,750600.0
2000-02-29,29.75,30.31,29.5,30.19,437900.0,0.0,1.0,13.20305190121,13.451579936998,13.092101885233,13.398323929329,437900.0
2000-03-01,30.0,30.38,29.19,29.38,361500.0,0.0,1.0,13.314001917187,13.482645941471,12.954523865423,13.038845877565,361500.0
2000-03-02,29.75,29.75,29.19,29.38,608500.0,0.0,1.0,13.20305190121,13.20305190121,12.954523865423,13.038845877565,608500.0
2000-03-03,29.25,29.63,29.13,29.5,496600.0,0.0,1.0,12.981151869257,13.149795893541,12.927895861588,13.092101885233,496600.0
2000-03-06,31.0,31.0,29.63,29.81,1142100.0,0.0,1.0,13.757801981093,13.757801981093,13.149795893541,13.229679905044,1142100.0
2000-03-07,29.81,30.44,29.38,29.38,833100.0,0.0,1.0,13.229679905044,13.509273945305,13.038845877565,13.038845877565,833100.0
2000-03-08,29.31,30.0,29.13,29.75,572100.0,0.0,1.0,13.007779873091,13.314001917187,12.927895861588,13.20305190121,572100.0
2000-03-09,29.75,30.25,29.69,30.25,878900.0,0.0,1.0,13.20305190121,13.424951933163,13.176423897376,13.424951933163,878900.0
2000-03-10,30.5,31.19,30.38,30.75,843600.0,0.0,1.0,13.53590194914,13.842123993235,13.482645941471,13.646851965116,843600.0
2000-03-13,30.0,31.06,29.94,30.56,896700.0,0.0,1.0,13.314001917187,13.784429984927,13.287373913352,13.562529952974,896700.0
2000-03-14,30.56,30.94,29.75,30.0,1096300.0,0.0,1.0,13.562529952974,13.731173977258,13.20305190121,13.314001917187,1096300.0
2000-03-15,30.06,31.94,30.0,31.44,1075200.0,0.0,1.0,13.340629921021,14.174974041165,13.314001917187,13.953074009212,1075200.0
2000-03-16,30.56,32.31,30.5,31.88,2414700.0,0.515,1.0,13.781623520282,14.570819893335,13.75456535892,14.376903070242,2414700.0
2000-03-17,31.31,31.63,30.19,30.44,580200.0,0.0,1.0,14.119850537305,14.264160731234,13.614764858551,13.727507197559,580200.0
2000-03-20,30.63,30.94,30.38,30.69,454200.0,0.0,1.0,13.813191375204,13.952991875574,13.700449036197,13.840249536566,454200.0
2000-03-21,30.94,30.94,29.56,30.06,397800.0,0.0,1.0,13.952991875574,13.952991875574,13.330654164252,13.556138842267,397800.0
2000-03-22,30.0,30.0,28.44,29.25,737400.0,0.0,1.0,13.529080680905,13.529080680905,12.825568485498,13.190853663883,737400.0
2000-03-23,29.44,30.25,29.44,29.88,689300.0,0.0,1.0,13.276537841528,13.641823019913,13.276537841528,13.474964358182,689300.0
2000-03-24,29.81,29.94,29.31,29.75,541900.0,0.0,1.0,13.44339650326,13.502022519543,13.217911825244,13.416338341898,541900.0
2000-03-27,29.94,30.44,29.75,29.75,349600.0,0.0,1.0,13.502022519543,13.727507197559,13.416338341898,13.416338341898,349600.0
2000-03-28,29.75,30.25,29.63,30.0,636600.0,0.0,1.0,13.416338341898,13.641823019913,13.362222019174,13.529080680905,636600.0
2000-03-29,29.81,30.25,29.75,29.75,578300.0,0.0,1.0,13.44339650326,13.641823019913,13.416338341898,13.416338341898,578300.0
2000-03-30,29.94,30.38,29.5,29.63,813400.0,0.0,1.0,13.502022519543,13.700449036197,13.30359600289,13.362222019174,813400.0
2000-03-31,29.75,29.75,28.88,29.19,1806800.0,0.0,1.0,13.416338341898,13.416338341898,13.023995002151,13.163795502521,1806800.0
2000-04-03,29.13,29.38,28.88,29.31,564000.0,0.0,1.0,13.136737341159,13.249479680167,13.023995002151,13.217911825244,564000.0
