Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-03-27,15.25,16.62,15.25,16.5,918900.0,0.0,1.0,3.8125,4.155,3.8125,4.125,3675600.0
2000-03-28,16.5,16.5,16.0,16.06,269400.0,0.0,1.0,4.125,4.125,4.0,4.015,1077600.0
2000-03-29,16.0,16.12,15.81,16.0,109300.0,0.0,1.0,4.0,4.03,3.9525,4.0,437200.0
2000-03-30,16.0,16.0,15.38,15.38,470900.0,0.0,1.0,4.0,4.0,3.845,3.845,1883600.0
2000-03-31,14.94,14.94,13.56,13.56,1982900.0,0.0,1.0,3.735,3.735,3.39,3.39,7931600.0
2000-04-03,14.0,14.81,13.75,13.75,2871700.0,0.0,1.0,3.5,3.7025,3.4375,3.4375,11486800.0
2000-04-04,14.13,14.31,12.38,14.0,3284200.0,0.0,1.0,3.5325,3.5775,3.095,3.5,13136800.0
2000-04-05,13.88,14.25,13.81,13.94,1587400.0,0.0,1.0,3.47,3.5625,3.4525,3.485,6349600.0
2000-04-06,14.0,14.38,13.88,14.31,1795300.0,0.0,1.0,3.5,3.595,3.47,3.5775,7181200.0
2000-04-07,14.38,15.25,14.38,14.44,3476200.0,0.0,1.0,3.595,3.8125,3.595,3.61,13904800.0
2000-04-10,14.75,15.0,14.5,14.56,1320200.0,0.0,1.0,3.6875,3.75,3.625,3.64,5280800.0
2000-04-11,14.31,14.63,14.25,14.31,1647500.0,0.0,1.0,3.5775,3.6575,3.5625,3.5775,6590000.0
2000-04-12,14.19,14.56,14.13,14.31,2136600.0,0.0,1.0,3.5475,3.64,3.5325,3.5775,8546400.0
2000-04-13,14.31,14.63,14.31,14.45,1718600.0,0.0,1.0,3.5775,3.6575,3.5775,3.6125,6874400.0
2000-04-14,14.44,14.5,14.13,14.44,656500.0,0.0,1.0,3.61,3.625,3.5325,3.61,2626000.0
2000-04-17,14.31,14.44,14.06,14.25,748000.0,0.0,1.0,3.5775,3.61,3.515,3.5625,2992000.0
2000-04-18,14.44,14.5,13.94,14.06,724000.0,0.0,1.0,3.61,3.625,3.485,3.515,2896000.0
2000-04-19,14.25,14.63,14.25,14.38,1165600.0,0.0,1.0,3.5625,3.6575,3.5625,3.595,4662400.0
2000-04-20,14.31,14.75,14.25,14.63,1139700.0,0.0,1.0,3.5775,3.6875,3.5625,3.6575,4558800.0
