Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-09-16,11.9,12.93,11.0,12.7,969900.0,0.0,1.0,11.321168765878,12.301068247294,10.464945918038,12.082255741735,969900.0
2011-09-19,12.25,13.78,12.0,13.78,665400.0,0.0,1.0,11.654144317815,13.109723159142,11.41630463786,13.109723159142,665400.0
2011-09-20,13.98,14.02,13.33,13.7,794800.0,0.0,1.0,13.299994903107,13.3380492519,12.681611735223,13.033614461557,794800.0
2011-09-21,13.8,14.0,13.18,13.4,619000.0,0.0,1.0,13.128750333539,13.319022077503,12.538907927249,12.74820684561,619000.0
2011-09-22,13.09,13.25,12.4,13.2,1230500.0,0.0,1.0,12.453285642466,12.605503037637,11.796848125789,12.557935101646,1230500.0
2011-09-23,13.4,13.4,12.02,12.25,406200.0,0.0,1.0,12.74820684561,12.74820684561,11.435331812256,11.654144317815,406200.0
2011-09-26,12.39,12.67,11.39,12.67,181900.0,0.0,1.0,11.78733453859,12.05371498014,10.835975818769,12.05371498014,181900.0
2011-09-27,12.75,14.34,12.75,13.37,1788000.0,0.0,1.0,12.129823677726,13.642484042243,12.129823677726,12.719666084016,1788000.0
2011-09-28,13.29,13.7,12.75,12.85,251700.0,0.0,1.0,12.64355738643,13.033614461557,12.129823677726,12.224959549708,251700.0
2011-09-29,13.0,13.25,12.67,13.17,222300.0,0.0,1.0,12.367663357682,12.605503037637,12.05371498014,12.529394340051,222300.0
2011-09-30,13.03,13.25,12.06,12.4,623100.0,0.0,1.0,12.396204119276,12.605503037637,11.473386161049,11.796848125789,623100.0
2011-10-03,12.0,12.68,11.75,12.3,23632200.0,0.0,1.0,11.41630463786,12.063228567339,11.178464957904,11.701712253806,23632200.0
2011-10-04,12.19,13.25,11.05,12.3,6068200.0,0.0,1.0,11.597062794626,12.605503037637,10.512513854029,11.701712253806,6068200.0
2011-10-05,11.55,12.3,11.26,12.2,1983000.0,0.0,1.0,10.98819321394,11.701712253806,10.712299185192,11.606576381824,1983000.0
2011-10-06,11.9,12.98,11.9,12.76,3333600.0,0.0,1.0,11.321168765878,12.348636183285,11.321168765878,12.139337264924,3333600.0
2011-10-07,12.59,13.0,12.27,12.35,2049900.0,0.0,1.0,11.977606282555,12.367663357682,11.673171492212,11.749280189797,2049900.0
2011-10-10,12.35,12.44,11.99,12.37,1922500.0,0.0,1.0,11.749280189797,11.834902474581,11.406791050662,11.768307364194,1922500.0
2011-10-11,11.5,12.76,11.48,12.48,3015200.0,0.0,1.0,10.940625277949,12.139337264924,10.921598103553,11.872956823374,3015200.0
2011-10-12,12.46,12.8,12.38,12.6,3255100.0,0.0,1.0,11.853929648978,12.177391613717,11.777820951392,11.987119869753,3255100.0
