Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,121.3,123.0,114.5,119.5,396500.0,0.0,1.0,60.65,61.5,57.25,59.75,793000.0
2000-01-04,117.0,130.0,116.0,117.9,575900.0,0.0,1.0,58.5,65.0,58.0,58.95,1151800.0
2000-01-05,120.2,120.2,108.2,110.8,808400.0,0.0,1.0,60.1,60.1,54.1,55.4,1616800.0
2000-01-06,111.0,111.1,101.9,102.1,489200.0,0.0,1.0,55.5,55.55,50.95,51.05,978400.0
2000-01-07,100.0,107.9,94.5,98.63,662100.0,0.0,1.0,50.0,53.95,47.25,49.315,1324200.0
2000-01-10,105.0,105.0,98.5,102.1,598100.0,0.0,1.0,52.5,52.5,49.25,51.05,1196200.0
2000-01-11,103.6,108.5,99.06,100.5,674200.0,0.0,1.0,51.8,54.25,49.53,50.25,1348400.0
2000-01-12,102.4,102.9,93.5,94.75,509800.0,0.0,1.0,51.2,51.45,46.75,47.375,1019600.0
2000-01-13,97.0,99.0,89.25,92.94,778300.0,0.0,1.0,48.5,49.5,44.625,46.47,1556600.0
2000-01-14,96.38,105.0,91.56,98.0,950800.0,0.0,1.0,48.19,52.5,45.78,49.0,1901600.0
2000-01-18,101.1,114.0,99.94,112.9,876300.0,0.0,1.0,50.55,57.0,49.97,56.45,1752600.0
2000-01-19,114.9,119.5,108.0,110.6,536500.0,0.0,1.0,57.45,59.75,54.0,55.3,1073000.0
2000-01-20,114.0,120.0,111.1,119.5,460500.0,0.0,1.0,57.0,60.0,55.55,59.75,921000.0
2000-01-21,121.9,135.0,117.8,129.8,1073000.0,0.0,1.0,60.95,67.5,58.9,64.9,2146000.0
2000-01-24,134.0,142.1,128.0,130.0,1057400.0,0.0,1.0,67.0,71.05,64.0,65.0,2114800.0
2000-01-25,133.0,136.0,124.9,133.5,1062900.0,0.0,1.0,66.5,68.0,62.45,66.75,2125800.0
2000-01-26,129.0,129.6,114.0,114.5,2301500.0,0.0,1.0,64.5,64.8,57.0,57.25,4603000.0
2000-01-27,117.2,120.0,103.8,107.5,1150500.0,0.0,1.0,58.6,60.0,51.9,53.75,2301000.0
2000-01-28,102.3,111.0,97.63,98.5,988500.0,0.0,1.0,51.15,55.5,48.815,49.25,1977000.0
2000-01-31,97.94,99.75,85.75,94.0,1448200.0,0.0,1.0,48.97,49.875,42.875,47.0,2896400.0
2000-02-01,95.94,98.5,90.5,96.25,857000.0,0.0,1.0,47.97,49.25,45.25,48.125,1714000.0
2000-02-02,96.44,103.8,96.13,101.8,1148600.0,0.0,1.0,48.22,51.9,48.065,50.9,2297200.0
2000-02-03,104.5,106.5,93.75,96.44,1242700.0,0.0,1.0,52.25,53.25,46.875,48.22,2485400.0
2000-02-04,98.25,98.25,92.5,94.25,667100.0,0.0,1.0,49.125,49.125,46.25,47.125,1334200.0
2000-02-07,93.44,97.0,91.75,96.0,486300.0,0.0,1.0,46.72,48.5,45.875,48.0,972600.0
2000-02-08,98.0,101.5,95.13,95.5,688800.0,0.0,1.0,49.0,50.75,47.565,47.75,1377600.0
2000-02-09,98.31,98.31,90.88,92.13,1068800.0,0.0,1.0,49.155,49.155,45.44,46.065,2137600.0
2000-02-10,94.31,94.31,89.19,89.5,1032300.0,0.0,1.0,47.155,47.155,44.595,44.75,2064600.0
2000-02-11,91.25,105.0,89.0,98.38,2231500.0,0.0,1.0,45.625,52.5,44.5,49.19,4463000.0
