Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,57.5,57.63,56.25,56.31,1689700.0,0.0,1.0,1.6983317412027,1.702171447748,1.6614114859592,1.6631836582108,54070400.0
2000-01-04,54.5,55.0,53.25,53.75,1217500.0,0.0,1.0,1.6097231286182,1.6244912307156,1.5728028733747,1.5875709754721,38960000.0
2000-01-05,53.75,53.88,52.63,53.63,751200.0,0.0,1.0,1.5875709754721,1.5914106820174,1.5544904267739,1.5840266309687,24038400.0
2000-01-06,53.0,57.25,53.0,56.94,1117500.0,0.0,1.0,1.565418822326,1.690947690154,1.565418822326,1.6817914668536,35760000.0
2000-01-07,57.5,67.25,57.44,65.63,2118100.0,0.0,1.0,1.6983317412027,1.9863097321023,1.696559568951,1.9384610813067,67779200.0
2000-01-10,65.88,78.44,65.63,74.19,1913100.0,0.0,1.0,1.9458451323554,2.3168198570424,1.9384610813067,2.1912909892144,61219200.0
2000-01-11,74.31,74.38,66.25,67.41,1453200.0,0.0,1.0,2.1948353337178,2.1969028680114,1.9567735279075,1.9910355247735,46502400.0
2000-01-12,68.38,69.0,65.13,66.81,685100.0,0.0,1.0,2.0196856428424,2.0379980894432,1.9236929792092,1.9733138022566,21923200.0
2000-01-13,69.0,70.63,67.0,70.5,744100.0,0.0,1.0,2.0379980894432,2.0861421022808,1.9789256810536,2.0823023957355,23811200.0
2000-01-14,70.97,72.3,68.0,68.88,1215900.0,0.0,1.0,2.096184411707,2.1354675632862,2.0084618852484,2.0344537449399,38908800.0
2000-01-18,68.75,68.81,62.88,68.44,1208500.0,0.0,1.0,2.0306140383945,2.0323862106462,1.8572365197709,2.0214578150941,38672000.0
2000-01-19,67.88,67.88,59.88,62.88,2552700.0,0.0,1.0,2.004917540745,2.004917540745,1.7686279071864,1.8572365197709,81686400.0
2000-01-20,65.44,65.5,58.75,62.56,1239100.0,0.0,1.0,1.9328492025096,1.9346213747613,1.7352519964462,1.8477849344285,39651200.0
2000-01-21,62.69,64.69,62.0,62.38,783800.0,0.0,1.0,1.8516246409739,1.9106970493635,1.8312446600794,1.8424684176735,25081600.0
2000-01-24,64.06,64.06,55.38,55.44,1595700.0,0.0,1.0,1.8920892407208,1.8920892407208,1.6357149883097,1.6374871605613,51062400.0
2000-01-25,56.0,56.94,52.5,56.63,1202700.0,0.0,1.0,1.6540274349104,1.6817914668536,1.5506507202285,1.6726352435532,38486400.0
2000-01-26,56.81,56.81,52.25,53.97,910200.0,0.0,1.0,1.6779517603083,1.6779517603083,1.5432666691798,1.5940689403949,29126400.0
2000-01-27,54.69,55.06,49.5,49.63,728800.0,0.0,1.0,1.6153350074152,1.6262634029673,1.4620421076441,1.4658818141894,23321600.0
2000-01-28,50.0,51.13,46.19,48.97,1404300.0,0.0,1.0,1.4768102097415,1.5101861204816,1.3642772717592,1.4463879194208,44937600.0
2000-01-31,49.19,52.25,44.88,46.81,746700.0,0.0,1.0,1.4528858843437,1.5432666691798,1.3255848442639,1.38258971836,23894400.0
2000-02-01,46.38,48.75,45.88,46.19,971600.0,0.0,1.0,1.3698891505562,1.4398899544979,1.3551210484588,1.3642772717592,31091200.0
2000-02-02,46.63,49.0,45.63,45.94,1279800.0,0.0,1.0,1.3772732016049,1.4472740055466,1.3477369974101,1.3568932207105,40953600.0
2000-02-03,47.0,47.13,44.75,45.0,1249200.0,0.0,1.0,1.388201597157,1.3920413037023,1.3217451377186,1.3291291887673,39974400.0
2000-02-04,46.0,47.0,45.13,46.75,1072300.0,0.0,1.0,1.3586653929622,1.388201597157,1.3329688953127,1.3808175461083,34313600.0
2000-02-07,47.5,55.94,46.5,54.31,1724200.0,0.0,1.0,1.4029696992544,1.6522552626588,1.3734334950596,1.6041112498212,55174400.0
2000-02-08,55.44,59.75,53.5,59.31,1335600.0,0.0,1.0,1.6374871605613,1.7647882006411,1.5801869244234,1.7517922707953,42739200.0
2000-02-09,60.44,61.0,54.25,54.94,1154500.0,0.0,1.0,1.7851681815355,1.8017084558846,1.6023390775695,1.6227190584639,36944000.0
2000-02-10,56.16,58.63,53.5,55.36,996100.0,0.0,1.0,1.6587532275816,1.7317076519429,1.5801869244234,1.6351242642258,31875200.0
2000-02-11,55.44,56.63,53.38,55.94,1113700.0,0.0,1.0,1.6374871605613,1.6726352435532,1.57664257992,1.6522552626588,35638400.0
2000-02-14,56.16,60.5,56.13,60.06,1066000.0,0.0,1.0,1.6587532275816,1.7869403537872,1.6578671414558,1.7739444239415,34112000.0
2000-02-15,60.5,64.0,59.5,63.5,1638000.0,0.0,1.0,1.7869403537872,1.8903170684691,1.7574041495924,1.8755489663717,52416000.0
2000-02-16,64.0,68.0,63.75,63.81,2033600.0,0.0,1.0,1.8903170684691,2.0084618852484,1.8829330174204,1.8847051896721,65075200.0
2000-02-17,67.13,75.88,67.13,74.5,2272600.0,0.0,1.0,1.9827653875989,2.2412071743037,1.9827653875989,2.2004472125148,72723200.0
2000-02-18,73.0,80.5,70.69,77.06,2366100.0,0.0,1.0,2.1561429062226,2.3776644376838,2.0879142745325,2.2760598952536,75715200.0
2000-02-22,75.63,76.5,68.25,74.91,1382800.0,0.0,1.0,2.233823123255,2.2595196209045,2.0158459362971,2.2125570562347,44249600.0
2000-02-23,76.44,77.25,74.0,75.75,791300.0,0.0,1.0,2.2577474486528,2.2816717740506,2.1856791104174,2.2373674677583,25321600.0
2000-02-24,76.63,77.88,72.25,73.38,705700.0,0.0,1.0,2.2633593274498,2.3002795826933,2.1339907530764,2.1673666638166,22582400.0
