Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2001-01-16,15.0,15.0,15.0,15.0,800.0,0.0,1.0,3.6121327679702,3.6121327679702,3.6121327679702,3.6121327679702,3200.0
2001-01-17,15.0,15.0,15.0,15.0,30700.0,0.0,1.0,3.6121327679702,3.6121327679702,3.6121327679702,3.6121327679702,122800.0
2001-01-18,15.32,16.32,15.32,16.32,41800.0,0.0,1.0,3.6891916003536,3.9300004515516,3.6891916003536,3.9300004515516,167200.0
2001-01-19,16.48,17.08,16.48,17.08,14900.0,0.0,1.0,3.9685298677433,4.1130151784621,3.9685298677433,4.1130151784621,59600.0
2001-01-22,17.0,18.32,17.0,18.16,36700.0,0.0,1.0,4.0937504703663,4.4116181539476,4.0937504703663,4.3730887377559,146800.0
2001-01-23,18.0,19.08,18.0,18.48,19000.0,0.0,1.0,4.3345593215643,4.5946328808581,4.3345593215643,4.4501475701393,76000.0
2001-01-24,18.32,18.32,18.16,18.16,140000.0,0.0,1.0,4.4116181539476,4.4116181539476,4.3730887377559,4.3730887377559,560000.0
2001-01-25,18.4,18.48,18.32,18.48,35800.0,0.0,1.0,4.4308828620435,4.4501475701393,4.4116181539476,4.4501475701393,143200.0
2001-01-26,18.32,18.36,18.32,18.32,20500.0,0.0,1.0,4.4116181539476,4.4212505079956,4.4116181539476,4.4116181539476,82000.0
2001-01-29,18.52,18.75,18.4,18.7,65500.0,0.0,1.0,4.4597799241872,4.5151659599628,4.4308828620435,4.5031255174029,262000.0
2001-01-30,18.7,18.7,18.35,18.6,84800.0,0.0,1.0,4.5031255174029,4.5031255174029,4.4188424194836,4.4790446322831,339200.0
2001-01-31,18.7,19.05,18.7,18.75,81500.0,0.0,1.0,4.5031255174029,4.5874086153222,4.5031255174029,4.5151659599628,326000.0
2001-02-01,19.0,21.2,18.76,20.9,639200.0,0.0,1.0,4.5753681727623,5.1051476453979,4.5175740484748,5.0329049900385,2556800.0
2001-02-02,20.75,21.0,20.6,20.83,198900.0,0.0,1.0,4.9967836623588,5.0569858751583,4.9606623346791,5.0160483704546,795600.0
2001-02-05,20.85,21.45,19.92,19.97,161200.0,0.0,1.0,5.0208645474786,5.1653498581974,4.7969123158645,4.8089527584244,644800.0
2001-02-06,19.9,20.02,19.75,19.75,334700.0,0.0,1.0,4.7920961388405,4.8209932009843,4.7559748111608,4.7559748111608,1338800.0
2001-02-07,19.7,20.0,19.65,20.0,337600.0,0.0,1.0,4.7439343686009,4.8161770239603,4.731893926041,4.8161770239603,1350400.0
2001-02-08,20.0,20.16,19.5,19.5,144700.0,0.0,1.0,4.8161770239603,4.854706440152,4.6957725983613,4.6957725983613,578800.0
