Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-09-06,19.75,21.34,19.55,21.11,7646000.0,0.0,1.0,4.5843229160043,4.9533899254447,4.5378993928043,4.9000028737646,30584000.0
2006-09-07,21.12,22.84,20.55,22.1,5384800.0,0.0,1.0,4.9023240499246,5.301566349445,4.7700170088045,5.1297993136048,21539200.0
2006-09-08,21.91,22.72,21.61,22.06,3904500.0,0.0,1.0,5.0856969665648,5.273712235525,5.0160616817647,5.1205146089648,15618000.0
2006-09-11,21.51,21.97,21.5,21.74,5187900.0,0.0,1.0,4.9928499201647,5.0996240235248,4.9905287440047,5.0462369718447,20751600.0
2006-09-12,21.69,22.05,21.45,21.93,2288500.0,0.0,1.0,5.0346310910447,5.1181934328048,4.9789228632047,5.0903393188848,9154000.0
2006-09-13,22.01,23.2,22.01,22.55,3069700.0,0.0,1.0,5.1089087281648,5.3851286912051,5.1089087281648,5.2342522408049,12278800.0
2006-09-14,22.25,22.5,21.67,21.81,1378800.0,0.0,1.0,5.1646169560049,5.2226463600049,5.0299887387247,5.0624852049648,5515200.0
2006-09-15,21.71,21.84,21.2,21.27,2016000.0,0.0,1.0,5.0392734433647,5.0694487334448,4.9208934592046,4.9371416923246,8064000.0
2006-09-18,21.5,21.75,21.27,21.66,900400.0,0.0,1.0,4.9905287440047,5.0485581480047,4.9371416923246,5.0276675625647,3601600.0
2006-09-19,21.55,22.5,21.23,21.4,947200.0,0.0,1.0,5.0021346248047,5.2226463600049,4.9278569876846,4.9673169824047,3788800.0
2006-09-20,21.38,22.26,21.36,22.2,634200.0,0.0,1.0,4.9626746300847,5.1669381321649,4.9580322777647,5.1530110752048,2536800.0
2006-09-21,21.7,22.0,21.6665,21.75,691900.0,0.0,1.0,5.0369522672047,5.1065875520048,5.0291763270687,5.0485581480047,2767600.0
2006-09-22,21.77,22.22,21.66,22.14,362200.0,0.0,1.0,5.0532005003247,5.1576534275248,5.0276675625647,5.1390840182448,1448800.0
2006-09-25,21.92,22.51,21.85,22.27,801000.0,0.0,1.0,5.0880181427248,5.2249675361649,5.0717699096048,5.1692593083249,3204000.0
2006-09-26,22.4,22.5,22.3024,22.37,422500.0,0.0,1.0,5.1994345984049,5.2226463600049,5.1767799190833,5.1924710699249,1690000.0
2006-09-27,21.86,22.6901,21.8,22.6,1138100.0,0.0,1.0,5.0740910857648,5.2667719188065,5.0601640288048,5.2458581216049,4552400.0
2006-09-28,22.35,22.93,22.29,22.45,749900.0,0.0,1.0,5.1878287176049,5.322456934885,5.1739016606449,5.2110404792049,2999600.0
2006-09-29,22.55,22.64,22.21,22.51,793300.0,0.0,1.0,5.2342522408049,5.2551428262449,5.1553322513648,5.2249675361649,3173200.0
2006-10-02,22.38,22.61,22.3,22.49,548500.0,0.0,1.0,5.1947922460849,5.2481792977649,5.1762228368049,5.2203251838449,2194000.0
2006-10-03,22.58,22.73,22.32,22.51,670100.0,0.0,1.0,5.2412157692849,5.276033411685,5.1808651891249,5.2249675361649,2680400.0
2006-10-04,22.4,23.09,22.25,22.7,749700.0,0.0,1.0,5.1994345984049,5.359595753445,5.1646169560049,5.269069883205,2998800.0
2006-10-05,22.6,23.2699,22.6,23.15,1130800.0,0.0,1.0,5.2458581216049,5.4013537125635,5.2458581216049,5.373522810405,4523200.0
2006-10-06,23.02,23.14,22.76,22.92,399800.0,0.0,1.0,5.343347520325,5.371201634245,5.282996940165,5.320135758725,1599200.0
2006-10-09,22.8,23.13,22.65,22.98,248400.0,0.0,1.0,5.292281644805,5.368880458085,5.2574640024049,5.334062815685,993600.0
2006-10-10,22.53,22.85,22.39,22.68,983000.0,0.0,1.0,5.2296098884849,5.303887525605,5.1971134222449,5.2644275308849,3932000.0
2006-10-11,22.7,22.76,22.35,22.65,932800.0,0.0,1.0,5.269069883205,5.282996940165,5.1878287176049,5.2574640024049,3731200.0
2006-10-12,23.34,23.49,22.88,23.0,1523800.0,0.0,1.0,5.4176251574451,5.4524427998451,5.310851054085,5.338705168005,6095200.0
2006-10-13,23.08,23.4299,23.08,23.35,1009100.0,0.0,1.0,5.357274577285,5.4384925311235,5.357274577285,5.4199463336051,4036400.0
2006-10-16,23.34,23.34,23.0,23.0,474600.0,0.0,1.0,5.4176251574451,5.4176251574451,5.338705168005,5.338705168005,1898400.0
2006-10-17,23.0,23.05,22.79,22.8,510700.0,0.0,1.0,5.338705168005,5.350311048805,5.289960468645,5.292281644805,2042800.0
2006-10-18,22.89,23.05,22.73,22.99,709700.0,0.0,1.0,5.313172230245,5.350311048805,5.276033411685,5.336383991845,2838800.0
2006-10-19,23.0,23.1,22.75,23.0,343200.0,0.0,1.0,5.338705168005,5.361916929605,5.280675764005,5.338705168005,1372800.0
2006-10-20,23.01,23.38,23.01,23.24,180600.0,0.0,1.0,5.341026344165,5.4269098620851,5.341026344165,5.3944133958451,722400.0
2006-10-23,23.24,23.68,23.24,23.55,547700.0,0.0,1.0,5.3944133958451,5.4965451468852,5.3944133958451,5.4663698568051,2190800.0
2006-10-24,23.3,23.81,23.11,23.81,484800.0,0.0,1.0,5.4083404528051,5.5267204369652,5.364238105765,5.5267204369652,1939200.0
2006-10-25,23.7,24.15,23.6601,23.8,542600.0,0.0,1.0,5.5011874992052,5.6056404264053,5.4919260063268,5.5243992608052,2170400.0
2006-10-26,23.79,24.5,23.72,24.27,682400.0,0.0,1.0,5.5220780846452,5.6868815920053,5.5058298515252,5.6334945403253,2729600.0
2006-10-27,24.25,24.5,24.17,24.45,591500.0,0.0,1.0,5.6288521880053,5.6868815920053,5.6102827787253,5.6752757112053,2366000.0
2006-10-30,24.25,24.6,23.99,24.25,531700.0,0.0,1.0,5.6288521880053,5.7100933536054,5.5685016078452,5.6288521880053,2126800.0
2006-10-31,23.5,23.91,23.02,23.6,1326000.0,0.0,1.0,5.4547639760051,5.5499321985652,5.343347520325,5.4779757376051,5304000.0
2006-11-01,23.37,23.43,22.89,23.02,585300.0,0.0,1.0,5.4245886859251,5.4385157428851,5.313172230245,5.343347520325,2341200.0
2006-11-02,23.0,23.62,22.5,23.55,640500.0,0.0,1.0,5.338705168005,5.4826180899252,5.2226463600049,5.4663698568051,2562000.0
2006-11-03,23.3,23.5,22.85,22.97,649200.0,0.0,1.0,5.4083404528051,5.4547639760051,5.303887525605,5.331741639525,2596800.0
2006-11-06,22.8,23.0,22.705,22.8,814300.0,0.0,1.0,5.292281644805,5.338705168005,5.270230471285,5.292281644805,3257200.0
2006-11-07,22.67,22.92,22.21,22.33,715500.0,0.0,1.0,5.2621063547249,5.320135758725,5.1553322513648,5.1831863652849,2862000.0
2006-11-08,22.0,22.36,21.7,22.13,830700.0,0.0,1.0,5.1065875520048,5.1901498937649,5.0369522672047,5.1367628420848,3322800.0
2006-11-09,22.08,22.23,21.99,22.14,717700.0,0.0,1.0,5.1251569612848,5.1599746036848,5.1042663758448,5.1390840182448,2870800.0
2006-11-10,22.35,22.55,22.0,22.53,584600.0,0.0,1.0,5.1878287176049,5.2342522408049,5.1065875520048,5.2296098884849,2338400.0
2006-11-13,22.53,22.84,22.41,22.56,372900.0,0.0,1.0,5.2296098884849,5.301566349445,5.2017557745649,5.2365734169649,1491600.0
2006-11-14,22.5,23.61,22.5,23.48,638800.0,0.0,1.0,5.2226463600049,5.4802969137651,5.2226463600049,5.4501216236851,2555200.0
2006-11-15,24.0,24.02,23.4521,23.78,728000.0,0.0,1.0,5.5708227840052,5.5754651363252,5.4436455421987,5.5197569084852,2912000.0
2006-11-16,23.85,24.15,23.7,24.04,730400.0,0.0,1.0,5.5360051416052,5.6056404264053,5.5011874992052,5.5801074886452,2921600.0
2006-11-17,24.06,24.06,23.78,24.0,652700.0,0.0,1.0,5.5847498409652,5.5847498409652,5.5197569084852,5.5708227840052,2610800.0
2006-11-20,24.0,24.37,23.85,24.28,577900.0,0.0,1.0,5.5708227840052,5.6567063019253,5.5360051416052,5.6358157164853,2311600.0
2006-11-21,24.16,24.34,23.99,24.15,313600.0,0.0,1.0,5.6079616025653,5.6497427734453,5.5685016078452,5.6056404264053,1254400.0
2006-11-22,24.24,24.65,24.14,24.48,724100.0,0.0,1.0,5.6265310118453,5.7216992344054,5.6033192502453,5.6822392396853,2896400.0
2006-11-24,24.35,24.45,24.07,24.45,145300.0,0.0,1.0,5.6520639496053,5.6752757112053,5.5870710171252,5.6752757112053,581200.0
2006-11-27,24.3,24.35,23.78,24.04,280200.0,0.0,1.0,5.6404580688053,5.6520639496053,5.5197569084852,5.5801074886452,1120800.0
2006-11-28,23.98,24.14,23.7,24.02,745200.0,0.0,1.0,5.5661804316852,5.6033192502453,5.5011874992052,5.5754651363252,2980800.0
2006-11-29,23.87,24.14,23.86,24.0,256300.0,0.0,1.0,5.5406474939252,5.6033192502453,5.5383263177652,5.5708227840052,1025200.0
