Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,57.69,58.44,56.5,56.69,2100800.0,0.0,1.0,37.996568770932,38.49054392396,37.212794861461,37.337935233561,2100800.0
2000-01-04,56.38,56.44,54.06,55.69,2670300.0,0.0,1.0,37.133758836976,37.173276849218,35.605729030276,36.67930169619,2670300.0
2000-01-05,55.75,56.25,54.69,55.0,2975700.0,0.0,1.0,36.718819708433,37.048136477118,36.020668158819,36.224844555404,2975700.0
2000-01-06,55.5,56.13,54.5,56.0,2388000.0,0.0,1.0,36.55416132409,36.969100452633,35.895527786719,36.883478092775,2388000.0
2000-01-07,56.75,59.38,56.44,59.0,3943400.0,0.0,1.0,37.377453245804,39.109659449089,37.173276849218,38.859378704888,3943400.0
2000-01-10,59.44,59.88,58.31,59.31,1467400.0,0.0,1.0,39.149177461331,39.438976217775,38.404921564102,39.063555101473,1467400.0
2000-01-11,59.94,60.19,58.75,58.88,2641000.0,0.0,1.0,39.478494230017,39.64315261436,38.694720320545,38.780342680404,2641000.0
2000-01-12,59.38,59.75,59.06,59.44,2046200.0,0.0,1.0,39.109659449089,39.353353857916,38.89889671713,39.149177461331,2046200.0
2000-01-13,59.94,60.0,59.5,59.88,1543900.0,0.0,1.0,39.478494230017,39.518012242259,39.188695473574,39.438976217775,1543900.0
2000-01-14,60.0,60.5,59.25,59.88,2549000.0,0.0,1.0,39.518012242259,39.847329010945,39.024037089231,39.438976217775,2549000.0
2000-01-18,59.75,60.38,57.63,59.0,3184300.0,0.0,1.0,39.353353857916,39.76829298646,37.95705075869,38.859378704888,3184300.0
2000-01-19,59.0,59.0,52.5,54.25,11410700.0,0.0,1.0,38.859378704888,38.859378704888,34.578260711977,35.730869402376,11410700.0
2000-01-20,54.5,55.25,52.56,52.88,5193200.0,0.0,1.0,35.895527786719,36.389502939747,34.617778724219,34.828541456178,5193200.0
2000-01-21,53.0,53.13,49.94,51.31,5065300.0,0.0,1.0,34.907577480662,34.993199840521,32.892158856307,33.794486802505,5065300.0
2000-01-24,51.44,51.44,47.0,47.75,6944600.0,0.0,1.0,33.880109162364,33.880109162364,30.955776256436,31.449751409465,6944600.0
2000-01-25,46.25,47.94,45.0,47.56,5044200.0,0.0,1.0,30.461801103408,31.574891781565,29.638509181694,31.324611037364,5044200.0
2000-01-26,47.94,48.5,46.13,47.63,4770500.0,0.0,1.0,31.574891781565,31.943726562493,30.382765078924,31.37071538498,4770500.0
2000-01-27,47.13,48.19,44.63,46.25,4691000.0,0.0,1.0,31.041398616295,31.739550165908,29.394814772867,30.461801103408,4691000.0
2000-01-28,45.13,46.63,44.81,45.19,3140100.0,0.0,1.0,29.724131541553,30.712081847609,29.513368809594,29.763649553795,3140100.0
2000-01-31,45.19,48.0,45.19,48.0,3392700.0,0.0,1.0,29.763649553795,31.614409793807,29.763649553795,31.614409793807,3392700.0
2000-02-01,48.0,48.38,47.13,47.5,2850600.0,0.0,1.0,31.614409793807,31.864690538008,31.041398616295,31.285093025122,2850600.0
