Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,13.94,13.94,12.38,12.62,423400.0,0.0,1.0,3.485,3.485,3.095,3.155,1693600.0
2000-01-04,12.56,12.56,12.0,12.0,182000.0,0.0,1.0,3.14,3.14,3.0,3.0,728000.0
2000-01-05,12.56,12.88,12.31,12.81,588000.0,0.0,1.0,3.14,3.22,3.0775,3.2025,2352000.0
2000-01-06,12.75,13.0,12.5,12.69,212200.0,0.0,1.0,3.1875,3.25,3.125,3.1725,848800.0
2000-01-07,12.63,13.25,12.5,13.13,800700.0,0.0,1.0,3.1575,3.3125,3.125,3.2825,3202800.0
2000-01-10,13.25,14.25,13.13,13.94,453100.0,0.0,1.0,3.3125,3.5625,3.2825,3.485,1812400.0
2000-01-11,14.0,14.0,13.38,13.63,291800.0,0.0,1.0,3.5,3.5,3.345,3.4075,1167200.0
2000-01-12,13.5,14.0,13.38,14.0,762200.0,0.0,1.0,3.375,3.5,3.345,3.5,3048800.0
2000-01-13,14.06,16.19,14.0,15.94,953900.0,0.0,1.0,3.515,4.0475,3.5,3.985,3815600.0
2000-01-14,16.06,16.25,15.13,15.38,237100.0,0.0,1.0,4.015,4.0625,3.7825,3.845,948400.0
2000-01-18,15.38,16.0,15.38,15.56,328900.0,0.0,1.0,3.845,4.0,3.845,3.89,1315600.0
2000-01-19,15.63,15.63,14.13,14.38,197100.0,0.0,1.0,3.9075,3.9075,3.5325,3.595,788400.0
2000-01-20,14.63,15.0,13.38,14.88,215000.0,0.0,1.0,3.6575,3.75,3.345,3.72,860000.0
2000-01-21,14.69,15.0,14.38,14.56,154200.0,0.0,1.0,3.6725,3.75,3.595,3.64,616800.0
2000-01-24,14.88,15.13,14.13,15.0,165400.0,0.0,1.0,3.72,3.7825,3.5325,3.75,661600.0
2000-01-25,14.66,15.06,13.5,14.06,207900.0,0.0,1.0,3.665,3.765,3.375,3.515,831600.0
2000-01-26,13.75,14.19,13.5,13.5,64300.0,0.0,1.0,3.4375,3.5475,3.375,3.375,257200.0
2000-01-27,13.5,13.63,12.88,13.5,199600.0,0.0,1.0,3.375,3.4075,3.22,3.375,798400.0
2000-01-28,13.5,14.19,13.13,13.13,287300.0,0.0,1.0,3.375,3.5475,3.2825,3.2825,1149200.0
2000-01-31,13.13,13.63,13.13,13.19,103800.0,0.0,1.0,3.2825,3.4075,3.2825,3.2975,415200.0
2000-02-01,13.44,13.63,13.25,13.38,172300.0,0.0,1.0,3.36,3.4075,3.3125,3.345,689200.0
2000-02-02,13.31,13.5,13.31,13.38,65800.0,0.0,1.0,3.3275,3.375,3.3275,3.345,263200.0
2000-02-03,13.41,13.44,12.88,13.25,234200.0,0.0,1.0,3.3525,3.36,3.22,3.3125,936800.0
2000-02-04,13.31,13.31,13.25,13.31,155400.0,0.0,1.0,3.3275,3.3275,3.3125,3.3275,621600.0
2000-02-07,13.25,13.38,13.0,13.31,134400.0,0.0,1.0,3.3125,3.345,3.25,3.3275,537600.0
2000-02-08,13.31,13.44,13.19,13.31,170600.0,0.0,1.0,3.3275,3.36,3.2975,3.3275,682400.0
2000-02-09,13.25,13.56,13.0,13.0,207600.0,0.0,1.0,3.3125,3.39,3.25,3.25,830400.0
2000-02-10,13.44,13.5,13.0,13.5,138200.0,0.0,1.0,3.36,3.375,3.25,3.375,552800.0
2000-02-11,13.38,13.44,12.5,12.5,656300.0,0.0,1.0,3.345,3.36,3.125,3.125,2625200.0
2000-02-14,13.13,14.0,12.88,13.75,261600.0,0.0,1.0,3.2825,3.5,3.22,3.4375,1046400.0
2000-02-15,13.75,14.0,13.5,13.63,326400.0,0.0,1.0,3.4375,3.5,3.375,3.4075,1305600.0
2000-02-16,13.75,13.88,12.63,13.13,313600.0,0.0,1.0,3.4375,3.47,3.1575,3.2825,1254400.0
2000-02-17,12.97,13.63,12.75,13.38,409600.0,0.0,1.0,3.2425,3.4075,3.1875,3.345,1638400.0
2000-02-18,13.41,13.44,12.88,13.0,193200.0,0.0,1.0,3.3525,3.36,3.22,3.25,772800.0
2000-02-22,14.13,14.5,13.13,13.5,733900.0,0.0,1.0,3.5325,3.625,3.2825,3.375,2935600.0
2000-02-23,14.06,14.75,13.5,14.63,684000.0,0.0,1.0,3.515,3.6875,3.375,3.6575,2736000.0
2000-02-24,14.75,15.13,14.5,14.94,443700.0,0.0,1.0,3.6875,3.7825,3.625,3.735,1774800.0
2000-02-25,14.88,15.13,14.75,14.94,207200.0,0.0,1.0,3.72,3.7825,3.6875,3.735,828800.0
2000-02-28,15.19,17.0,14.88,16.63,517100.0,0.0,1.0,3.7975,4.25,3.72,4.1575,2068400.0
2000-02-29,17.25,18.75,17.13,18.75,737400.0,0.0,1.0,4.3125,4.6875,4.2825,4.6875,2949600.0
2000-03-01,18.13,18.81,16.0,18.19,665500.0,0.0,1.0,4.5325,4.7025,4.0,4.5475,2662000.0
2000-03-02,17.56,17.63,15.31,15.69,545900.0,0.0,1.0,4.39,4.4075,3.8275,3.9225,2183600.0
