Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,47.0,47.5,46.19,46.38,453200.0,0.0,1.0,15.589844160419,15.755693566381,15.321168122761,15.384190897026,906400.0
2000-01-04,45.75,46.0,44.44,44.63,530000.0,0.0,1.0,15.175220645514,15.258145348495,14.740695201894,14.80371797616,1060000.0
2000-01-05,44.75,46.5,44.38,45.06,543700.0,0.0,1.0,14.843521833591,15.423994754457,14.720793273179,14.946348465287,1087400.0
2000-01-06,45.06,47.31,44.88,46.0,501200.0,0.0,1.0,14.946348465287,15.692670792116,14.886642679141,15.258145348495,1002400.0
2000-01-07,46.06,46.94,45.25,46.13,402900.0,0.0,1.0,15.278047277211,15.569942231704,15.009371239553,15.301266194046,805800.0
2000-01-10,46.0,46.81,45.69,46.25,329600.0,0.0,1.0,15.258145348495,15.526821386154,15.155318716799,15.341070051476,659200.0
2000-01-11,46.25,46.5,44.75,45.31,406600.0,0.0,1.0,15.341070051476,15.423994754457,14.843521833591,15.029273168268,813200.0
2000-01-12,45.56,46.56,44.69,45.0,342000.0,0.0,1.0,15.112197871249,15.443896683173,14.823619904875,14.926446536572,684000.0
2000-01-13,45.0,45.44,44.56,44.69,250300.0,0.0,1.0,14.926446536572,15.072394013818,14.780499059325,14.823619904875,500600.0
2000-01-14,44.88,44.88,40.0,42.56,4758500.0,0.0,1.0,14.886642679141,14.886642679141,13.267952476953,14.117101435478,9517000.0
2000-01-18,42.56,43.0,41.63,43.0,501700.0,0.0,1.0,14.117101435478,14.263048912724,13.808621540388,14.263048912724,1003400.0
2000-01-19,42.5,43.38,42.13,43.13,515700.0,0.0,1.0,14.097199506762,14.389094461255,13.97447094635,14.306169758274,1031400.0
2000-01-20,43.06,43.13,42.0,42.19,543700.0,0.0,1.0,14.282950841439,14.306169758274,13.9313501008,13.994372875066,1087400.0
2000-01-21,42.19,42.44,40.75,41.25,480100.0,0.0,1.0,13.994372875066,14.077297578047,13.516726585895,13.682575991857,960200.0
2000-01-24,41.63,41.63,40.13,40.13,332900.0,0.0,1.0,13.808621540388,13.808621540388,13.311073322503,13.311073322503,665800.0
2000-01-25,40.38,41.19,39.31,39.81,320800.0,0.0,1.0,13.393998025484,13.662674063142,13.039080296725,13.204929702687,641600.0
2000-01-26,40.0,40.44,39.25,40.19,499100.0,0.0,1.0,13.267952476953,13.413899954199,13.01917836801,13.330975251218,998200.0
2000-01-27,40.13,40.13,39.0,39.44,311800.0,0.0,1.0,13.311073322503,13.311073322503,12.936253665029,13.082201142275,623600.0
2000-01-28,39.25,39.25,37.75,37.75,703800.0,0.0,1.0,13.01917836801,13.01917836801,12.521630150124,12.521630150124,1407600.0
2000-01-31,38.5,42.81,38.44,42.5,991200.0,0.0,1.0,12.770404259067,14.200026138458,12.750502330351,14.097199506762,1982400.0
2000-02-01,42.25,42.5,40.25,40.56,599200.0,0.0,1.0,14.014274803781,14.097199506762,13.350877179934,13.45370381163,1198400.0
2000-02-02,40.5,41.19,40.38,40.75,650000.0,0.0,1.0,13.433801882914,13.662674063142,13.393998025484,13.516726585895,1300000.0
