Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,65.31,89.75,65.25,89.63,1917400.0,0.0,1.0,32.655,44.875,32.625,44.815,3834800.0
2000-01-04,81.5,102.0,79.75,93.25,1788400.0,0.0,1.0,40.75,51.0,39.875,46.625,3576800.0
2000-01-05,93.13,93.25,80.5,89.13,715700.0,0.0,1.0,46.565,46.625,40.25,44.565,1431400.0
2000-01-06,90.63,90.75,78.88,83.31,818200.0,0.0,1.0,45.315,45.375,39.44,41.655,1636400.0
2000-01-07,83.75,106.8,82.5,104.4,1496000.0,0.0,1.0,41.875,53.4,41.25,52.2,2992000.0
2000-01-10,108.0,119.9,107.1,110.3,1404100.0,0.0,1.0,54.0,59.95,53.55,55.15,2808200.0
2000-01-11,119.0,119.5,106.0,108.6,1167700.0,0.0,1.0,59.5,59.75,53.0,54.3,2335400.0
2000-01-12,116.3,117.1,102.0,103.0,769900.0,0.0,1.0,58.15,58.55,51.0,51.5,1539800.0
2000-01-13,104.5,138.0,103.3,137.3,1072400.0,0.0,1.0,52.25,69.0,51.65,68.65,2144800.0
2000-01-14,130.0,137.6,119.0,131.8,911100.0,0.0,1.0,65.0,68.8,59.5,65.9,1822200.0
2000-01-18,132.1,132.1,125.0,130.1,478600.0,0.0,1.0,66.05,66.05,62.5,65.05,957200.0
2000-01-19,129.5,142.0,127.0,139.9,713400.0,0.0,1.0,64.75,71.0,63.5,69.95,1426800.0
2000-01-20,140.0,148.3,131.1,145.7,706900.0,0.0,1.0,70.0,74.15,65.55,72.85,1413800.0
2000-01-21,144.5,157.1,142.3,157.1,841000.0,0.0,1.0,72.25,78.55,71.15,78.55,1682000.0
2000-01-24,160.0,160.3,137.5,138.1,1189300.0,0.0,1.0,80.0,80.15,68.75,69.05,2378600.0
2000-01-25,137.5,137.6,126.4,129.4,744300.0,0.0,1.0,68.75,68.8,63.2,64.7,1488600.0
2000-01-26,134.5,142.3,131.3,135.9,697000.0,0.0,1.0,67.25,71.15,65.65,67.95,1394000.0
2000-01-27,135.5,144.1,131.5,138.9,923000.0,0.0,1.0,67.75,72.05,65.75,69.45,1846000.0
2000-01-28,140.9,141.5,122.0,128.5,976400.0,0.0,1.0,70.45,70.75,61.0,64.25,1952800.0
2000-01-31,124.8,124.8,106.9,109.8,1249700.0,0.0,1.0,62.4,62.4,53.45,54.9,2499400.0
2000-02-01,109.1,115.5,106.0,111.9,1128800.0,0.0,1.0,54.55,57.75,53.0,55.95,2257600.0
