Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-06-02,46.76,47.08,45.97,47.06,5727129.0,0.0,1.0,46.76,47.08,45.97,47.06,5727129.0
2017-06-05,47.03,47.2,46.71,46.8,4082775.0,0.0,1.0,47.03,47.2,46.71,46.8,4082775.0
2017-06-06,46.81,46.81,46.36,46.63,2320343.0,0.0,1.0,46.81,46.81,46.36,46.63,2320343.0
2017-06-07,46.91,46.91,46.38,46.63,2311536.0,0.0,1.0,46.91,46.91,46.38,46.63,2311536.0
2017-06-08,46.66,47.03,46.17,46.48,2988432.0,0.0,1.0,46.66,47.03,46.17,46.48,2988432.0
2017-06-09,46.73,46.73,46.05,46.32,2199217.0,0.0,1.0,46.73,46.73,46.05,46.32,2199217.0
2017-06-12,46.19,46.46,45.7,46.31,3881811.0,0.0,1.0,46.19,46.46,45.7,46.31,3881811.0
2017-06-13,46.4,46.705,46.32,46.6,2363774.0,0.0,1.0,46.4,46.705,46.32,46.6,2363774.0
2017-06-14,46.76,47.22,46.67,47.19,2598530.0,0.0,1.0,46.76,47.22,46.67,47.19,2598530.0
2017-06-15,47.05,47.48,46.43,47.32,3074953.0,0.0,1.0,47.05,47.48,46.43,47.32,3074953.0
2017-06-16,47.28,47.67,46.26,47.53,4775275.0,0.0,1.0,47.28,47.67,46.26,47.53,4775275.0
2017-06-19,47.56,47.92,47.48,47.86,2091634.0,0.0,1.0,47.56,47.92,47.48,47.86,2091634.0
2017-06-20,47.63,47.84,46.9,46.94,3040727.0,0.0,1.0,47.63,47.84,46.9,46.94,3040727.0
2017-06-21,47.0,47.08,46.57,46.77,2634053.0,0.0,1.0,47.0,47.08,46.57,46.77,2634053.0
2017-06-22,46.75,46.87,46.385,46.68,2280866.0,0.0,1.0,46.75,46.87,46.385,46.68,2280866.0
2017-06-23,46.69,46.735,46.2,46.55,17497046.0,0.0,1.0,46.69,46.735,46.2,46.55,17497046.0
2017-06-26,46.59,46.89,46.315,46.4,3711416.0,0.0,1.0,46.59,46.89,46.315,46.4,3711416.0
2017-06-27,46.68,46.755,45.28,45.37,4857637.0,0.0,1.0,46.68,46.755,45.28,45.37,4857637.0
2017-06-28,45.69,45.79,44.99,45.05,4608133.0,0.0,1.0,45.69,45.79,44.99,45.05,4608133.0
2017-06-29,45.03,45.07,44.15,44.19,2785844.0,0.0,1.0,45.03,45.07,44.15,44.19,2785844.0
2017-06-30,44.27,44.32,44.03,44.04,2445731.0,0.0,1.0,44.27,44.32,44.03,44.04,2445731.0
2017-07-03,44.21,44.61,44.06,44.17,2064755.0,0.0,1.0,44.21,44.61,44.06,44.17,2064755.0
2017-07-05,44.2,44.58,44.02,44.34,1790070.0,0.0,1.0,44.2,44.58,44.02,44.34,1790070.0
2017-07-06,44.05,44.255,43.84,43.93,1893786.0,0.0,1.0,44.05,44.255,43.84,43.93,1893786.0
2017-07-07,44.0,44.35,43.985,44.27,1383722.0,0.0,1.0,44.0,44.35,43.985,44.27,1383722.0
2017-07-10,44.26,44.26,43.71,43.72,1466288.0,0.0,1.0,44.26,44.26,43.71,43.72,1466288.0
2017-07-11,43.66,43.93,43.34,43.79,1636363.0,0.0,1.0,43.66,43.93,43.34,43.79,1636363.0
2017-07-12,43.95,44.51,43.79,44.48,1764508.0,0.0,1.0,43.95,44.51,43.79,44.48,1764508.0
2017-07-13,44.4,44.7904,44.1396,44.5,1491154.0,0.0,1.0,44.4,44.7904,44.1396,44.5,1491154.0
2017-07-14,44.43,44.995,44.3536,44.76,1371667.0,0.0,1.0,44.43,44.995,44.3536,44.76,1371667.0
2017-07-17,44.71,45.48,44.63,45.26,1822859.0,0.0,1.0,44.71,45.48,44.63,45.26,1822859.0
2017-07-18,45.19,45.47,44.87,45.39,1418216.0,0.0,1.0,45.19,45.47,44.87,45.39,1418216.0
2017-07-19,45.35,45.47,45.25,45.39,1348973.0,0.0,1.0,45.35,45.47,45.25,45.39,1348973.0
2017-07-20,45.37,45.56,45.23,45.29,1084847.0,0.0,1.0,45.37,45.56,45.23,45.29,1084847.0
2017-07-21,45.23,45.875,45.23,45.65,1810129.0,0.0,1.0,45.23,45.875,45.23,45.65,1810129.0
