Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2003-10-06,15.17,15.89,15.03,15.79,383600.0,0.0,1.0,1.89625,1.98625,1.87875,1.97375,3068800.0
2003-10-07,15.65,16.6,15.65,16.25,423900.0,0.0,1.0,1.95625,2.075,1.95625,2.03125,3391200.0
2003-10-08,16.35,16.35,15.8,16.1,398900.0,0.0,1.0,2.04375,2.04375,1.975,2.0125,3191200.0
2003-10-09,15.91,16.1,15.6,15.6,152800.0,0.0,1.0,1.98875,2.0125,1.95,1.95,1222400.0
2003-10-10,15.6,15.939,15.15,15.42,333500.0,0.0,1.0,1.95,1.992375,1.89375,1.9275,2668000.0
2003-10-13,15.48,15.48,15.25,15.31,189000.0,0.0,1.0,1.935,1.935,1.90625,1.91375,1512000.0
2003-10-14,15.37,16.65,15.31,16.3,267500.0,0.0,1.0,1.92125,2.08125,1.91375,2.0375,2140000.0
2003-10-15,16.31,16.92,16.0,16.01,98100.0,0.0,1.0,2.03875,2.115,2.0,2.00125,784800.0
2003-10-16,16.14,16.25,16.0,16.1,48300.0,0.0,1.0,2.0175,2.03125,2.0,2.0125,386400.0
2003-10-17,16.01,16.06,15.85,15.85,200200.0,0.0,1.0,2.00125,2.0075,1.98125,1.98125,1601600.0
2003-10-20,15.98,16.02,15.76,15.95,168500.0,0.0,1.0,1.9975,2.0025,1.97,1.99375,1348000.0
2003-10-21,15.89,15.98,15.86,15.95,110600.0,0.0,1.0,1.98625,1.9975,1.9825,1.99375,884800.0
2003-10-22,16.0,16.0,15.8,15.84,88800.0,0.0,1.0,2.0,2.0,1.975,1.98,710400.0
2003-10-23,15.76,15.76,15.35,15.5,114800.0,0.0,1.0,1.97,1.97,1.91875,1.9375,918400.0
2003-10-24,15.46,16.0,15.46,15.93,202000.0,0.0,1.0,1.9325,2.0,1.9325,1.99125,1616000.0
2003-10-27,15.999,16.6,15.75,16.0,99900.0,0.0,1.0,1.999875,2.075,1.96875,2.0,799200.0
2003-10-28,16.4,16.6,15.68,15.83,202300.0,0.0,1.0,2.05,2.075,1.96,1.97875,1618400.0
2003-10-29,15.771,16.22,15.65,16.1,205700.0,0.0,1.0,1.971375,2.0275,1.95625,2.0125,1645600.0
2003-10-30,16.1,16.94,16.0,16.6,132500.0,0.0,1.0,2.0125,2.1175,2.0,2.075,1060000.0
2003-10-31,16.65,17.3,16.6,17.3,182300.0,0.0,1.0,2.08125,2.1625,2.075,2.1625,1458400.0
2003-11-03,17.3,17.87,17.07,17.51,95300.0,0.0,1.0,2.1625,2.23375,2.13375,2.18875,762400.0
2003-11-04,17.71,17.71,17.0,17.23,100500.0,0.0,1.0,2.21375,2.21375,2.125,2.15375,804000.0
2003-11-05,16.99,17.05,16.7,17.0,8100.0,0.0,1.0,2.12375,2.13125,2.0875,2.125,64800.0
2003-11-06,16.98,17.0,16.66,16.88,48000.0,0.0,1.0,2.1225,2.125,2.0825,2.11,384000.0
2003-11-07,17.0,17.0,16.71,17.0,27300.0,0.0,1.0,2.125,2.125,2.08875,2.125,218400.0
2003-11-10,16.68,17.1,16.68,16.95,61800.0,0.0,1.0,2.085,2.1375,2.085,2.11875,494400.0
2003-11-11,16.75,17.0,16.75,17.0,114500.0,0.0,1.0,2.09375,2.125,2.09375,2.125,916000.0
2003-11-12,16.8,17.19,16.7,16.99,74800.0,0.0,1.0,2.1,2.14875,2.0875,2.12375,598400.0
2003-11-13,16.7,16.999,16.61,16.62,15100.0,0.0,1.0,2.0875,2.124875,2.07625,2.0775,120800.0
2003-11-14,16.61,16.8,16.61,16.74,249400.0,0.0,1.0,2.07625,2.1,2.07625,2.0925,1995200.0
2003-11-17,16.75,16.85,16.4,16.41,231900.0,0.0,1.0,2.09375,2.10625,2.05,2.05125,1855200.0
2003-11-18,16.41,16.5,16.3,16.3,12200.0,0.0,1.0,2.05125,2.0625,2.0375,2.0375,97600.0
2003-11-19,16.27,16.64,16.2,16.5,44300.0,0.0,1.0,2.03375,2.08,2.025,2.0625,354400.0
2003-11-20,16.5,16.599,16.25,16.45,107800.0,0.0,1.0,2.0625,2.074875,2.03125,2.05625,862400.0
2003-11-21,16.25,16.6,16.2,16.6,24900.0,0.0,1.0,2.03125,2.075,2.025,2.075,199200.0
2003-11-24,16.6,16.7,16.4,16.7,26000.0,0.0,1.0,2.075,2.0875,2.05,2.0875,208000.0
2003-11-25,16.8,17.2,16.5,16.75,38700.0,0.0,1.0,2.1,2.15,2.0625,2.09375,309600.0
2003-11-26,16.88,17.95,16.7,17.8,73800.0,0.0,1.0,2.11,2.24375,2.0875,2.225,590400.0
2003-11-28,17.8,17.85,17.4,17.7,5200.0,0.0,1.0,2.225,2.23125,2.175,2.2125,41600.0
2003-12-01,17.9,18.0,17.5,18.0,29200.0,0.0,1.0,2.2375,2.25,2.1875,2.25,233600.0
2003-12-02,17.5,18.0,17.5,17.65,37500.0,0.0,1.0,2.1875,2.25,2.1875,2.20625,300000.0
2003-12-03,17.81,17.85,17.51,17.84,22800.0,0.0,1.0,2.22625,2.23125,2.18875,2.23,182400.0
2003-12-04,17.8,17.97,17.75,17.97,128600.0,0.0,1.0,2.225,2.24625,2.21875,2.24625,1028800.0
2003-12-05,17.75,18.2,17.75,17.76,50400.0,0.0,1.0,2.21875,2.275,2.21875,2.22,403200.0
2003-12-08,17.95,17.95,16.9,16.9,28500.0,0.0,1.0,2.24375,2.24375,2.1125,2.1125,228000.0
2003-12-09,17.55,17.55,15.63,16.05,68800.0,0.0,1.0,2.19375,2.19375,1.95375,2.00625,550400.0
2003-12-10,16.06,16.46,16.0,16.299,14900.0,0.0,1.0,2.0075,2.0575,2.0,2.037375,119200.0
2003-12-11,16.25,17.14,16.0,16.9,31200.0,0.0,1.0,2.03125,2.1425,2.0,2.1125,249600.0
2003-12-12,16.81,17.4,16.79,17.34,104700.0,0.0,1.0,2.10125,2.175,2.09875,2.1675,837600.0
2003-12-15,16.81,17.7,16.81,17.25,30700.0,0.0,1.0,2.10125,2.2125,2.10125,2.15625,245600.0
2003-12-16,17.26,17.8,17.26,17.67,26000.0,0.0,1.0,2.1575,2.225,2.1575,2.20875,208000.0
2003-12-17,17.3,18.09,17.3,18.0,24900.0,0.0,1.0,2.1625,2.26125,2.1625,2.25,199200.0
2003-12-18,18.05,18.05,17.82,18.0,5100.0,0.0,1.0,2.25625,2.25625,2.2275,2.25,40800.0
2003-12-19,17.67,18.0,17.67,18.0,65000.0,0.0,1.0,2.20875,2.25,2.20875,2.25,520000.0
2003-12-22,17.51,18.05,17.51,18.0,9600.0,0.0,1.0,2.18875,2.25625,2.18875,2.25,76800.0
2003-12-23,18.0,18.25,17.96,18.2,24700.0,0.0,1.0,2.25,2.28125,2.245,2.275,197600.0
2003-12-24,18.3,18.3,17.96,18.25,9200.0,0.0,1.0,2.2875,2.2875,2.245,2.28125,73600.0
2003-12-26,18.2,18.25,18.2,18.25,400.0,0.0,1.0,2.275,2.28125,2.275,2.28125,3200.0
