Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,26.0,26.0,23.88,24.56,159500.0,0.0,1.0,26.0,26.0,23.88,24.56,159500.0
2000-01-04,24.81,24.88,23.88,24.0,160600.0,0.0,1.0,24.81,24.88,23.88,24.0,160600.0
2000-01-05,24.06,24.5,23.63,24.44,80400.0,0.0,1.0,24.06,24.5,23.63,24.44,80400.0
2000-01-06,24.44,24.75,24.0,24.31,105300.0,0.0,1.0,24.44,24.75,24.0,24.31,105300.0
2000-01-07,24.19,24.63,24.0,24.63,53700.0,0.0,1.0,24.19,24.63,24.0,24.63,53700.0
2000-01-10,24.81,24.88,24.19,24.81,60000.0,0.0,1.0,24.81,24.88,24.19,24.81,60000.0
2000-01-11,25.0,25.25,24.38,24.38,99100.0,0.0,1.0,25.0,25.25,24.38,24.38,99100.0
2000-01-12,24.63,24.63,23.44,23.5,105600.0,0.0,1.0,24.63,24.63,23.44,23.5,105600.0
2000-01-13,23.81,24.38,23.81,24.38,236100.0,0.0,1.0,23.81,24.38,23.81,24.38,236100.0
2000-01-14,24.31,25.44,24.31,25.0,387100.0,0.0,1.0,24.31,25.44,24.31,25.0,387100.0
2000-01-18,24.88,24.94,24.75,24.75,96300.0,0.0,1.0,24.88,24.94,24.75,24.75,96300.0
2000-01-19,24.75,25.0,24.75,24.88,146400.0,0.0,1.0,24.75,25.0,24.75,24.88,146400.0
2000-01-20,24.88,24.94,23.5,23.56,132000.0,0.0,1.0,24.88,24.94,23.5,23.56,132000.0
2000-01-21,23.69,23.81,23.63,23.69,105400.0,0.0,1.0,23.69,23.81,23.63,23.69,105400.0
2000-01-24,23.69,23.94,23.56,23.56,57500.0,0.0,1.0,23.69,23.94,23.56,23.56,57500.0
2000-01-25,23.63,23.63,22.13,22.25,243800.0,0.0,1.0,23.63,23.63,22.13,22.25,243800.0
2000-01-26,22.0,22.69,21.19,22.31,290600.0,0.0,1.0,22.0,22.69,21.19,22.31,290600.0
2000-01-27,22.38,22.94,22.31,22.69,215900.0,0.0,1.0,22.38,22.94,22.31,22.69,215900.0
2000-01-28,22.75,23.38,22.69,23.06,213200.0,0.0,1.0,22.75,23.38,22.69,23.06,213200.0
2000-01-31,22.88,23.75,22.88,23.44,320600.0,0.0,1.0,22.88,23.75,22.88,23.44,320600.0
2000-02-01,23.44,23.69,23.44,23.56,371300.0,0.0,1.0,23.44,23.69,23.44,23.56,371300.0
2000-02-02,23.56,23.69,22.81,23.38,191200.0,0.0,1.0,23.56,23.69,22.81,23.38,191200.0
2000-02-03,23.56,24.06,23.06,23.25,211000.0,0.0,1.0,23.56,24.06,23.06,23.25,211000.0
2000-02-04,23.19,23.56,23.19,23.31,68600.0,0.0,1.0,23.19,23.56,23.19,23.31,68600.0
2000-02-07,23.38,23.5,22.75,22.81,33500.0,0.0,1.0,23.38,23.5,22.75,22.81,33500.0
2000-02-08,22.88,22.88,22.25,22.63,106000.0,0.0,1.0,22.88,22.88,22.25,22.63,106000.0
2000-02-09,22.5,22.63,21.31,21.75,169600.0,0.0,1.0,22.5,22.63,21.31,21.75,169600.0
2000-02-10,21.81,22.19,21.75,22.19,200700.0,0.0,1.0,21.81,22.19,21.75,22.19,200700.0
2000-02-11,22.06,22.06,21.56,21.81,171200.0,0.0,1.0,22.06,22.06,21.56,21.81,171200.0
2000-02-14,21.81,22.75,21.81,22.38,368300.0,0.0,1.0,21.81,22.75,21.81,22.38,368300.0
2000-02-15,22.56,22.81,22.56,22.63,170300.0,0.0,1.0,22.56,22.81,22.56,22.63,170300.0
2000-02-16,22.5,23.44,22.44,22.63,198900.0,0.0,1.0,22.5,23.44,22.44,22.63,198900.0
2000-02-17,22.75,22.75,22.38,22.44,136700.0,0.0,1.0,22.75,22.75,22.38,22.44,136700.0
2000-02-18,22.44,23.13,22.44,22.81,418900.0,0.0,1.0,22.44,23.13,22.44,22.81,418900.0
2000-02-22,22.69,22.69,21.38,21.38,131300.0,0.0,1.0,22.69,22.69,21.38,21.38,131300.0
2000-02-23,21.5,21.88,20.31,20.94,173400.0,0.0,1.0,21.5,21.88,20.31,20.94,173400.0
2000-02-24,20.94,21.13,20.56,20.69,174800.0,0.0,1.0,20.94,21.13,20.56,20.69,174800.0
2000-02-25,20.69,22.0,20.69,21.63,234400.0,0.0,1.0,20.69,22.0,20.69,21.63,234400.0
2000-02-28,21.56,22.13,21.5,21.88,197900.0,0.0,1.0,21.56,22.13,21.5,21.88,197900.0
2000-02-29,21.94,22.19,21.56,22.19,153600.0,0.0,1.0,21.94,22.19,21.56,22.19,153600.0
2000-03-01,22.06,22.25,21.81,22.25,151400.0,0.0,1.0,22.06,22.25,21.81,22.25,151400.0
2000-03-02,22.19,22.25,21.75,21.94,103900.0,0.0,1.0,22.19,22.25,21.75,21.94,103900.0
2000-03-03,22.0,22.06,21.31,21.44,99200.0,0.0,1.0,22.0,22.06,21.31,21.44,99200.0
2000-03-06,21.38,21.5,20.56,20.63,81000.0,0.0,1.0,21.38,21.5,20.56,20.63,81000.0
2000-03-07,20.31,21.19,20.31,21.0,137500.0,0.0,1.0,20.31,21.19,20.31,21.0,137500.0
2000-03-08,20.94,21.0,19.75,19.75,167600.0,0.0,1.0,20.94,21.0,19.75,19.75,167600.0
2000-03-09,19.94,20.31,19.5,20.31,255100.0,0.0,1.0,19.94,20.31,19.5,20.31,255100.0
2000-03-10,20.38,20.38,19.5,19.81,100300.0,0.0,1.0,20.38,20.38,19.5,19.81,100300.0
2000-03-13,19.81,19.81,18.94,19.25,138300.0,0.0,1.0,19.81,19.81,18.94,19.25,138300.0
2000-03-14,19.13,20.38,19.13,20.38,369100.0,0.0,1.0,19.13,20.38,19.13,20.38,369100.0
2000-03-15,20.38,21.5,20.19,21.25,262800.0,0.0,1.0,20.38,21.5,20.19,21.25,262800.0
