Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.0,30.0,27.37,27.94,208200.0,0.0,1.0,10.294985444743,10.294985444743,9.3924583874202,9.5880631108703,416400.0
2000-01-04,27.87,28.37,27.56,28.31,64900.0,0.0,1.0,9.5640414781659,9.7356245689116,9.4576599619036,9.7150345980221,129800.0
2000-01-05,28.06,28.69,27.81,28.56,114800.0,0.0,1.0,9.6292430526493,9.8454377469889,9.5434515072764,9.800826143395,229600.0
2000-01-06,28.31,28.44,27.31,28.19,75400.0,0.0,1.0,9.7150345980221,9.759646201616,9.3718684165307,9.6738546562432,150800.0
2000-01-07,28.06,28.31,27.87,28.06,40400.0,0.0,1.0,9.6292430526493,9.7150345980221,9.5640414781659,9.6292430526493,80800.0
2000-01-10,27.81,27.81,26.75,26.81,114100.0,0.0,1.0,9.5434515072764,9.5434515072764,9.1796953548955,9.200285325785,228200.0
2000-01-11,26.87,27.37,26.56,26.62,162100.0,0.0,1.0,9.2208752966745,9.3924583874202,9.1144937804121,9.1350837513016,324200.0
2000-01-12,26.37,26.75,25.12,26.62,206600.0,0.0,1.0,9.0492922059288,9.1796953548955,8.6203344790645,9.1350837513016,413200.0
2000-01-13,26.87,28.37,26.87,27.25,259900.0,0.0,1.0,9.2208752966745,9.7356245689116,9.2208752966745,9.3512784456412,519800.0
2000-01-14,27.37,28.12,27.37,27.5,248800.0,0.0,1.0,9.3924583874202,9.6498330235388,9.3924583874202,9.4370699910141,497600.0
2000-01-18,27.5,27.62,26.0,26.0,255100.0,0.0,1.0,9.4370699910141,9.4782499327931,8.922320718777,8.922320718777,510200.0
2000-01-19,26.0,26.19,24.75,25.44,240100.0,0.0,1.0,8.922320718777,8.9875222932603,8.4933629919127,8.7301476571418,480200.0
2000-01-20,25.37,25.44,25.0,25.12,110900.0,0.0,1.0,8.7061260244374,8.7301476571418,8.5791545372855,8.6203344790645,221800.0
2000-01-21,25.37,25.44,24.56,25.0,133700.0,0.0,1.0,8.7061260244374,8.7301476571418,8.4281614174293,8.5791545372855,267400.0
2000-01-24,24.87,25.06,23.81,24.12,209700.0,0.0,1.0,8.5345429336916,8.599744508175,8.1707867813107,8.2771682975731,419400.0
2000-01-25,24.25,24.62,23.75,24.06,204100.0,0.0,1.0,8.321779901167,8.4487513883188,8.1501968104213,8.2565783266836,408200.0
2000-01-26,24.25,25.87,24.25,24.62,411800.0,0.0,1.0,8.321779901167,8.8777091151831,8.321779901167,8.4487513883188,823600.0
2000-01-27,25.37,26.25,25.19,25.37,194800.0,0.0,1.0,8.7061260244374,9.0081122641498,8.6443561117689,8.7061260244374,389600.0
2000-01-28,25.25,26.0,24.75,25.87,184500.0,0.0,1.0,8.6649460826584,8.922320718777,8.4933629919127,8.8777091151831,369000.0
2000-01-31,25.75,26.69,25.75,26.44,119900.0,0.0,1.0,8.8365291734041,9.159105384006,8.8365291734041,9.0733138386332,239800.0
2000-02-01,26.5,26.5,25.44,26.19,106600.0,0.0,1.0,9.0939038095227,9.0939038095227,8.7301476571418,8.9875222932603,213200.0
2000-02-02,26.0,26.06,24.31,24.75,156700.0,0.0,1.0,8.922320718777,8.9429106896664,8.3423698720564,8.4933629919127,313400.0
2000-02-03,25.25,26.25,25.12,26.0,272600.0,0.0,1.0,8.6649460826584,9.0081122641498,8.6203344790645,8.922320718777,545200.0
2000-02-04,26.37,27.5,26.0,27.25,260400.0,0.0,1.0,9.0492922059288,9.4370699910141,8.922320718777,9.3512784456412,520800.0
2000-02-07,27.06,27.06,26.12,26.44,154400.0,0.0,1.0,9.2860768711579,9.2860768711579,8.9635006605559,9.0733138386332,308800.0
2000-02-08,26.37,27.37,26.37,27.0,124300.0,0.0,1.0,9.0492922059288,9.3924583874202,9.0492922059288,9.2654869002684,248600.0
2000-02-09,26.81,27.06,26.69,27.06,97400.0,0.0,1.0,9.200285325785,9.2860768711579,9.159105384006,9.2860768711579,194800.0
2000-02-10,27.06,27.5,27.0,27.12,140300.0,0.0,1.0,9.2860768711579,9.4370699910141,9.2654869002684,9.3066668420473,280600.0
2000-02-11,27.25,27.62,27.06,27.12,205900.0,0.0,1.0,9.3512784456412,9.4782499327931,9.2860768711579,9.3066668420473,411800.0
2000-02-14,27.06,27.19,26.94,27.06,106200.0,0.0,1.0,9.2860768711579,9.3306884747517,9.2448969293789,9.2860768711579,212400.0
2000-02-15,27.0,28.06,27.0,28.06,190400.0,0.0,1.0,9.2654869002684,9.6292430526493,9.2654869002684,9.6292430526493,380800.0
