Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,41.12,41.31,40.25,40.5,147600.0,0.0,1.0,31.736162882291,31.88280371273,31.064702237651,31.257650698754,147600.0
2000-01-04,40.25,40.5,39.25,39.94,145100.0,0.0,1.0,31.064702237651,31.257650698754,30.292908393237,30.825446145883,145100.0
2000-01-05,40.13,42.31,40.13,42.31,429900.0,0.0,1.0,30.972086976321,32.654597557143,30.972086976321,32.654597557143,429900.0
2000-01-06,42.06,45.38,41.63,45.13,481300.0,0.0,1.0,32.46164909604,35.024004659493,32.129777742942,34.83105619839,481300.0
2000-01-07,44.88,48.38,44.44,47.0,464500.0,0.0,1.0,34.638107737286,37.339386192734,34.298518445744,36.274310687443,464500.0
2000-01-10,47.5,48.06,46.19,46.31,238800.0,0.0,1.0,36.66020760965,37.092412162522,35.649157673468,35.741772934798,238800.0
2000-01-11,46.56,47.38,45.25,45.88,188100.0,0.0,1.0,35.934721395901,36.567592348321,34.92367145972,35.4099015817,188100.0
2000-01-12,45.88,47.75,45.88,47.44,337100.0,0.0,1.0,35.4099015817,36.853156070754,35.4099015817,36.613899978985,337100.0
2000-01-13,47.75,49.63,47.75,49.38,363300.0,0.0,1.0,36.853156070754,38.304128498251,36.853156070754,38.111180037148,363300.0
2000-01-14,49.44,50.0,46.5,47.19,172100.0,0.0,1.0,38.157487667813,38.589692220685,35.888413765237,36.420951517882,172100.0
2000-01-18,47.06,47.94,45.75,46.69,194200.0,0.0,1.0,36.320618318108,36.999796901192,35.309568381926,36.035054595675,194200.0
2000-01-19,46.94,47.19,45.81,46.38,117800.0,0.0,1.0,36.228003056779,36.420951517882,35.355876012591,35.795798503907,117800.0
2000-01-20,46.38,46.38,44.06,44.25,174600.0,0.0,1.0,35.795798503907,35.795798503907,34.005236784867,34.151877615306,174600.0
2000-01-21,44.63,44.94,43.63,43.88,74500.0,0.0,1.0,34.445159276183,34.684415367951,33.673365431769,33.866313892873,74500.0
2000-01-24,44.25,44.94,43.25,44.88,125700.0,0.0,1.0,34.151877615306,34.684415367951,33.380083770892,34.638107737286,125700.0
2000-01-25,43.75,44.31,42.63,42.94,128600.0,0.0,1.0,33.765980693099,34.198185245971,32.901571587356,33.140827679124,128600.0
2000-01-26,43.19,44.56,42.38,43.25,265600.0,0.0,1.0,33.333776140227,34.391133707074,32.708623126252,33.380083770892,265600.0
2000-01-27,43.31,44.06,42.31,43.75,189100.0,0.0,1.0,33.426391401557,34.005236784867,32.654597557143,33.765980693099,189100.0
2000-01-28,43.81,44.69,42.75,44.0,261000.0,0.0,1.0,33.812288323764,34.491466906848,32.994186848685,33.958929154202,261000.0
2000-01-31,43.88,43.88,41.69,42.0,153800.0,0.0,1.0,33.866313892873,33.866313892873,32.176085373607,32.415341465375,153800.0
2000-02-01,42.13,42.63,41.81,42.13,190500.0,0.0,1.0,32.515674665149,32.901571587356,32.268700634936,32.515674665149,190500.0
2000-02-02,42.31,43.5,42.31,43.38,191600.0,0.0,1.0,32.654597557143,33.573032231996,32.654597557143,33.480416970666,191600.0
2000-02-03,43.38,44.5,43.13,44.38,191100.0,0.0,1.0,33.480416970666,34.344826076409,33.287468509562,34.25221081508,191100.0
2000-02-04,44.19,44.75,43.0,43.81,168800.0,0.0,1.0,34.105569984641,34.537774537513,33.187135309789,33.812288323764,168800.0
2000-02-07,43.56,43.75,43.0,43.38,70900.0,0.0,1.0,33.61933986266,33.765980693099,33.187135309789,33.480416970666,70900.0
2000-02-08,43.56,43.75,42.0,42.0,134900.0,0.0,1.0,33.61933986266,33.765980693099,32.415341465375,32.415341465375,134900.0
2000-02-09,42.5,42.5,40.88,41.0,120000.0,0.0,1.0,32.801238387582,32.801238387582,31.550932359632,31.643547620961,120000.0
2000-02-10,41.0,41.0,39.5,40.0,159300.0,0.0,1.0,31.643547620961,31.643547620961,30.485856854341,30.871753776548,159300.0
2000-02-11,40.13,40.38,39.38,39.63,97000.0,0.0,1.0,30.972086976321,31.165035437425,30.393241593011,30.586190054115,97000.0
2000-02-14,39.38,39.56,38.31,39.0,141400.0,0.0,1.0,30.393241593011,30.532164485006,29.567422179488,30.099959932134,141400.0
2000-02-15,39.13,40.25,38.69,39.5,175400.0,0.0,1.0,30.200293131908,31.064702237651,29.860703840366,30.485856854341,175400.0
2000-02-16,39.75,40.63,39.31,39.5,121200.0,0.0,1.0,30.678805315444,31.357983898528,30.339216023902,30.485856854341,121200.0
2000-02-17,39.38,40.0,39.13,39.81,138700.0,0.0,1.0,30.393241593011,30.871753776548,30.200293131908,30.725112946109,138700.0
2000-02-18,39.56,39.75,38.38,38.63,102800.0,0.0,1.0,30.532164485006,30.678805315444,29.621447748597,29.814396209701,102800.0
2000-02-22,38.69,38.69,38.0,38.56,184300.0,0.0,1.0,29.860703840366,29.860703840366,29.32816608772,29.760370640592,184300.0
2000-02-23,38.44,38.44,37.5,38.0,222000.0,0.0,1.0,29.667755379262,29.667755379262,28.942269165513,29.32816608772,222000.0
2000-02-24,37.94,37.94,35.88,36.56,590900.0,0.0,1.0,29.281858457055,29.281858457055,27.691963137563,28.216782951765,590900.0
2000-02-25,36.56,37.75,36.19,36.69,157200.0,0.0,1.0,28.216782951765,29.135217626617,27.931219229331,28.317116151538,157200.0
2000-02-28,36.25,36.88,35.81,36.75,122800.0,0.13,1.0,28.076494982222,28.564445101913,27.735704422438,28.463756981977,122800.0
2000-02-29,36.63,37.75,35.5,35.5,273200.0,0.0,1.0,28.370814102036,29.238280981486,27.49560198259,27.49560198259,273200.0
2000-03-01,35.56,37.0,35.56,36.63,160200.0,0.0,1.0,27.542073422561,28.657387981854,27.542073422561,28.370814102036,160200.0
2000-03-02,37.5,38.44,36.69,36.81,257200.0,0.0,1.0,29.044649981609,29.772702541148,28.417285542006,28.510228421947,257200.0
2000-03-03,37.0,37.69,36.88,37.44,363200.0,0.0,1.0,28.657387981854,29.191809541516,28.564445101913,28.998178541639,363200.0
2000-03-06,37.44,37.5,37.06,37.06,84100.0,0.0,1.0,28.998178541639,29.044649981609,28.703859421825,28.703859421825,84100.0
2000-03-07,37.13,37.31,36.5,37.13,107400.0,0.0,1.0,28.758076101791,28.897490421702,28.2701259821,28.758076101791,107400.0
2000-03-08,37.13,39.13,37.13,38.56,156400.0,0.0,1.0,28.758076101791,30.30712410081,28.758076101791,29.865645421089,156400.0
