Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,38.0,38.06,35.38,35.38,51400.0,0.0,1.0,38.0,38.06,35.38,35.38,51400.0
2000-01-04,35.38,35.38,34.19,34.62,106100.0,0.0,1.0,35.38,35.38,34.19,34.62,106100.0
2000-01-05,34.88,34.88,33.81,33.88,162100.0,0.0,1.0,34.88,34.88,33.81,33.88,162100.0
2000-01-06,33.94,34.88,33.5,34.62,245000.0,0.0,1.0,33.94,34.88,33.5,34.62,245000.0
2000-01-07,34.56,35.75,34.56,35.62,215200.0,0.0,1.0,34.56,35.75,34.56,35.62,215200.0
2000-01-10,35.81,37.25,35.81,37.25,78900.0,0.0,1.0,35.81,37.25,35.81,37.25,78900.0
2000-01-11,37.12,37.12,35.88,36.06,90500.0,0.0,1.0,37.12,37.12,35.88,36.06,90500.0
2000-01-12,36.06,36.06,35.75,35.88,30000.0,0.0,1.0,36.06,36.06,35.75,35.88,30000.0
2000-01-13,35.94,36.0,35.62,35.88,80400.0,0.0,1.0,35.94,36.0,35.62,35.88,80400.0
2000-01-14,35.94,36.0,35.19,35.5,47100.0,0.0,1.0,35.94,36.0,35.19,35.5,47100.0
2000-01-18,35.38,35.38,34.88,35.12,87500.0,0.0,1.0,35.38,35.38,34.88,35.12,87500.0
2000-01-19,35.0,35.44,35.0,35.31,117400.0,0.0,1.0,35.0,35.44,35.0,35.31,117400.0
2000-01-20,35.44,35.88,34.62,34.88,84400.0,0.0,1.0,35.44,35.88,34.62,34.88,84400.0
2000-01-21,34.62,35.0,34.62,34.88,55000.0,0.0,1.0,34.62,35.0,34.62,34.88,55000.0
2000-01-24,35.0,35.44,34.62,34.62,74000.0,0.0,1.0,35.0,35.44,34.62,34.62,74000.0
2000-01-25,34.56,34.69,33.75,34.19,70800.0,0.0,1.0,34.56,34.69,33.75,34.19,70800.0
2000-01-26,34.19,34.38,33.94,33.94,29900.0,0.0,1.0,34.19,34.38,33.94,33.94,29900.0
2000-01-27,33.94,34.06,33.0,33.19,49200.0,0.0,1.0,33.94,34.06,33.0,33.19,49200.0
2000-01-28,33.0,33.0,31.81,32.31,76800.0,0.0,1.0,33.0,33.0,31.81,32.31,76800.0
2000-01-31,32.44,32.62,31.81,31.88,101600.0,0.0,1.0,32.44,32.62,31.81,31.88,101600.0
2000-02-01,32.12,32.94,31.88,32.0,170900.0,0.0,1.0,32.12,32.94,31.88,32.0,170900.0
