Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-01-18,25.1,25.49,24.16,24.79,17761800.0,0.0,1.0,25.1,25.49,24.16,24.79,17761800.0
2013-01-22,25.0,27.355,24.85,26.95,2072000.0,0.0,1.0,25.0,27.355,24.85,26.95,2072000.0
2013-01-23,28.0,28.86,26.491,27.49,1572200.0,0.0,1.0,28.0,28.86,26.491,27.49,1572200.0
2013-01-24,27.17,27.9,26.64,27.345,508700.0,0.0,1.0,27.17,27.9,26.64,27.345,508700.0
2013-01-25,27.5,27.9,26.275,27.35,870700.0,0.0,1.0,27.5,27.9,26.275,27.35,870700.0
2013-01-28,27.88,27.88,26.941,27.76,172200.0,0.0,1.0,27.88,27.88,26.941,27.76,172200.0
2013-01-29,27.9,27.964,27.0,27.11,437400.0,0.0,1.0,27.9,27.964,27.0,27.11,437400.0
2013-01-30,26.69,27.225,26.17,26.29,816400.0,0.0,1.0,26.69,27.225,26.17,26.29,816400.0
2013-01-31,26.02,26.92,25.75,26.37,970400.0,0.0,1.0,26.02,26.92,25.75,26.37,970400.0
2013-02-01,26.47,27.8,26.18,27.65,1099300.0,0.0,1.0,26.47,27.8,26.18,27.65,1099300.0
2013-02-04,27.71,29.08,27.6036,28.41,952100.0,0.0,1.0,27.71,29.08,27.6036,28.41,952100.0
2013-02-05,28.96,28.96,27.9701,28.54,447200.0,0.0,1.0,28.96,28.96,27.9701,28.54,447200.0
2013-02-06,28.1,28.7404,27.8,27.98,377200.0,0.0,1.0,28.1,28.7404,27.8,27.98,377200.0
2013-02-07,27.93,28.0899,27.43,27.55,276300.0,0.0,1.0,27.93,28.0899,27.43,27.55,276300.0
2013-02-08,27.6,28.31,27.32,27.91,380200.0,0.0,1.0,27.6,28.31,27.32,27.91,380200.0
2013-02-11,27.78,27.84,27.425,27.68,576900.0,0.0,1.0,27.78,27.84,27.425,27.68,576900.0
2013-02-12,28.91,29.5,28.24,28.32,1876800.0,0.0,1.0,28.91,29.5,28.24,28.32,1876800.0
2013-02-13,28.81,29.54,28.29,28.92,772500.0,0.0,1.0,28.81,29.54,28.29,28.92,772500.0
2013-02-14,28.82,29.4,28.6,29.25,431900.0,0.0,1.0,28.82,29.4,28.6,29.25,431900.0
2013-02-15,29.48,30.41,29.48,30.27,1418700.0,0.0,1.0,29.48,30.41,29.48,30.27,1418700.0
2013-02-19,30.47,31.33,30.445,31.188,497800.0,0.0,1.0,30.47,31.33,30.445,31.188,497800.0
2013-02-20,31.19,31.905,30.56,30.8,612700.0,0.0,1.0,31.19,31.905,30.56,30.8,612700.0
2013-02-21,30.54,31.0,29.76,30.47,481400.0,0.0,1.0,30.54,31.0,29.76,30.47,481400.0
2013-02-22,30.95,31.31,29.464,29.99,571200.0,0.0,1.0,30.95,31.31,29.464,29.99,571200.0
2013-02-25,31.34,31.41,30.18,30.78,471700.0,0.0,1.0,31.34,31.41,30.18,30.78,471700.0
2013-02-26,30.81,31.08,29.79,30.21,418300.0,0.0,1.0,30.81,31.08,29.79,30.21,418300.0
