Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,22.12,22.12,20.06,21.5,124000.0,0.0,1.0,11.06,11.06,10.03,10.75,248000.0
2000-01-04,21.0,21.0,19.56,19.94,147500.0,0.0,1.0,10.5,10.5,9.78,9.97,295000.0
2000-01-05,20.0,20.63,19.75,20.06,389100.0,0.0,1.0,10.0,10.315,9.875,10.03,778200.0
2000-01-06,20.25,20.25,18.81,18.94,409600.0,0.0,1.0,10.125,10.125,9.405,9.47,819200.0
2000-01-07,19.25,19.5,16.19,16.63,1091300.0,0.0,1.0,9.625,9.75,8.095,8.315,2182600.0
2000-01-10,17.0,17.13,16.44,16.81,1644800.0,0.0,1.0,8.5,8.565,8.22,8.405,3289600.0
2000-01-11,17.0,17.06,16.44,16.56,937500.0,0.0,1.0,8.5,8.53,8.22,8.28,1875000.0
2000-01-12,16.56,16.63,15.75,16.25,476800.0,0.0,1.0,8.28,8.315,7.875,8.125,953600.0
2000-01-13,16.53,16.63,16.19,16.38,445300.0,0.0,1.0,8.265,8.315,8.095,8.19,890600.0
2000-01-14,16.63,16.63,14.25,14.28,1276700.0,0.0,1.0,8.315,8.315,7.125,7.14,2553400.0
2000-01-18,15.0,15.0,13.56,14.13,2111700.0,0.0,1.0,7.5,7.5,6.78,7.065,4223400.0
2000-01-19,14.5,14.81,13.14,13.31,690900.0,0.0,1.0,7.25,7.405,6.57,6.655,1381800.0
2000-01-20,13.75,13.88,13.19,13.31,602500.0,0.0,1.0,6.875,6.94,6.595,6.655,1205000.0
2000-01-21,13.94,14.06,13.31,13.56,594800.0,0.0,1.0,6.97,7.03,6.655,6.78,1189600.0
2000-01-24,13.84,14.38,13.5,13.5,465300.0,0.0,1.0,6.92,7.19,6.75,6.75,930600.0
2000-01-25,14.0,14.06,13.25,13.75,478400.0,0.0,1.0,7.0,7.03,6.625,6.875,956800.0
2000-01-26,13.81,13.88,12.38,12.63,754900.0,0.0,1.0,6.905,6.94,6.19,6.315,1509800.0
2000-01-27,13.25,13.5,12.75,13.31,656400.0,0.0,1.0,6.625,6.75,6.375,6.655,1312800.0
2000-01-28,13.38,13.38,13.0,13.0,871600.0,0.0,1.0,6.69,6.69,6.5,6.5,1743200.0
2000-01-31,13.19,13.44,13.0,13.13,859000.0,0.0,1.0,6.595,6.72,6.5,6.565,1718000.0
2000-02-01,13.06,13.75,13.0,13.38,499400.0,0.0,1.0,6.53,6.875,6.5,6.69,998800.0
2000-02-02,13.5,13.56,12.63,12.75,593300.0,0.0,1.0,6.75,6.78,6.315,6.375,1186600.0
2000-02-03,13.0,13.75,12.63,13.56,1062800.0,0.0,1.0,6.5,6.875,6.315,6.78,2125600.0
2000-02-04,13.56,13.56,13.13,13.25,558400.0,0.0,1.0,6.78,6.78,6.565,6.625,1116800.0
