Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,22.94,22.94,22.19,22.19,774300.0,0.0,1.0,5.1720640379602,5.1720640379602,5.0029686574689,5.0029686574689,1548600.0
2000-01-04,22.31,23.25,22.31,22.75,456400.0,0.0,1.0,5.0300239183475,5.24195679523,5.0300239183475,5.1292265415691,912800.0
2000-01-05,22.75,23.69,22.69,23.44,425200.0,0.0,1.0,5.1292265415691,5.3411594184515,5.1156989111298,5.2847942916211,850400.0
2000-01-06,23.38,23.5,22.75,22.94,328200.0,0.0,1.0,5.2712666611818,5.2983219220604,5.1292265415691,5.1720640379602,656400.0
2000-01-07,23.19,23.63,23.13,23.38,235700.0,0.0,1.0,5.2284291647907,5.3276317880122,5.2149015343514,5.2712666611818,471400.0
2000-01-10,23.31,23.81,23.06,23.13,220000.0,0.0,1.0,5.2554844256693,5.3682146793301,5.1991192988388,5.2149015343514,440000.0
2000-01-11,23.31,23.75,22.75,22.94,324300.0,0.0,1.0,5.2554844256693,5.3546870488908,5.1292265415691,5.1720640379602,648600.0
2000-01-12,22.88,23.31,22.88,23.06,282400.0,0.0,1.0,5.1585364075209,5.2554844256693,5.1585364075209,5.1991192988388,564800.0
2000-01-13,23.13,23.75,23.13,23.19,310800.0,0.0,1.0,5.2149015343514,5.3546870488908,5.2149015343514,5.2284291647907,621600.0
2000-01-14,23.38,23.56,23.0,23.06,343800.0,0.0,1.0,5.2712666611818,5.3118495524997,5.1855916683995,5.1991192988388,687600.0
2000-01-18,22.94,23.06,22.44,22.88,378200.0,0.0,1.0,5.1720640379602,5.1991192988388,5.0593337842994,5.1585364075209,756400.0
2000-01-19,22.88,23.25,22.81,23.0,330800.0,0.0,1.0,5.1585364075209,5.24195679523,5.1427541720084,5.1855916683995,661600.0
2000-01-20,23.0,23.31,23.0,23.13,248900.0,0.0,1.0,5.1855916683995,5.2554844256693,5.1855916683995,5.2149015343514,497800.0
2000-01-21,23.56,24.0,23.38,23.63,513500.0,0.0,1.0,5.3118495524997,5.4110521757212,5.2712666611818,5.3276317880122,1027000.0
2000-01-24,23.63,23.81,23.31,23.5,528900.0,0.0,1.0,5.3276317880122,5.3682146793301,5.2554844256693,5.2983219220604,1057800.0
2000-01-25,23.38,23.56,22.69,22.81,333800.0,0.0,1.0,5.2712666611818,5.3118495524997,5.1156989111298,5.1427541720084,667600.0
2000-01-26,22.81,23.19,22.63,22.63,459200.0,0.0,1.0,5.1427541720084,5.2284291647907,5.1021712806905,5.1021712806905,918400.0
2000-01-27,22.88,23.56,22.88,23.19,483900.0,0.0,1.0,5.1585364075209,5.3118495524997,5.1585364075209,5.2284291647907,967800.0
2000-01-28,23.0,23.06,22.06,22.19,396900.0,0.0,1.0,5.1855916683995,5.1991192988388,4.9736587915171,5.0029686574689,793800.0
2000-01-31,23.0,23.38,22.69,23.19,388300.0,0.0,1.0,5.1855916683995,5.2712666611818,5.1156989111298,5.2284291647907,776600.0
2000-02-01,23.25,23.25,22.94,23.06,235800.0,0.0,1.0,5.24195679523,5.24195679523,5.1720640379602,5.1991192988388,471600.0
2000-02-02,22.88,23.19,22.81,23.06,183900.0,0.0,1.0,5.1585364075209,5.2284291647907,5.1427541720084,5.1991192988388,367800.0
2000-02-03,22.88,23.56,22.75,23.5,404000.0,0.0,1.0,5.1585364075209,5.3118495524997,5.1292265415691,5.2983219220604,808000.0
2000-02-04,23.31,23.44,22.25,22.44,221300.0,0.0,1.0,5.2554844256693,5.2847942916211,5.0164962879082,5.0593337842994,442600.0
2000-02-07,22.5,22.75,22.19,22.25,195400.0,0.0,1.0,5.0728614147387,5.1292265415691,5.0029686574689,5.0164962879082,390800.0
2000-02-08,22.38,22.94,22.25,22.31,186100.0,0.0,1.0,5.0458061538601,5.1720640379602,5.0164962879082,5.0300239183475,372200.0
2000-02-09,22.19,22.5,21.56,22.13,315600.0,0.0,1.0,5.0029686574689,5.0728614147387,4.8609285378563,4.9894410270296,631200.0
2000-02-10,22.06,22.31,21.69,22.06,282200.0,0.0,1.0,4.9736587915171,5.0300239183475,4.8902384038081,4.9736587915171,564400.0
2000-02-11,21.94,22.0,21.56,21.81,157600.0,0.0,1.0,4.9466035306385,4.9601311610778,4.8609285378563,4.9172936646867,315200.0
2000-02-14,21.94,22.38,21.88,22.13,269900.0,0.0,1.0,4.9466035306385,5.0458061538601,4.9330759001992,4.9894410270296,539800.0
2000-02-15,22.38,22.75,22.38,22.5,320900.0,0.0,1.0,5.0458061538601,5.1292265415691,5.0458061538601,5.0728614147387,641800.0
2000-02-16,22.44,22.5,21.81,22.06,232700.0,0.0,1.0,5.0593337842994,5.0728614147387,4.9172936646867,4.9736587915171,465400.0
2000-02-17,22.13,22.13,21.5,21.75,266300.0,0.0,1.0,4.9894410270296,4.9894410270296,4.847400907417,4.9037660342474,532600.0
2000-02-18,21.5,21.56,20.94,21.06,321100.0,0.0,1.0,4.847400907417,4.8609285378563,4.7211430233168,4.7481982841954,642200.0
2000-02-22,21.19,21.44,20.94,21.0,118900.0,0.0,1.0,4.7775081501472,4.8338732769776,4.7211430233168,4.7346706537561,237800.0
2000-02-23,21.0,21.0,20.5,20.63,151100.0,0.0,1.0,4.7346706537561,4.7346706537561,4.6219404000952,4.6512502660471,302200.0
2000-02-24,20.81,20.81,19.31,20.31,324300.0,0.0,1.0,4.691833157365,4.691833157365,4.3536423963824,4.5791029037041,648600.0
2000-02-25,20.0,20.56,19.81,19.94,317400.0,0.0,1.0,4.5092101464344,4.6354680305345,4.4663726500432,4.4956825159951,634800.0
2000-02-28,19.63,20.44,19.63,20.31,323200.0,0.0,1.0,4.4257897587253,4.6084127696559,4.4257897587253,4.5791029037041,646400.0
2000-02-29,20.38,20.38,19.75,20.13,236000.0,0.0,1.0,4.5948851392166,4.5948851392166,4.4528450196039,4.5385200123862,472000.0
2000-03-01,19.94,20.38,19.81,20.19,256900.0,0.0,1.0,4.4956825159951,4.5948851392166,4.4663726500432,4.5520476428255,513800.0
2000-03-02,20.19,20.38,19.94,20.31,299100.0,0.0,1.0,4.5520476428255,4.5948851392166,4.4956825159951,4.5791029037041,598200.0
2000-03-03,20.31,20.69,20.19,20.56,109200.0,0.0,1.0,4.5791029037041,4.6647778964864,4.5520476428255,4.6354680305345,218400.0
2000-03-06,20.25,20.31,19.5,19.56,187200.0,0.0,1.0,4.5655752732648,4.5791029037041,4.3964798927735,4.4100075232128,374400.0
2000-03-07,19.5,20.0,18.81,19.31,400800.0,0.0,1.0,4.3964798927735,4.5092101464344,4.2409121427215,4.3536423963824,801600.0
2000-03-08,18.56,19.38,18.38,18.63,2851500.0,0.265,1.0,4.2440695579851,4.4315769414737,4.2029094006339,4.2600762858439,5703000.0
2000-03-09,19.0,19.19,18.69,19.19,285200.0,0.0,1.0,4.3446832759546,4.3881301087141,4.2737963382943,4.3881301087141,570400.0
2000-03-10,18.88,19.5,18.75,19.25,249000.0,0.0,1.0,4.3172431710538,4.4590170463744,4.2875163907446,4.4018501611645,498000.0
2000-03-13,18.88,19.06,18.56,18.69,221000.0,0.0,1.0,4.3172431710538,4.358403328405,4.2440695579851,4.2737963382943,442000.0
2000-03-14,18.56,18.69,18.44,18.5,162700.0,0.0,1.0,4.2440695579851,4.2737963382943,4.2166294530843,4.2303495055347,325400.0
2000-03-15,18.75,20.06,18.69,19.94,463800.0,0.0,1.0,4.2875163907446,4.5870708692447,4.2737963382943,4.5596307643439,927600.0
2000-03-16,19.94,21.5,19.63,21.25,385900.0,0.0,1.0,4.5596307643439,4.9163521280539,4.4887438266836,4.8591852428439,771800.0
2000-03-17,20.38,20.88,20.25,20.38,317100.0,0.0,1.0,4.6602444823134,4.7745782527332,4.6305177020042,4.6602444823134,634200.0
2000-03-20,20.13,20.88,20.13,20.69,277300.0,0.0,1.0,4.6030775971034,4.7745782527332,4.6030775971034,4.7311314199737,554600.0
2000-03-21,20.5,20.75,20.19,20.44,137100.0,0.0,1.0,4.6876845872141,4.7448514724241,4.6167976495538,4.6739645347638,274200.0
2000-03-22,20.19,20.25,19.63,19.81,263100.0,0.0,1.0,4.6167976495538,4.6305177020042,4.4887438266836,4.5299039840347,526200.0
2000-03-23,19.88,20.75,19.69,20.69,413300.0,0.0,1.0,4.5459107118935,4.7448514724241,4.502463879134,4.7311314199737,826600.0
2000-03-24,20.69,21.0,20.69,21.0,259000.0,0.0,1.0,4.7311314199737,4.802018357634,4.7311314199737,4.802018357634,518000.0
2000-03-27,20.81,20.94,20.75,20.81,159800.0,0.0,1.0,4.7585715248745,4.7882983051836,4.7448514724241,4.7585715248745,319600.0
2000-03-28,20.75,20.88,19.94,20.13,206200.0,0.0,1.0,4.7448514724241,4.7745782527332,4.5596307643439,4.6030775971034,412400.0
2000-03-29,20.13,20.94,20.13,20.44,234500.0,0.0,1.0,4.6030775971034,4.7882983051836,4.6030775971034,4.6739645347638,469000.0
2000-03-30,20.56,21.0,20.31,20.81,196600.0,0.0,1.0,4.7014046396645,4.802018357634,4.6442377544546,4.7585715248745,393200.0
2000-03-31,20.56,21.13,20.06,20.94,385200.0,0.0,1.0,4.7014046396645,4.8317451379432,4.5870708692447,4.7882983051836,770400.0
2000-04-03,20.94,21.0,20.38,20.81,259100.0,0.0,1.0,4.7882983051836,4.802018357634,4.6602444823134,4.7585715248745,518200.0
2000-04-04,20.94,21.44,20.38,21.13,318800.0,0.0,1.0,4.7882983051836,4.9026320756035,4.6602444823134,4.8317451379432,637600.0
2000-04-05,20.88,21.94,20.75,21.19,230700.0,0.0,1.0,4.7745782527332,5.0169658460233,4.7448514724241,4.8454651903935,461400.0
2000-04-06,21.5,21.56,21.13,21.31,169600.0,0.0,1.0,4.9163521280539,4.9300721805042,4.8317451379432,4.8729052952943,339200.0
2000-04-07,21.06,21.38,20.88,21.25,270700.0,0.0,1.0,4.8157384100844,4.8889120231531,4.7745782527332,4.8591852428439,541400.0
2000-04-10,21.0,21.5,20.81,21.44,137300.0,0.0,1.0,4.802018357634,4.9163521280539,4.7585715248745,4.9026320756035,274600.0
2000-04-11,21.69,21.88,21.38,21.81,247400.0,0.0,1.0,4.9597989608134,5.0032457935729,4.8889120231531,4.9872390657142,494800.0
2000-04-12,21.56,22.56,21.56,22.19,321000.0,0.0,1.0,4.9300721805042,5.158739721344,4.9300721805042,5.0741327312333,642000.0
2000-04-13,21.94,22.94,21.81,22.75,158700.0,0.0,1.0,5.0169658460233,5.245633386863,4.9872390657142,5.2021865541035,317400.0
2000-04-14,22.75,23.19,22.06,22.19,193800.0,0.0,1.0,5.2021865541035,5.302800272073,5.0444059509241,5.0741327312333,387600.0
2000-04-17,21.94,22.38,21.5,22.38,291200.0,0.0,1.0,5.0169658460233,5.1175795639928,4.9163521280539,5.1175795639928,582400.0
2000-04-18,22.13,22.19,21.69,21.75,312600.0,0.0,1.0,5.0604126787829,5.0741327312333,4.9597989608134,4.9735190132638,625200.0
2000-04-19,21.94,21.94,21.13,21.69,201700.0,0.0,1.0,5.0169658460233,5.0169658460233,4.8317451379432,4.9597989608134,403400.0
2000-04-20,21.56,22.38,21.56,22.38,248400.0,0.0,1.0,4.9300721805042,5.1175795639928,4.9300721805042,5.1175795639928,496800.0
2000-04-24,22.13,24.13,22.06,23.81,572000.0,0.0,1.0,5.0604126787829,5.5177477604623,5.0444059509241,5.4445741473936,1144000.0
2000-04-25,23.44,24.25,23.0,24.25,511700.0,0.0,1.0,5.3599671572829,5.5451878653631,5.2593534393134,5.5451878653631,1023400.0
2000-04-26,24.06,25.0,23.56,24.94,258000.0,0.0,1.0,5.5017410326035,5.7166885209929,5.3874072621837,5.7029684685425,516000.0
2000-04-27,24.5,24.75,23.88,24.31,241300.0,0.0,1.0,5.602354750573,5.6595216357829,5.4605808752524,5.5589079178135,482600.0
2000-04-28,24.0,24.25,23.44,23.88,291200.0,0.0,1.0,5.4880209801531,5.5451878653631,5.3599671572829,5.4605808752524,582400.0
2000-05-01,23.63,23.88,23.56,23.75,248400.0,0.0,1.0,5.4034139900424,5.4605808752524,5.3874072621837,5.4308540949432,496800.0
2000-05-02,23.5,23.69,22.5,22.69,218200.0,0.0,1.0,5.3736872097333,5.4171340424928,5.1450196688936,5.1884665016531,436400.0
2000-05-03,22.69,23.13,22.38,22.94,179900.0,0.0,1.0,5.1884665016531,5.2890802196226,5.1175795639928,5.245633386863,359800.0
2000-05-04,22.81,23.63,22.5,23.38,168800.0,0.0,1.0,5.2159066065539,5.4034139900424,5.1450196688936,5.3462471048325,337600.0
2000-05-05,23.13,23.13,22.38,22.38,219200.0,0.0,1.0,5.2890802196226,5.2890802196226,5.1175795639928,5.1175795639928,438400.0
2000-05-08,22.63,23.69,22.44,23.13,188300.0,0.0,1.0,5.1747464492027,5.4171340424928,5.1312996164432,5.2890802196226,376600.0
2000-05-09,23.13,23.5,22.63,23.5,238900.0,0.0,1.0,5.2890802196226,5.3736872097333,5.1747464492027,5.3736872097333,477800.0
2000-05-10,23.5,24.06,23.19,23.69,188500.0,0.0,1.0,5.3736872097333,5.5017410326035,5.302800272073,5.4171340424928,377000.0
2000-05-11,23.44,24.13,23.44,24.06,195800.0,0.0,1.0,5.3599671572829,5.5177477604623,5.3599671572829,5.5017410326035,391600.0
2000-05-12,24.06,24.06,22.94,23.38,431700.0,0.0,1.0,5.5017410326035,5.5017410326035,5.245633386863,5.3462471048325,863400.0
2000-05-15,23.13,24.38,23.13,24.19,344000.0,0.0,1.0,5.2890802196226,5.5749146456722,5.2890802196226,5.5314678129127,688000.0
2000-05-16,23.94,24.06,23.44,23.75,218600.0,0.0,1.0,5.4743009277028,5.5017410326035,5.3599671572829,5.4308540949432,437200.0
2000-05-17,23.56,23.69,22.88,23.31,346400.0,0.0,1.0,5.3874072621837,5.4171340424928,5.2319133344127,5.3302403769737,692800.0
2000-05-18,23.25,24.25,23.19,23.56,258100.0,0.0,1.0,5.3165203245234,5.5451878653631,5.302800272073,5.3874072621837,516200.0
2000-05-19,23.31,23.81,23.19,23.56,148700.0,0.0,1.0,5.3302403769737,5.4445741473936,5.302800272073,5.3874072621837,297400.0
2000-05-22,23.69,24.13,23.63,24.13,198400.0,0.0,1.0,5.4171340424928,5.5177477604623,5.4034139900424,5.5177477604623,396800.0
2000-05-23,24.19,24.19,23.38,23.63,127800.0,0.0,1.0,5.5314678129127,5.5314678129127,5.3462471048325,5.4034139900424,255600.0
2000-05-24,23.63,24.19,23.63,24.13,215600.0,0.0,1.0,5.4034139900424,5.5314678129127,5.4034139900424,5.5177477604623,431200.0
2000-05-25,23.94,24.0,23.25,23.5,138400.0,0.0,1.0,5.4743009277028,5.4880209801531,5.3165203245234,5.3736872097333,276800.0
2000-05-26,23.5,24.06,23.38,23.88,239200.0,0.0,1.0,5.3736872097333,5.5017410326035,5.3462471048325,5.4605808752524,478400.0
2000-05-30,23.63,23.88,23.0,23.31,245700.0,0.0,1.0,5.4034139900424,5.4605808752524,5.2593534393134,5.3302403769737,491400.0
2000-05-31,23.44,23.88,23.31,23.69,289600.0,0.0,1.0,5.3599671572829,5.4605808752524,5.3302403769737,5.4171340424928,579200.0
2000-06-01,23.44,23.56,23.0,23.56,194800.0,0.0,1.0,5.3599671572829,5.3874072621837,5.2593534393134,5.3874072621837,389600.0
2000-06-02,23.5,23.5,23.13,23.44,125600.0,0.0,1.0,5.3736872097333,5.3736872097333,5.2890802196226,5.3599671572829,251200.0
2000-06-05,23.69,23.69,22.44,22.69,174500.0,0.0,1.0,5.4171340424928,5.4171340424928,5.1312996164432,5.1884665016531,349000.0
2000-06-06,22.69,23.56,22.69,23.31,236800.0,0.0,1.0,5.1884665016531,5.3874072621837,5.1884665016531,5.3302403769737,473600.0
2000-06-07,22.88,23.38,22.88,23.25,974200.0,0.265,1.0,5.2915458949984,5.407182824522,5.2915458949984,5.3771172228459,1948400.0
2000-06-08,23.25,23.25,22.56,22.69,288600.0,0.0,1.0,5.3771172228459,5.3771172228459,5.2175382601034,5.2476038617795,577200.0
2000-06-09,22.88,23.19,22.69,23.0,114300.0,0.0,1.0,5.2915458949984,5.3632407913031,5.2476038617795,5.3192987580841,228600.0
2000-06-12,22.81,23.63,22.81,23.38,309600.0,0.0,1.0,5.2753567248651,5.4650012892838,5.2753567248651,5.407182824522,619200.0
2000-06-13,23.38,23.88,23.38,23.75,218200.0,0.0,1.0,5.407182824522,5.5228197540456,5.407182824522,5.4927541523694,436400.0
2000-06-14,23.63,23.69,23.0,23.06,124200.0,0.0,1.0,5.4650012892838,5.4788777208266,5.3192987580841,5.3331751896269,248400.0
2000-06-15,23.06,23.81,23.06,23.69,177600.0,0.0,1.0,5.3331751896269,5.5066305839123,5.3331751896269,5.4788777208266,355200.0
2000-06-16,23.19,23.81,23.13,23.21,258400.0,0.0,1.0,5.3632407913031,5.5066305839123,5.3493643597602,5.367866268484,516800.0
