Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,22.81,22.81,21.69,21.88,163600.0,0.0,1.0,17.395559349448,17.395559349448,16.54141526916,16.686314711352,163600.0
2000-01-04,22.13,22.13,20.69,21.81,220900.0,0.0,1.0,16.87697187213,16.87697187213,15.778786626045,16.632930706334,220900.0
2000-01-05,22.19,23.69,22.19,23.44,661100.0,0.0,1.0,16.922729590717,18.066672555389,16.922729590717,17.876015394611,661100.0
2000-01-06,23.19,24.69,23.19,24.31,624600.0,0.0,1.0,17.685358233832,18.829301198504,17.685358233832,18.539502314121,624600.0
2000-01-07,24.38,25.69,24.38,25.63,373500.0,0.0,1.0,18.592886319139,19.591929841619,18.592886319139,19.546172123032,373500.0
2000-01-10,25.63,26.0,25.0,25.5,786400.0,0.0,1.0,19.546172123032,19.828344720985,19.06571607787,19.447030399427,786400.0
2000-01-11,25.63,25.63,25.5,25.56,225300.0,0.0,1.0,19.546172123032,19.546172123032,19.447030399427,19.492788118014,225300.0
2000-01-12,25.56,26.0,25.56,25.63,209700.0,0.0,1.0,19.492788118014,19.828344720985,19.492788118014,19.546172123032,209700.0
2000-01-13,25.69,26.0,25.69,25.75,222700.0,0.0,1.0,19.591929841619,19.828344720985,19.591929841619,19.637687560206,222700.0
2000-01-14,25.88,27.13,25.88,26.44,290600.0,0.0,1.0,19.736829283811,20.690115087704,19.736829283811,20.163901323955,290600.0
2000-01-18,26.5,26.5,26.25,26.44,215300.0,0.0,1.0,20.209659042542,20.209659042542,20.019001881763,20.163901323955,215300.0
2000-01-19,26.44,26.44,25.88,26.06,236800.0,0.0,1.0,20.163901323955,20.163901323955,19.736829283811,19.874102439572,236800.0
2000-01-20,26.06,26.19,26.0,26.06,149800.0,0.0,1.0,19.874102439572,19.973244163176,19.828344720985,19.874102439572,149800.0
2000-01-21,26.13,26.63,25.63,26.56,189800.0,0.0,1.0,19.92748644459,20.308800766147,19.546172123032,20.255416761129,189800.0
2000-01-24,26.31,26.31,25.38,25.44,178000.0,0.0,1.0,20.06475960035,20.06475960035,19.355514962253,19.40127268084,178000.0
2000-01-25,25.38,25.69,24.81,25.19,589000.0,0.0,1.0,19.355514962253,19.591929841619,18.920816635678,19.210615520062,589000.0
2000-01-26,24.94,25.19,24.31,24.75,247000.0,0.0,1.0,19.019958359283,19.210615520062,18.539502314121,18.875058917091,247000.0
2000-01-27,25.0,25.44,25.0,25.25,215000.0,0.0,1.0,19.06571607787,19.40127268084,19.06571607787,19.256373238649,215000.0
2000-01-28,25.5,25.5,24.75,25.13,135400.0,0.0,1.0,19.447030399427,19.447030399427,18.875058917091,19.164857801475,135400.0
