Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,25.25,25.25,23.5,23.5,1042996.0,0.0,1.0,11.834603477984,11.834603477984,11.014383434955,11.014383434955,1288100.06
2000-01-04,23.56,23.56,22.44,22.81,1266559.0,0.0,1.0,11.042505265002,11.042505265002,10.517564437464,10.690982389418,1564200.365
2000-01-05,22.75,23.81,22.44,22.81,513765.0,0.0,1.0,10.662860559372,11.159679556863,10.517564437464,10.690982389418,634499.775
2000-01-06,22.38,23.06,22.19,22.75,774899.0,0.0,1.0,10.489442607417,10.80815668128,10.400390145602,10.662860559372,957000.265
2000-01-07,22.81,23.19,22.5,23.0,594089.0,0.0,1.0,10.690982389418,10.869087313047,10.54568626751,10.780034851233,733699.915
2000-01-10,23.38,23.5,21.88,22.0,866478.0,0.0,1.0,10.958139774862,11.014383434955,10.255094023695,10.311337683788,1070100.33
2000-01-11,22.25,22.5,22.25,22.38,698462.0,0.0,1.0,10.428511975649,10.54568626751,10.428511975649,10.489442607417,862600.57
2000-01-12,22.56,22.88,22.38,22.75,399919.0,0.0,1.0,10.573808097557,10.723791191139,10.489442607417,10.662860559372,493899.965
2000-01-13,22.81,23.88,22.75,23.63,613441.0,0.0,1.0,10.690982389418,11.192488358584,10.662860559372,11.075314066723,757599.635
2000-01-14,23.69,24.31,23.63,24.13,705425.0,0.0,1.0,11.10343589677,11.394028140586,11.075314066723,11.309662650446,871199.875
2000-01-18,24.06,24.19,24.06,24.06,710931.0,0.0,1.0,11.276853848724,11.337784480492,11.276853848724,11.276853848724,877999.785
2000-01-19,24.13,24.5,24.13,24.31,575951.0,0.0,1.0,11.309662650446,11.4830806024,11.309662650446,11.394028140586,711299.485
2000-01-20,23.88,24.19,22.63,23.06,508097.0,0.0,1.0,11.192488358584,11.337784480492,10.606616899278,10.80815668128,627499.795
2000-01-21,23.5,23.81,22.94,23.06,781700.0,0.0,1.0,11.014383434955,11.159679556863,10.751913021186,10.80815668128,965399.5
2000-01-24,22.94,23.19,22.38,22.72,560486.0,0.0,1.0,10.751913021186,10.869087313047,10.489442607417,10.648799644348,692200.21
2000-01-25,22.81,23.25,22.31,22.88,483320.0,0.0,1.0,10.690982389418,10.897209143094,10.456633805696,10.723791191139,596900.2
2000-01-26,23.0,23.63,22.75,23.63,484130.0,0.0,1.0,10.780034851233,11.075314066723,10.662860559372,11.075314066723,597900.55
2000-01-27,23.56,23.81,23.38,23.69,608259.0,0.0,1.0,11.042505265002,11.159679556863,10.958139774862,11.10343589677,751199.865
2000-01-28,23.69,23.69,22.5,22.75,733036.0,0.0,1.0,11.10343589677,11.10343589677,10.54568626751,10.662860559372,905299.46
2000-01-31,23.13,24.31,22.88,24.25,674170.0,0.0,1.0,10.840965483001,11.394028140586,10.723791191139,11.365906310539,832599.95
2000-02-01,24.0,24.38,23.88,24.25,461134.0,0.0,1.0,11.248732018678,11.426836942307,11.192488358584,11.365906310539,569500.49
2000-02-02,23.94,24.13,23.75,23.88,576275.0,0.0,1.0,11.220610188631,11.309662650446,11.131557726817,11.192488358584,711699.625
2000-02-03,23.81,24.25,23.69,23.94,454899.0,0.0,1.0,11.159679556863,11.365906310539,11.10343589677,11.220610188631,561800.265
2000-02-04,23.91,24.0,23.5,23.5,453927.0,0.0,1.0,11.206549273608,11.248732018678,11.014383434955,11.014383434955,560599.845
2000-02-07,23.5,23.56,23.25,23.31,341862.0,0.0,1.0,11.014383434955,11.042505265002,10.897209143094,10.925330973141,422199.57
2000-02-08,23.5,23.81,23.38,23.59,371255.0,0.0,1.0,11.014383434955,11.159679556863,10.958139774862,11.056566180025,458499.925
2000-02-09,23.63,24.06,23.5,23.94,967530.0,0.0,1.0,11.075314066723,11.276853848724,11.014383434955,11.220610188631,1194899.55
2000-02-10,23.75,24.06,23.44,23.81,1076113.0,0.0,1.0,11.131557726817,11.276853848724,10.986261604909,11.159679556863,1328999.555
2000-02-11,23.69,24.06,23.5,23.63,531579.0,0.0,1.0,11.10343589677,11.276853848724,11.014383434955,11.075314066723,656500.065
2000-02-14,23.63,23.75,23.13,23.25,691903.0,0.0,1.0,11.075314066723,11.131557726817,10.840965483001,10.897209143094,854500.205
2000-02-15,23.25,23.56,22.94,23.44,522591.0,0.0,1.0,10.897209143094,11.042505265002,10.751913021186,10.986261604909,645399.885
2000-02-16,23.38,23.63,23.25,23.44,437085.0,0.0,1.0,10.958139774862,11.075314066723,10.897209143094,10.986261604909,539799.975
2000-02-17,23.5,23.56,22.5,22.88,451498.0,0.0,1.0,11.014383434955,11.042505265002,10.54568626751,10.723791191139,557600.03
2000-02-18,22.56,22.63,21.75,21.75,798138.0,0.0,1.0,10.573808097557,10.606616899278,10.194163391927,10.194163391927,985700.43
2000-02-22,21.88,22.0,21.69,21.81,530121.0,0.0,1.0,10.255094023695,10.311337683788,10.16604156188,10.222285221973,654699.435
2000-02-23,21.88,21.88,21.25,21.25,671903.0,0.0,1.0,10.255094023695,10.255094023695,9.9598148082042,9.9598148082042,829800.205
2000-02-24,21.25,21.38,20.38,20.81,844696.0,0.0,1.0,9.9598148082042,10.020745439972,9.5520482725272,9.7535880545285,1043199.56
2000-02-25,20.81,21.13,20.25,20.31,873198.0,0.0,1.0,9.7535880545285,9.9035711481109,9.4911176407593,9.519239470806,1078399.53
2000-02-28,20.31,21.25,20.25,21.25,800081.0,0.0,1.0,9.519239470806,9.9598148082042,9.4911176407593,9.9598148082042,988100.035
2000-02-29,21.25,21.25,20.0,20.25,863320.0,0.0,1.0,9.9598148082042,9.9598148082042,9.3739433488981,9.4911176407593,1066200.2
2000-03-01,20.38,20.38,19.63,19.88,503563.0,0.0,1.0,9.5520482725272,9.5520482725272,9.2005253969435,9.3176996888047,621900.305
2000-03-02,20.0,20.0,19.19,19.25,801134.0,0.0,1.0,9.3739433488981,9.3739433488981,8.9942986432677,9.0224204733144,989400.49
2000-03-03,19.56,19.63,19.13,19.31,1228421.0,0.0,1.0,9.1677165952224,9.2005253969435,8.966176813221,9.0505423033611,1517099.935
2000-03-06,19.25,19.5,19.0,19.38,1351741.0,0.0,1.0,9.0224204733144,9.1395947651757,8.9052461814532,9.0833511050823,1669400.135
2000-03-07,19.56,19.56,19.0,19.13,676923.0,0.0,1.0,9.1677165952224,9.1677165952224,8.9052461814532,8.966176813221,835999.905
2000-03-08,19.13,19.19,18.31,18.44,1022267.0,0.0,1.0,8.966176813221,8.9942986432677,8.5818451359162,8.6427757676841,1262499.745
2000-03-09,18.44,19.38,18.31,19.25,754980.0,0.0,1.0,8.6427757676841,9.0833511050823,8.5818451359162,9.0224204733144,932400.3
2000-03-10,19.25,19.5,18.94,19.06,407206.0,0.0,1.0,9.0224204733144,9.1395947651757,8.8771243514065,8.9333680114999,502899.41
2000-03-13,19.25,19.63,18.88,19.38,725587.0,0.0,1.0,9.0224204733144,9.2005253969435,8.8490025213598,9.0833511050823,896099.945
2000-03-14,19.31,19.56,19.25,19.38,411498.0,0.0,1.0,9.0505423033611,9.1677165952224,9.0224204733144,9.0833511050823,508200.03
2000-03-15,19.38,21.0,19.19,20.56,969879.0,0.27,1.0,9.2026363579214,9.9718969822678,9.1124144328437,9.7629619978774,1197800.565
2000-03-16,20.75,23.69,20.75,23.44,1104534.0,0.0,1.0,9.853183922955,11.249249500473,9.853183922955,11.13053644116,1364099.49
