Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,228.25,231.63,211.0,231.5,806400.0,0.0,1.0,114.125,115.815,105.5,115.75,1612800.0
2000-01-04,228.0,229.0,215.0,215.0,615000.0,0.0,1.0,114.0,114.5,107.5,107.5,1230000.0
2000-01-05,218.5,258.0,212.0,256.0,2331300.0,0.0,1.0,109.25,129.0,106.0,128.0,4662600.0
2000-01-06,251.0,272.44,228.25,228.25,2304100.0,0.0,1.0,125.5,136.22,114.125,114.125,4608200.0
2000-01-07,234.94,267.38,230.0,264.5,1357100.0,0.0,1.0,117.47,133.69,115.0,132.25,2714200.0
2000-01-10,144.5,148.0,131.38,141.25,1436700.0,0.0,2.0,144.5,148.0,131.38,141.25,1436700.0
2000-01-11,140.0,145.0,125.06,129.5,1518700.0,0.0,1.0,140.0,145.0,125.06,129.5,1518700.0
2000-01-12,138.0,138.0,120.37,131.31,1321300.0,0.0,1.0,138.0,138.0,120.37,131.31,1321300.0
2000-01-13,139.25,143.0,130.0,131.31,1138500.0,0.0,1.0,139.25,143.0,130.0,131.31,1138500.0
2000-01-14,139.0,139.75,131.5,132.25,759300.0,0.0,1.0,139.0,139.75,131.5,132.25,759300.0
2000-01-18,123.5,125.0,115.5,116.37,2179300.0,0.0,1.0,123.5,125.0,115.5,116.37,2179300.0
2000-01-19,118.69,121.5,116.06,117.37,1312400.0,0.0,1.0,118.69,121.5,116.06,117.37,1312400.0
2000-01-20,120.44,120.44,110.62,114.81,889000.0,0.0,1.0,120.44,120.44,110.62,114.81,889000.0
2000-01-21,118.62,120.0,111.0,114.06,915200.0,0.0,1.0,118.62,120.0,111.0,114.06,915200.0
2000-01-24,117.0,118.0,111.0,112.0,899700.0,0.0,1.0,117.0,118.0,111.0,112.0,899700.0
2000-01-25,110.06,114.5,109.5,114.22,729400.0,0.0,1.0,110.06,114.5,109.5,114.22,729400.0
2000-01-26,113.44,123.69,111.62,113.37,2133400.0,0.0,1.0,113.44,123.69,111.62,113.37,2133400.0
2000-01-27,115.06,120.0,112.0,113.87,786400.0,0.0,1.0,115.06,120.0,112.0,113.87,786400.0
2000-01-28,112.5,114.87,104.5,107.0,782900.0,0.0,1.0,112.5,114.87,104.5,107.0,782900.0
2000-01-31,103.37,105.0,91.0,95.12,2134300.0,0.0,1.0,103.37,105.0,91.0,95.12,2134300.0
2000-02-01,97.94,100.0,88.94,92.5,1369600.0,0.0,1.0,97.94,100.0,88.94,92.5,1369600.0
2000-02-02,91.37,108.62,88.31,108.0,4826100.0,0.0,1.0,91.37,108.62,88.31,108.0,4826100.0
2000-02-03,105.75,108.0,98.0,98.62,3175700.0,0.0,1.0,105.75,108.0,98.0,98.62,3175700.0
2000-02-04,95.06,98.0,92.0,92.69,6532500.0,0.0,1.0,95.06,98.0,92.0,92.69,6532500.0
2000-02-07,90.75,92.56,87.62,88.94,2289000.0,0.0,1.0,90.75,92.56,87.62,88.94,2289000.0
2000-02-08,93.5,94.37,88.56,90.37,2397300.0,0.0,1.0,93.5,94.37,88.56,90.37,2397300.0
2000-02-09,92.0,92.06,89.0,89.5,965800.0,0.0,1.0,92.0,92.06,89.0,89.5,965800.0
2000-02-10,89.5,89.75,85.0,87.06,1013900.0,0.0,1.0,89.5,89.75,85.0,87.06,1013900.0
2000-02-11,86.0,86.5,81.25,83.37,1689000.0,0.0,1.0,86.0,86.5,81.25,83.37,1689000.0
2000-02-14,83.12,84.0,77.19,78.19,1718300.0,0.0,1.0,83.12,84.0,77.19,78.19,1718300.0
2000-02-15,77.25,77.62,73.0,74.75,1950600.0,0.0,1.0,77.25,77.62,73.0,74.75,1950600.0
2000-02-16,73.37,74.5,69.12,70.0,4151800.0,0.0,1.0,73.37,74.5,69.12,70.0,4151800.0
2000-02-17,70.44,79.75,70.0,75.19,6665900.0,0.0,1.0,70.44,79.75,70.0,75.19,6665900.0
