Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,42.25,42.25,40.5,40.88,96300.0,0.0,1.0,4.7668035640678,4.7668035640678,4.5693619963254,4.6122350224638,770400.0
2000-01-04,40.5,41.0,40.38,40.69,77600.0,0.0,1.0,4.5693619963254,4.6257738728232,4.5558231459659,4.5907985093946,620800.0
2000-01-05,40.62,40.88,39.94,40.69,105700.0,0.0,1.0,4.5829008466849,4.6122350224638,4.5061806946478,4.5907985093946,845600.0
2000-01-06,40.69,41.0,40.5,40.75,33200.0,0.0,1.0,4.5907985093946,4.6257738728232,4.5693619963254,4.5975679345743,265600.0
2000-01-07,40.88,41.19,40.75,40.88,126600.0,0.0,1.0,4.6122350224638,4.6472103858924,4.5975679345743,4.6122350224638,1012800.0
2000-01-10,41.12,41.38,40.5,41.38,121700.0,0.0,1.0,4.6393127231827,4.6686468989616,4.5693619963254,4.6686468989616,973600.0
2000-01-11,42.25,43.0,41.38,41.62,37600.0,0.0,1.0,4.7668035640678,4.8514213788146,4.6686468989616,4.6957245996806,300800.0
2000-01-12,41.75,41.75,40.5,40.88,52400.0,0.0,1.0,4.71039168757,4.71039168757,4.5693619963254,4.6122350224638,419200.0
2000-01-13,40.88,43.5,40.88,43.38,133200.0,0.0,1.0,4.6122350224638,4.9078332553125,4.6122350224638,4.894294404953,1065600.0
2000-01-14,43.0,44.0,42.38,42.44,124900.0,0.0,1.0,4.8514213788146,4.9642451318103,4.7814706519573,4.788240077137,999200.0
2000-01-18,43.0,44.88,43.0,44.88,112900.0,0.0,1.0,4.8514213788146,5.0635300344465,4.8514213788146,5.0635300344465,903200.0
2000-01-19,45.0,45.94,45.0,45.88,124600.0,0.0,1.0,5.077068884806,5.1831232126219,5.077068884806,5.1763537874422,996800.0
2000-01-20,46.62,48.38,46.38,48.38,70400.0,0.0,1.0,5.259843364659,5.4584131699314,5.23276566394,5.4584131699314,563200.0
2000-01-21,49.0,55.12,49.0,54.5,188000.0,0.0,1.0,5.5283638967887,6.2188452651224,5.5283638967887,6.148894538265,1504000.0
2000-01-24,54.5,57.0,54.25,54.88,125400.0,0.0,1.0,6.148894538265,6.4309539207543,6.1206886000161,6.1917675644034,1003200.0
2000-01-25,55.0,55.0,49.38,49.94,252500.0,0.0,1.0,6.2053064147629,6.2053064147629,5.5712369229271,5.6344182246047,2020000.0
2000-01-26,50.06,50.06,46.62,47.88,156500.0,0.0,1.0,5.6479570749642,5.6479570749642,5.259843364659,5.4020012934336,1252000.0
2000-01-27,47.88,47.88,44.0,44.75,106100.0,0.0,1.0,5.4020012934336,5.4020012934336,4.9642451318103,5.0488629465571,848800.0
2000-01-28,44.75,46.44,43.25,44.0,272900.0,0.0,1.0,5.0488629465571,5.2395350891198,4.8796273170635,4.9642451318103,2183200.0
2000-01-31,44.0,44.0,42.12,43.0,120600.0,0.0,1.0,4.9642451318103,4.9642451318103,4.7521364761784,4.8514213788146,964800.0
2000-02-01,42.75,44.5,42.5,44.38,133600.0,0.0,1.0,4.8232154405657,5.0206570083081,4.7950095023168,5.0071181579487,1068800.0
2000-02-02,44.31,45.62,42.5,42.75,39000.0,0.0,1.0,4.999220495239,5.1470196116633,4.7950095023168,4.8232154405657,312000.0
2000-02-03,49.88,52.0,48.0,51.06,311800.0,0.0,1.0,5.6276487994249,5.8668351557758,5.4155401437931,5.7607808279599,2494400.0
2000-02-04,52.0,55.75,51.88,54.56,282300.0,0.0,1.0,5.8668351557758,6.2899242295096,5.8532963054163,6.1556639634448,2258400.0
2000-02-07,54.62,59.75,54.62,55.5,162900.0,0.0,1.0,6.1624333886245,6.7412192414924,6.1624333886245,6.2617182912607,1303200.0
2000-02-08,55.5,56.75,53.75,56.0,127300.0,0.0,1.0,6.2617182912607,6.4027479825053,6.0642767235183,6.3181301677586,1018400.0
2000-02-09,57.0,59.75,57.0,58.56,206500.0,0.0,1.0,6.4309539207543,6.7412192414924,6.4309539207543,6.6069589754275,1652000.0
2000-02-10,58.56,61.0,58.56,61.0,102900.0,0.0,1.0,6.6069589754275,6.882248932737,6.6069589754275,6.882248932737,823200.0
2000-02-11,61.0,61.0,56.75,57.5,55800.0,0.0,1.0,6.882248932737,6.882248932737,6.4027479825053,6.4873657972521,446400.0
2000-02-14,57.5,58.0,57.5,57.69,49400.0,0.0,1.0,6.4873657972521,6.5437776737499,6.4873657972521,6.5088023103213,395200.0
2000-02-15,57.88,57.88,56.56,56.62,67000.0,0.0,1.0,6.5302388233905,6.5302388233905,6.3813114694361,6.3880808946159,536000.0
2000-02-16,56.88,57.12,56.0,56.56,29400.0,0.0,1.0,6.4174150703948,6.4444927711137,6.3181301677586,6.3813114694361,235200.0
2000-02-17,57.12,57.38,56.5,56.88,107500.0,0.0,1.0,6.4444927711137,6.4738269468926,6.3745420442564,6.4174150703948,860000.0
2000-02-18,56.88,57.56,56.75,57.25,84700.0,0.0,1.0,6.4174150703948,6.4941352224318,6.4027479825053,6.4591598590032,677600.0
2000-02-22,57.88,59.56,57.12,59.38,93400.0,0.0,1.0,6.5302388233905,6.7197827284232,6.4444927711137,6.699474452884,747200.0
2000-02-23,59.12,60.0,58.12,59.69,191900.0,0.0,1.0,6.6701402771051,6.7694251797413,6.5573165241094,6.7344498163127,1535200.0
2000-02-24,60.38,70.0,60.38,68.62,213600.0,0.0,1.0,6.8122982058797,7.8976627096982,6.8122982058797,7.7419659305642,1708800.0
2000-02-25,69.0,73.0,66.38,68.12,317200.0,0.0,1.0,7.7848389567025,8.2361339686853,7.4892407238538,7.6855540540663,2537600.0
2000-02-28,71.75,74.19,70.75,74.0,129900.0,0.0,1.0,8.0951042774407,8.3703942347501,7.982280524445,8.348957721681,1039200.0
2000-02-29,76.75,76.75,73.81,74.62,274200.0,0.0,1.0,8.6592230424191,8.6592230424191,8.3275212086118,8.4189084485383,2193600.0
2000-03-01,77.0,79.25,76.0,79.06,214500.0,0.0,1.0,8.687428980668,8.9412824249083,8.5746052276723,8.9198459118391,1716000.0
2000-03-02,80.12,80.38,77.31,78.5,137500.0,0.0,1.0,9.0394390900146,9.0687732657934,8.7224043440967,8.8566646101616,1100000.0
2000-03-03,77.75,78.75,77.5,77.62,87100.0,0.0,1.0,8.7720467954148,8.8848705484105,8.7438408571659,8.7573797075254,696800.0
2000-03-06,77.62,78.94,77.0,78.94,88400.0,0.0,1.0,8.7573797075254,8.9063070614797,8.687428980668,8.9063070614797,707200.0
2000-03-07,79.0,79.5,76.5,77.19,96000.0,0.0,1.0,8.9130764866594,8.9694883631572,8.6310171041702,8.7088654937372,768000.0
2000-03-08,76.12,77.12,73.06,77.12,143000.0,0.0,1.0,8.5881440780318,8.7009678310275,8.242903393865,8.7009678310275,1144000.0
2000-03-09,78.0,79.38,78.0,79.0,77900.0,0.0,1.0,8.8002527336637,8.9559495127978,8.8002527336637,8.9130764866594,623200.0
2000-03-10,79.0,79.0,75.0,75.25,73300.0,0.0,1.0,8.9130764866594,8.9130764866594,8.4617814746766,8.4899874129256,586400.0
