Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,50.09,52.5,49.75,52.5,197300.0,0.0,1.0,25.045,26.25,24.875,26.25,394600.0
2000-01-04,52.13,52.13,48.75,49.56,174700.0,0.0,1.0,26.065,26.065,24.375,24.78,349400.0
2000-01-05,49.81,50.13,48.0,48.25,175300.0,0.0,1.0,24.905,25.065,24.0,24.125,350600.0
2000-01-06,47.75,49.44,47.63,49.11,199400.0,0.0,1.0,23.875,24.72,23.815,24.555,398800.0
2000-01-07,49.0,49.75,48.38,49.44,138000.0,0.0,1.0,24.5,24.875,24.19,24.72,276000.0
2000-01-10,49.88,52.5,49.44,52.13,208600.0,0.0,1.0,24.94,26.25,24.72,26.065,417200.0
2000-01-11,53.25,56.44,53.06,54.13,224300.0,0.0,1.0,26.625,28.22,26.53,27.065,448600.0
2000-01-12,54.25,54.25,52.0,52.0,407700.0,0.0,1.0,27.125,27.125,26.0,26.0,815400.0
2000-01-13,52.69,52.75,51.13,51.31,237300.0,0.0,1.0,26.345,26.375,25.565,25.655,474600.0
2000-01-14,52.0,52.38,51.5,51.81,452100.0,0.0,1.0,26.0,26.19,25.75,25.905,904200.0
2000-01-18,52.0,52.31,51.5,52.25,57500.0,0.0,1.0,26.0,26.155,25.75,26.125,115000.0
2000-01-19,52.25,53.06,49.94,51.28,216200.0,0.0,1.0,26.125,26.53,24.97,25.64,432400.0
2000-01-20,51.5,54.5,50.88,51.88,271500.0,0.0,1.0,25.75,27.25,25.44,25.94,543000.0
2000-01-21,54.5,55.25,54.0,54.44,574500.0,0.0,1.0,27.25,27.625,27.0,27.22,1149000.0
2000-01-24,54.5,55.63,54.25,54.63,181400.0,0.0,1.0,27.25,27.815,27.125,27.315,362800.0
2000-01-25,54.19,54.44,52.94,53.44,170000.0,0.0,1.0,27.095,27.22,26.47,26.72,340000.0
2000-01-26,53.31,54.19,52.81,53.5,176800.0,0.0,1.0,26.655,27.095,26.405,26.75,353600.0
2000-01-27,52.88,55.0,52.88,54.94,300000.0,0.0,1.0,26.44,27.5,26.44,27.47,600000.0
2000-01-28,54.0,54.75,53.5,54.47,106700.0,0.0,1.0,27.0,27.375,26.75,27.235,213400.0
2000-01-31,54.06,55.81,52.88,55.75,331300.0,0.0,1.0,27.03,27.905,26.44,27.875,662600.0
2000-02-01,55.88,60.0,55.63,59.0,418800.0,0.0,1.0,27.94,30.0,27.815,29.5,837600.0
2000-02-02,59.0,59.38,55.75,57.75,162200.0,0.0,1.0,29.5,29.69,27.875,28.875,324400.0
2000-02-03,58.28,58.5,56.88,58.0,271700.0,0.0,1.0,29.14,29.25,28.44,29.0,543400.0
2000-02-04,57.81,59.63,57.44,58.69,188200.0,0.0,1.0,28.905,29.815,28.72,29.345,376400.0
2000-02-07,58.5,61.63,58.44,61.25,473900.0,0.0,1.0,29.25,30.815,29.22,30.625,947800.0
2000-02-08,61.22,69.94,60.81,67.38,595200.0,0.0,1.0,30.61,34.97,30.405,33.69,1190400.0
2000-02-09,67.44,70.0,66.25,69.56,380200.0,0.0,1.0,33.72,35.0,33.125,34.78,760400.0
2000-02-10,69.63,69.81,66.63,67.19,396900.0,0.0,1.0,34.815,34.905,33.315,33.595,793800.0
2000-02-11,67.0,67.5,64.88,64.88,91600.0,0.0,1.0,33.5,33.75,32.44,32.44,183200.0
2000-02-14,64.88,65.25,62.88,63.63,106600.0,0.0,1.0,32.44,32.625,31.44,31.815,213200.0
2000-02-15,63.25,64.69,63.25,64.34,236000.0,0.0,1.0,31.625,32.345,31.625,32.17,472000.0
2000-02-16,64.25,64.75,62.0,64.13,324200.0,0.0,1.0,32.125,32.375,31.0,32.065,648400.0
2000-02-17,64.0,64.63,61.63,61.91,94400.0,0.0,1.0,32.0,32.315,30.815,30.955,188800.0
2000-02-18,61.5,62.19,58.63,60.75,102600.0,0.0,1.0,30.75,31.095,29.315,30.375,205200.0
2000-02-22,60.31,66.38,57.75,64.94,741100.0,0.0,1.0,30.155,33.19,28.875,32.47,1482200.0
2000-02-23,65.0,66.75,62.75,66.75,242700.0,0.0,1.0,32.5,33.375,31.375,33.375,485400.0
2000-02-24,66.25,67.5,65.25,66.69,322500.0,0.0,1.0,33.125,33.75,32.625,33.345,645000.0
2000-02-25,66.31,68.88,66.31,67.38,124800.0,0.0,1.0,33.155,34.44,33.155,33.69,249600.0
2000-02-28,67.56,69.13,65.81,68.88,161600.0,0.0,1.0,33.78,34.565,32.905,34.44,323200.0
2000-02-29,68.38,79.75,68.13,79.25,279000.0,0.0,1.0,34.19,39.875,34.065,39.625,558000.0
2000-03-01,78.0,81.81,76.0,80.06,297600.0,0.0,1.0,39.0,40.905,38.0,40.03,595200.0
2000-03-02,79.06,81.0,78.88,79.59,225400.0,0.0,1.0,39.53,40.5,39.44,39.795,450800.0
2000-03-03,79.38,90.63,79.25,90.0,447600.0,0.0,1.0,39.69,45.315,39.625,45.0,895200.0
2000-03-06,89.31,89.94,87.25,88.13,298300.0,0.0,1.0,44.655,44.97,43.625,44.065,596600.0
2000-03-07,88.0,88.25,82.56,84.56,184500.0,0.0,1.0,44.0,44.125,41.28,42.28,369000.0
2000-03-08,85.5,88.0,84.0,87.0,310900.0,0.0,1.0,42.75,44.0,42.0,43.5,621800.0
2000-03-09,83.5,89.5,79.31,86.19,413700.0,0.0,1.0,41.75,44.75,39.655,43.095,827400.0
2000-03-10,89.0,89.0,83.94,86.75,567200.0,0.0,1.0,44.5,44.5,41.97,43.375,1134400.0
2000-03-13,83.0,88.0,81.94,85.81,244900.0,0.0,1.0,41.5,44.0,40.97,42.905,489800.0
2000-03-14,85.63,86.75,74.0,74.5,268300.0,0.0,1.0,42.815,43.375,37.0,37.25,536600.0
2000-03-15,74.88,75.88,70.25,72.5,255600.0,0.0,1.0,37.44,37.94,35.125,36.25,511200.0
2000-03-16,72.81,81.0,69.63,80.5,451300.0,0.0,1.0,36.405,40.5,34.815,40.25,902600.0
2000-03-17,78.88,81.5,72.0,77.81,381100.0,0.0,1.0,39.44,40.75,36.0,38.905,762200.0
2000-03-20,78.0,78.06,59.31,60.0,624600.0,0.0,1.0,39.0,39.03,29.655,30.0,1249200.0
