Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,67.5,68.62,64.12,65.56,1157800.0,0.0,1.0,33.75,34.31,32.06,32.78,2315600.0
2000-01-04,64.88,65.0,60.75,60.88,645500.0,0.0,1.0,32.44,32.5,30.375,30.44,1291000.0
2000-01-05,60.75,62.94,59.5,62.25,1671900.0,0.0,1.0,30.375,31.47,29.75,31.125,3343800.0
2000-01-06,61.44,61.44,55.63,56.94,1553700.0,0.0,1.0,30.72,30.72,27.815,28.47,3107400.0
2000-01-07,57.13,58.94,56.0,57.5,855400.0,0.0,1.0,28.565,29.47,28.0,28.75,1710800.0
2000-01-10,58.5,61.81,58.38,60.31,859300.0,0.0,1.0,29.25,30.905,29.19,30.155,1718600.0
2000-01-11,59.88,62.0,57.88,57.94,1389500.0,0.0,1.0,29.94,31.0,28.94,28.97,2779000.0
2000-01-12,57.56,57.63,53.38,53.44,2566800.0,0.0,1.0,28.78,28.815,26.69,26.72,5133600.0
2000-01-13,55.27,55.5,53.44,55.06,2350000.0,0.0,1.0,27.635,27.75,26.72,27.53,4700000.0
2000-01-14,56.06,56.94,54.75,56.38,1642800.0,0.0,1.0,28.03,28.47,27.375,28.19,3285600.0
2000-01-18,56.0,56.38,54.88,55.19,1734300.0,0.0,1.0,28.0,28.19,27.44,27.595,3468600.0
2000-01-19,55.38,56.25,53.13,54.25,742100.0,0.0,1.0,27.69,28.125,26.565,27.125,1484200.0
2000-01-20,54.5,56.44,54.25,54.56,1372800.0,0.0,1.0,27.25,28.22,27.125,27.28,2745600.0
2000-01-21,54.63,55.75,54.0,54.63,1083500.0,0.0,1.0,27.315,27.875,27.0,27.315,2167000.0
2000-01-24,55.38,55.38,52.88,52.88,1182300.0,0.0,1.0,27.69,27.69,26.44,26.44,2364600.0
2000-01-25,53.25,53.25,46.69,48.0,2726500.0,0.0,1.0,26.625,26.625,23.345,24.0,5453000.0
2000-01-26,47.63,48.13,44.63,47.63,2574100.0,0.0,1.0,23.815,24.065,22.315,23.815,5148200.0
2000-01-27,48.13,48.25,41.63,43.81,3057400.0,0.0,1.0,24.065,24.125,20.815,21.905,6114800.0
2000-01-28,44.19,44.25,42.81,43.34,2212000.0,0.0,1.0,22.095,22.125,21.405,21.67,4424000.0
2000-01-31,43.44,46.88,43.0,46.19,1601900.0,0.0,1.0,21.72,23.44,21.5,23.095,3203800.0
2000-02-01,46.63,46.63,45.25,46.56,837300.0,0.0,1.0,23.315,23.315,22.625,23.28,1674600.0
2000-02-02,47.06,47.13,45.13,45.81,703600.0,0.0,1.0,23.53,23.565,22.565,22.905,1407200.0
2000-02-03,46.0,47.88,45.69,46.81,1418500.0,0.0,1.0,23.0,23.94,22.845,23.405,2837000.0
2000-02-04,47.25,47.69,44.88,45.25,1025900.0,0.0,1.0,23.625,23.845,22.44,22.625,2051800.0
2000-02-07,45.25,45.5,43.0,43.5,1249900.0,0.0,1.0,22.625,22.75,21.5,21.75,2499800.0
2000-02-08,44.13,45.88,43.38,45.19,1112900.0,0.0,1.0,22.065,22.94,21.69,22.595,2225800.0
2000-02-09,45.88,48.5,45.81,48.19,1971500.0,0.0,1.0,22.94,24.25,22.905,24.095,3943000.0
2000-02-10,49.88,51.0,47.88,50.81,3024000.0,0.0,1.0,24.94,25.5,23.94,25.405,6048000.0
2000-02-11,52.25,52.75,50.0,50.56,2099200.0,0.0,1.0,26.125,26.375,25.0,25.28,4198400.0
2000-02-14,48.63,49.06,41.75,42.44,4849700.0,0.0,1.0,24.315,24.53,20.875,21.22,9699400.0
2000-02-15,46.25,46.81,42.5,42.63,9763600.0,0.0,1.0,23.125,23.405,21.25,21.315,19527200.0
2000-02-16,44.5,45.31,43.39,44.56,3645800.0,0.0,1.0,22.25,22.655,21.695,22.28,7291600.0
2000-02-17,46.5,47.31,44.94,46.5,3975400.0,0.0,1.0,23.25,23.655,22.47,23.25,7950800.0
2000-02-18,42.38,42.38,36.88,37.56,17504800.0,0.0,1.0,21.19,21.19,18.44,18.78,35009600.0
2000-02-22,40.25,41.0,38.44,38.94,5503000.0,0.0,1.0,20.125,20.5,19.22,19.47,11006000.0
2000-02-23,39.88,40.25,39.5,40.0,2418000.0,0.0,1.0,19.94,20.125,19.75,20.0,4836000.0
2000-02-24,40.89,41.0,40.0,40.06,2743200.0,0.0,1.0,20.445,20.5,20.0,20.03,5486400.0
2000-02-25,40.38,40.88,40.25,40.25,2105600.0,0.0,1.0,20.19,20.44,20.125,20.125,4211200.0
2000-02-28,40.81,40.94,39.25,40.0,1821500.0,0.0,1.0,20.405,20.47,19.625,20.0,3643000.0
2000-02-29,40.31,40.75,39.75,39.94,2648700.0,0.0,1.0,20.155,20.375,19.875,19.97,5297400.0
2000-03-01,40.31,40.75,39.88,40.06,1690000.0,0.0,1.0,20.155,20.375,19.94,20.03,3380000.0
2000-03-02,40.19,40.5,39.69,39.75,1099200.0,0.0,1.0,20.095,20.25,19.845,19.875,2198400.0
2000-03-03,40.06,40.5,39.44,39.88,1383000.0,0.0,1.0,20.03,20.25,19.72,19.94,2766000.0
2000-03-06,40.0,40.69,39.19,39.25,1232100.0,0.0,1.0,20.0,20.345,19.595,19.625,2464200.0
2000-03-07,39.75,39.88,38.5,38.88,1057800.0,0.0,1.0,19.875,19.94,19.25,19.44,2115600.0
2000-03-08,39.19,39.5,38.0,39.5,1828300.0,0.0,1.0,19.595,19.75,19.0,19.75,3656600.0
2000-03-09,39.63,42.13,38.81,41.94,1265900.0,0.0,1.0,19.815,21.065,19.405,20.97,2531800.0
2000-03-10,42.38,45.5,41.13,43.31,2356500.0,0.0,1.0,21.19,22.75,20.565,21.655,4713000.0
2000-03-13,43.13,45.06,41.5,43.06,1645100.0,0.0,1.0,21.565,22.53,20.75,21.53,3290200.0
2000-03-14,45.0,46.31,43.06,43.63,1810500.0,0.0,1.0,22.5,23.155,21.53,21.815,3621000.0
2000-03-15,45.25,45.5,42.0,43.06,1901600.0,0.0,1.0,22.625,22.75,21.0,21.53,3803200.0
2000-03-16,43.94,49.5,43.5,48.5,2371900.0,0.0,1.0,21.97,24.75,21.75,24.25,4743800.0
2000-03-17,47.25,52.5,47.25,49.5,2750400.0,0.0,1.0,23.625,26.25,23.625,24.75,5500800.0
