Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,39.0,39.0,38.0,38.12,616600.0,0.0,1.0,12.405930661522,12.405930661522,12.087829875329,12.126001969672,1233200.0
2000-01-04,37.5,38.31,36.88,36.94,527100.0,0.0,1.0,11.928779482232,12.186441119048,11.731556994793,11.750643041964,1054200.0
2000-01-05,37.0,38.19,37.0,37.44,667100.0,0.12,1.0,11.807452579806,12.1872057844,11.807452579806,11.947865529404,1334200.0
2000-01-06,37.0,39.0,36.75,38.81,778700.0,0.0,1.0,11.807452579806,12.445693259796,11.727672494807,12.385060395197,1557400.0
2000-01-07,38.81,38.94,38.19,38.88,578700.0,0.0,1.0,12.385060395197,12.426546039396,12.1872057844,12.407398818996,1157400.0
2000-01-10,38.94,39.0,38.13,39.0,700100.0,0.0,1.0,12.426546039396,12.445693259796,12.168058564,12.445693259796,1400200.0
2000-01-11,38.88,39.13,38.63,39.0,681800.0,0.0,1.0,12.407398818996,12.487178903995,12.327618733998,12.445693259796,1363600.0
2000-01-12,39.0,40.75,39.0,40.44,861300.0,0.0,1.0,12.445693259796,13.004153854786,12.445693259796,12.905226549388,1722600.0
2000-01-13,40.0,40.38,39.69,40.13,414900.0,0.0,1.0,12.76481359979,12.886079328988,12.665886294392,12.80629924399,829800.0
2000-01-14,40.56,40.56,39.25,39.38,619600.0,0.0,1.0,12.943520990187,12.943520990187,12.525473344794,12.566958988994,1239200.0
2000-01-18,39.25,39.31,38.94,39.13,422000.0,0.0,1.0,12.525473344794,12.544620565194,12.426546039396,12.487178903995,844000.0
2000-01-19,39.0,39.13,38.13,38.19,442300.0,0.0,1.0,12.445693259796,12.487178903995,12.168058564,12.1872057844,884600.0
2000-01-20,38.44,38.44,35.88,36.0,914000.0,0.0,1.0,12.266985869399,12.266985869399,11.450037799012,11.488332239811,1828000.0
2000-01-21,35.13,35.88,35.0,35.5,1351500.0,0.0,1.0,11.210697544016,11.450037799012,11.169211899817,11.328772069814,2703000.0
2000-01-24,36.88,37.19,33.88,34.0,1372100.0,0.0,1.0,11.769158139007,11.868085444405,10.811797119022,10.850091559822,2744200.0
2000-01-25,34.19,35.25,34.13,34.44,1001700.0,0.0,1.0,10.910724424421,11.248991984815,10.891577204021,10.99050450942,2003400.0
2000-01-26,34.5,35.31,34.38,34.94,646800.0,0.0,1.0,11.009651729819,11.268139205215,10.97135728902,11.150064679417,1293600.0
2000-01-27,34.94,35.81,34.06,34.5,693000.0,0.0,1.0,11.150064679417,11.427699375212,10.869238780222,11.009651729819,1386000.0
2000-01-28,34.0,34.25,33.38,34.06,807300.0,0.0,1.0,10.850091559822,10.929871644821,10.652236949025,10.869238780222,1614600.0
2000-01-31,34.06,35.56,33.69,35.56,791200.0,0.0,1.0,10.869238780222,11.347919290214,10.751164254423,11.347919290214,1582400.0
2000-02-01,35.31,35.31,34.56,35.25,1240900.0,0.0,1.0,11.268139205215,11.268139205215,11.028798950219,11.248991984815,2481800.0
2000-02-02,35.75,36.88,35.31,35.38,1030000.0,0.0,1.0,11.408552154813,11.769158139007,11.268139205215,11.290477629015,2060000.0
