Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-04-08,41.61,44.35,41.3214,44.02,3602269.0,0.0,1.0,41.61,44.35,41.3214,44.02,3602269.0
2016-04-11,43.64,43.68,40.97,41.46,4094387.0,0.0,1.0,43.64,43.68,40.97,41.46,4094387.0
2016-04-12,41.25,41.66,40.23,41.65,3613186.0,0.0,1.0,41.25,41.66,40.23,41.65,3613186.0
2016-04-13,41.33,42.68,41.33,41.8,4425060.0,0.0,1.0,41.33,42.68,41.33,41.8,4425060.0
2016-04-14,41.99,42.86,41.91,42.23,2525995.0,0.0,1.0,41.99,42.86,41.91,42.23,2525995.0
2016-04-15,41.82,42.05,41.1901,42.0,2344083.0,0.0,1.0,41.82,42.05,41.1901,42.0,2344083.0
2016-04-18,41.39,42.54,41.39,42.42,2541724.0,0.0,1.0,41.39,42.54,41.39,42.42,2541724.0
2016-04-19,42.55,43.36,42.25,43.0,1644552.0,0.0,1.0,42.55,43.36,42.25,43.0,1644552.0
2016-04-20,42.86,43.57,42.75,42.76,2267344.0,0.0,1.0,42.86,43.57,42.75,42.76,2267344.0
2016-04-21,46.35,46.53,43.99,45.73,3270908.0,0.0,1.0,46.35,46.53,43.99,45.73,3270908.0
2016-04-22,45.48,46.18,44.09,45.06,2398525.0,0.0,1.0,45.48,46.18,44.09,45.06,2398525.0
2016-04-25,44.89,44.9,44.11,44.26,2107535.0,0.0,1.0,44.89,44.9,44.11,44.26,2107535.0
2016-04-26,44.21,44.89,43.85,43.95,2181075.0,0.0,1.0,44.21,44.89,43.85,43.95,2181075.0
2016-04-27,44.19,44.21,41.75,42.16,1280876.0,0.0,1.0,44.19,44.21,41.75,42.16,1280876.0
2016-04-28,42.11,43.09,41.84,41.89,1445833.0,0.0,1.0,42.11,43.09,41.84,41.89,1445833.0
2016-04-29,41.71,41.89,40.47,40.8,1964394.0,0.0,1.0,41.71,41.89,40.47,40.8,1964394.0
2016-05-02,40.57,40.82,39.88,40.27,1453798.0,0.0,1.0,40.57,40.82,39.88,40.27,1453798.0
2016-05-03,39.42,40.47,39.42,40.12,1539208.0,0.0,1.0,39.42,40.47,39.42,40.12,1539208.0
2016-05-04,38.85,38.9,37.04,37.39,4516156.0,0.0,1.0,38.85,38.9,37.04,37.39,4516156.0
2016-05-05,37.4,38.17,37.0801,37.49,1121631.0,0.0,1.0,37.4,38.17,37.0801,37.49,1121631.0
2016-05-06,37.0,37.35,36.27,36.38,1346938.0,0.0,1.0,37.0,37.35,36.27,36.38,1346938.0
2016-05-09,36.31,36.72,35.9648,36.31,1705626.0,0.0,1.0,36.31,36.72,35.9648,36.31,1705626.0
2016-05-10,36.59,37.28,36.4,36.55,1282790.0,0.0,1.0,36.59,37.28,36.4,36.55,1282790.0
2016-05-11,36.0,36.1189,34.805,35.23,1941428.0,0.0,1.0,36.0,36.1189,34.805,35.23,1941428.0
2016-05-12,35.57,35.66,34.81,35.19,1634456.0,0.0,1.0,35.57,35.66,34.81,35.19,1634456.0
2016-05-13,34.97,35.23,34.48,34.71,1908143.0,0.0,1.0,34.97,35.23,34.48,34.71,1908143.0
2016-05-16,34.58,34.905,34.45,34.54,1695997.0,0.0,1.0,34.58,34.905,34.45,34.54,1695997.0
2016-05-17,34.45,34.74,34.095,34.47,1895456.0,0.0,1.0,34.45,34.74,34.095,34.47,1895456.0
2016-05-18,34.33,34.4,33.7,34.22,980956.0,0.0,1.0,34.33,34.4,33.7,34.22,980956.0
2016-05-19,33.78,35.0,33.78,34.85,1057401.0,0.0,1.0,33.78,35.0,33.78,34.85,1057401.0
2016-05-20,34.89,35.65,34.73,35.58,1052853.0,0.0,1.0,34.89,35.65,34.73,35.58,1052853.0
2016-05-23,35.53,36.0,34.75,34.83,683835.0,0.0,1.0,35.53,36.0,34.75,34.83,683835.0
2016-05-24,35.01,36.09,34.99,35.58,1143097.0,0.0,1.0,35.01,36.09,34.99,35.58,1143097.0
2016-05-25,35.91,36.0,35.35,35.48,1322956.0,0.0,1.0,35.91,36.0,35.35,35.48,1322956.0
2016-05-26,35.51,35.51,34.91,34.92,875007.0,0.0,1.0,35.51,35.51,34.91,34.92,875007.0
2016-05-27,34.97,35.21,34.84,35.06,1105514.0,0.0,1.0,34.97,35.21,34.84,35.06,1105514.0
2016-05-31,35.24,35.4,34.65,34.97,6311364.0,0.0,1.0,35.24,35.4,34.65,34.97,6311364.0
2016-06-01,33.39,33.755,32.6259,33.72,3080985.0,0.0,1.0,33.39,33.755,32.6259,33.72,3080985.0
2016-06-02,33.67,34.32,33.66,34.22,2785411.0,0.0,1.0,33.67,34.32,33.66,34.22,2785411.0
2016-06-03,33.78,34.32,33.78,34.16,967862.0,0.0,1.0,33.78,34.32,33.78,34.16,967862.0
2016-06-06,34.17,34.57,34.12,34.4,1956465.0,0.0,1.0,34.17,34.57,34.12,34.4,1956465.0
2016-06-07,34.8,35.28,34.21,35.2,1441146.0,0.0,1.0,34.8,35.28,34.21,35.2,1441146.0
2016-06-08,35.67,36.55,35.2801,36.44,1287361.0,0.0,1.0,35.67,36.55,35.2801,36.44,1287361.0
2016-06-09,36.23,36.315,35.84,36.14,1224965.0,0.0,1.0,36.23,36.315,35.84,36.14,1224965.0
2016-06-10,35.75,36.41,35.7,35.79,616887.0,0.0,1.0,35.75,36.41,35.7,35.79,616887.0
2016-06-13,35.62,35.74,34.62,34.68,1254294.0,0.0,1.0,35.62,35.74,34.62,34.68,1254294.0
2016-06-14,34.66,34.75,34.0,34.4,1086008.0,0.0,1.0,34.66,34.75,34.0,34.4,1086008.0
2016-06-15,34.45,35.47,34.45,34.77,1062818.0,0.0,1.0,34.45,35.47,34.45,34.77,1062818.0
2016-06-16,34.22,34.27,33.16,33.48,1215871.0,0.0,1.0,34.22,34.27,33.16,33.48,1215871.0
2016-06-17,33.72,34.25,33.6,34.14,1302234.0,0.0,1.0,33.72,34.25,33.6,34.14,1302234.0
2016-06-20,34.71,35.17,34.65,34.77,845879.0,0.0,1.0,34.71,35.17,34.65,34.77,845879.0
2016-06-21,34.91,35.48,34.75,34.92,585531.0,0.0,1.0,34.91,35.48,34.75,34.92,585531.0
2016-06-22,34.95,35.0099,34.26,34.32,635385.0,0.0,1.0,34.95,35.0099,34.26,34.32,635385.0
2016-06-23,34.55,34.775,34.4,34.67,1260783.0,0.0,1.0,34.55,34.775,34.4,34.67,1260783.0
2016-06-24,32.85,33.9132,32.85,33.5,1992297.0,0.0,1.0,32.85,33.9132,32.85,33.5,1992297.0
2016-06-27,32.96,33.075,31.31,31.9,1417621.0,0.0,1.0,32.96,33.075,31.31,31.9,1417621.0
2016-06-28,32.25,33.97,32.115,33.9,1570613.0,0.0,1.0,32.25,33.97,32.115,33.9,1570613.0
