Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2005-11-18,31.0,31.0,24.39,25.3,17963300.0,0.0,1.0,3.875,3.875,3.04875,3.1625,143706400.0
2005-11-21,26.03,26.95,25.5,26.15,4209600.0,0.0,1.0,3.25375,3.36875,3.1875,3.26875,33676800.0
2005-11-22,25.5,25.85,22.75,23.5,3219400.0,0.0,1.0,3.1875,3.23125,2.84375,2.9375,25755200.0
2005-11-23,23.94,24.1,23.51,23.8,1031700.0,0.0,1.0,2.9925,3.0125,2.93875,2.975,8253600.0
2005-11-25,23.825,24.0,23.5,23.68,291300.0,0.0,1.0,2.978125,3.0,2.9375,2.96,2330400.0
2005-11-28,23.68,24.2,23.58,23.7,810600.0,0.0,1.0,2.96,3.025,2.9475,2.9625,6484800.0
2005-11-29,23.56,23.65,21.08,21.35,2030200.0,0.0,1.0,2.945,2.95625,2.635,2.66875,16241600.0
2005-11-30,21.33,22.71,21.27,22.51,804100.0,0.0,1.0,2.66625,2.83875,2.65875,2.81375,6432800.0
2005-12-01,22.845,23.73,22.6,23.15,729600.0,0.0,1.0,2.855625,2.96625,2.825,2.89375,5836800.0
2005-12-02,23.71,25.0,23.251,24.66,1179300.0,0.0,1.0,2.96375,3.125,2.906375,3.0825,9434400.0
2005-12-05,25.12,25.9,24.55,25.66,706700.0,0.0,1.0,3.14,3.2375,3.06875,3.2075,5653600.0
2005-12-06,26.06,26.16,24.52,24.7,577200.0,0.0,1.0,3.2575,3.27,3.065,3.0875,4617600.0
2005-12-07,24.91,25.65,24.91,25.65,440400.0,0.0,1.0,3.11375,3.20625,3.11375,3.20625,3523200.0
2005-12-08,25.5,25.88,25.3,25.5,249100.0,0.0,1.0,3.1875,3.235,3.1625,3.1875,1992800.0
2005-12-09,25.6,25.84,24.8,25.0,199900.0,0.0,1.0,3.2,3.23,3.1,3.125,1599200.0
2005-12-12,25.0,25.58,24.75,25.49,327800.0,0.0,1.0,3.125,3.1975,3.09375,3.18625,2622400.0
2005-12-13,25.76,25.9,25.25,25.59,266100.0,0.0,1.0,3.22,3.2375,3.15625,3.19875,2128800.0
2005-12-14,26.0,27.25,25.87,27.0,1031100.0,0.0,1.0,3.25,3.40625,3.23375,3.375,8248800.0
2005-12-15,27.0,27.65,26.8,27.39,531300.0,0.0,1.0,3.375,3.45625,3.35,3.42375,4250400.0
2005-12-16,27.38,27.64,26.51,27.64,1004600.0,0.0,1.0,3.4225,3.455,3.31375,3.455,8036800.0
2005-12-19,27.59,27.6,25.15,26.49,892700.0,0.0,1.0,3.44875,3.45,3.14375,3.31125,7141600.0
2005-12-20,27.54,28.29,26.85,28.07,1447600.0,0.0,1.0,3.4425,3.53625,3.35625,3.50875,11580800.0
2005-12-21,28.145,28.8,27.89,28.55,1235600.0,0.0,1.0,3.518125,3.6,3.48625,3.56875,9884800.0
2005-12-22,28.58,28.833,27.99,28.7,535700.0,0.0,1.0,3.5725,3.604125,3.49875,3.5875,4285600.0
