Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,43.06,43.06,43.06,43.06,1025300.0,0.0,1.0,7.7660693786955,7.7660693786955,7.7660693786955,7.7660693786955,4101200.0
2000-01-04,43.06,43.38,42.63,43.0,1216300.0,0.0,1.0,7.7660693786955,7.823782852945,7.6885168976728,7.7552481022738,4865200.0
2000-01-05,43.0,43.75,42.94,43.25,894900.0,0.0,1.0,7.7552481022738,7.890514057546,7.744426825852,7.8003367540312,3579600.0
2000-01-06,43.0,46.0,43.0,45.63,1554000.0,0.0,1.0,7.7552481022738,8.2963119233626,7.7552481022738,8.2295807187617,6216000.0
2000-01-07,45.63,45.69,44.63,45.31,814000.0,0.0,1.0,8.2295807187617,8.2404019951835,8.0492261117321,8.1718672445122,3256000.0
2000-01-10,46.38,46.75,45.5,46.38,1077900.0,0.0,1.0,8.3648466740339,8.4315778786349,8.2061346198478,8.3648466740339,4311600.0
2000-01-11,46.25,47.19,46.25,46.75,596000.0,0.0,1.0,8.34140057512,8.5109339057279,8.34140057512,8.4315778786349,2384000.0
2000-01-12,46.5,46.81,45.63,45.81,574700.0,0.0,1.0,8.3864892268774,8.4423991550566,8.2295807187617,8.262044548027,2298800.0
2000-01-13,45.81,47.63,45.38,46.63,773100.0,0.0,1.0,8.262044548027,8.5902899328209,8.1844920670043,8.4099353257913,3092400.0
2000-01-14,46.75,46.94,45.69,46.06,608900.0,0.0,1.0,8.4315778786349,8.4658452539705,8.2404019951835,8.3071331997844,2435600.0
2000-01-18,45.56,45.88,44.25,44.38,741900.0,0.0,1.0,8.2169558962696,8.2746693705191,7.9806913610608,8.0041374599747,2967600.0
2000-01-19,43.13,43.69,42.25,43.63,1442900.0,0.0,1.0,7.7786942011876,7.8796927811242,7.6199821470016,7.8688715047024,5771600.0
2000-01-20,44.25,44.81,40.88,42.0,2017700.0,0.0,1.0,7.9806913610608,8.0816899409974,7.372896335371,7.5748934952441,8070800.0
2000-01-21,42.56,44.19,42.5,43.75,1276300.0,0.0,1.0,7.6758920751807,7.969870084639,7.665070798759,7.890514057546,5105200.0
2000-01-24,43.81,44.25,42.38,42.44,751000.0,0.0,1.0,7.9013353339678,7.9806913610608,7.6434282459154,7.6542495223372,3004000.0
2000-01-25,42.44,42.69,40.0,40.94,1264200.0,0.0,1.0,7.6542495223372,7.6993381740946,7.2141842811849,7.3837176117927,5056800.0
2000-01-26,41.0,41.81,39.94,41.81,962300.0,0.0,1.0,7.3945388882145,7.5406261199085,7.2033630047631,7.5406261199085,3849200.0
2000-01-27,42.0,42.0,40.06,40.25,917600.0,0.0,1.0,7.5748934952441,7.5748934952441,7.2250055576067,7.2592729329423,3670400.0
2000-01-28,40.31,41.31,39.75,40.63,897600.0,0.0,1.0,7.2700942093641,7.4504488163937,7.1690956294275,7.3278076836136,3590400.0
2000-01-31,40.63,41.13,39.81,40.25,920600.0,0.0,1.0,7.3278076836136,7.4179849871284,7.1799169058493,7.2592729329423,3682400.0
2000-02-01,40.0,40.38,39.5,40.31,703300.0,0.0,1.0,7.2141842811849,7.2827190318562,7.1240069776701,7.2700942093641,2813200.0
