Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-10-07,27.0,28.97,26.41,27.22,63739500.0,0.0,1.0,27.0,28.97,26.41,27.22,63739500.0
2009-10-08,27.33,27.44,26.5,26.6,6906700.0,0.0,1.0,27.33,27.44,26.5,26.6,6906700.0
2009-10-09,26.83,27.49,26.38,26.4,3361300.0,0.0,1.0,26.83,27.49,26.38,26.4,3361300.0
2009-10-12,27.29,27.9,26.1,26.25,7177000.0,0.0,1.0,27.29,27.9,26.1,26.25,7177000.0
2009-10-13,26.67,27.26,26.54,27.19,3296000.0,0.0,1.0,26.67,27.26,26.54,27.19,3296000.0
2009-10-14,27.25,28.2385,27.0,27.99,3222400.0,0.0,1.0,27.25,28.2385,27.0,27.99,3222400.0
2009-10-15,28.28,28.8,27.75,28.31,3181300.0,0.0,1.0,28.28,28.8,27.75,28.31,3181300.0
2009-10-16,28.45,28.6,27.55,28.568,3974100.0,0.0,1.0,28.45,28.6,27.55,28.568,3974100.0
2009-10-19,28.52,28.89,27.5,27.5,1892100.0,0.0,1.0,28.52,28.89,27.5,27.5,1892100.0
2009-10-20,27.5,28.1,27.35,28.06,3387000.0,0.0,1.0,27.5,28.1,27.35,28.06,3387000.0
2009-10-21,28.0,28.35,27.86,28.0,1079000.0,0.0,1.0,28.0,28.35,27.86,28.0,1079000.0
2009-10-22,27.76,28.48,27.32,27.89,1172500.0,0.0,1.0,27.76,28.48,27.32,27.89,1172500.0
2009-10-23,28.0,28.39,27.5101,28.37,2385700.0,0.0,1.0,28.0,28.39,27.5101,28.37,2385700.0
2009-10-26,27.83,28.6,27.76,28.45,834400.0,0.0,1.0,27.83,28.6,27.76,28.45,834400.0
2009-10-27,28.54,29.25,27.93,28.56,1578700.0,0.0,1.0,28.54,29.25,27.93,28.56,1578700.0
2009-10-28,28.21,28.55,27.56,27.69,1153500.0,0.0,1.0,28.21,28.55,27.56,27.69,1153500.0
2009-10-29,27.88,28.0,27.75,27.89,563500.0,0.0,1.0,27.88,28.0,27.75,27.89,563500.0
2009-10-30,28.0,28.07,27.3,27.43,819600.0,0.0,1.0,28.0,28.07,27.3,27.43,819600.0
2009-11-02,27.38,27.65,26.6,27.37,978000.0,0.0,1.0,27.38,27.65,26.6,27.37,978000.0
2009-11-03,27.43,27.49,26.85,27.36,696500.0,0.0,1.0,27.43,27.49,26.85,27.36,696500.0
2009-11-04,27.33,27.48,26.95,26.96,461200.0,0.0,1.0,27.33,27.48,26.95,26.96,461200.0
2009-11-05,27.02,27.6,26.97,27.3,470400.0,0.0,1.0,27.02,27.6,26.97,27.3,470400.0
2009-11-06,27.15,27.34,26.95,27.1,310800.0,0.0,1.0,27.15,27.34,26.95,27.1,310800.0
2009-11-09,27.25,27.69,27.05,27.58,615600.0,0.0,1.0,27.25,27.69,27.05,27.58,615600.0
2009-11-10,27.25,28.26,27.25,27.67,287300.0,0.0,1.0,27.25,28.26,27.25,27.67,287300.0
2009-11-11,27.93,29.12,27.63,28.98,1174600.0,0.0,1.0,27.93,29.12,27.63,28.98,1174600.0
2009-11-12,28.78,30.0,28.43,28.9,1211600.0,0.0,1.0,28.78,30.0,28.43,28.9,1211600.0
2009-11-13,28.78,29.08,28.51,28.9,414900.0,0.0,1.0,28.78,29.08,28.51,28.9,414900.0
2009-11-16,28.75,29.01,28.25,28.85,1424300.0,0.0,1.0,28.75,29.01,28.25,28.85,1424300.0
2009-11-17,28.55,28.96,27.4,27.85,2496000.0,0.0,1.0,28.55,28.96,27.4,27.85,2496000.0
2009-11-18,28.39,29.0,28.16,28.5,730900.0,0.0,1.0,28.39,29.0,28.16,28.5,730900.0
2009-11-19,28.81,28.89,27.94,28.54,1223600.0,0.0,1.0,28.81,28.89,27.94,28.54,1223600.0
2009-11-20,28.5,28.6399,28.42,28.55,875700.0,0.0,1.0,28.5,28.6399,28.42,28.55,875700.0
2009-11-23,28.68,28.68,27.67,28.4,447600.0,0.0,1.0,28.68,28.68,27.67,28.4,447600.0
2009-11-24,28.18,28.18,27.65,27.78,685400.0,0.0,1.0,28.18,28.18,27.65,27.78,685400.0
2009-11-25,27.72,27.811,27.17,27.3,892800.0,0.0,1.0,27.72,27.811,27.17,27.3,892800.0
2009-11-27,26.96,27.18,26.66,26.99,264600.0,0.0,1.0,26.96,27.18,26.66,26.99,264600.0
2009-11-30,27.34,27.4,26.73,26.91,888700.0,0.0,1.0,27.34,27.4,26.73,26.91,888700.0
2009-12-01,26.91,28.05,26.91,27.78,617200.0,0.0,1.0,26.91,28.05,26.91,27.78,617200.0
2009-12-02,27.76,27.81,27.35,27.51,820900.0,0.0,1.0,27.76,27.81,27.35,27.51,820900.0
2009-12-03,27.81,27.94,27.5,27.72,491800.0,0.0,1.0,27.81,27.94,27.5,27.72,491800.0
