Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,60.63,61.63,59.63,59.94,4663700.0,0.0,1.0,24.490002261281333,24.89392774802521,24.086076774537453,24.211293675428053,4663700.0
2000-01-04,59.69,60.44,57.25,58.0,5005800.0,0.0,1.0,24.110312303742084,24.413256418799993,23.124734116087023,23.42767823114493,5005800.0
2000-01-05,59.0,60.81,58.5,59.94,6368500.0,0.0,1.0,23.83160371788881,24.56270884889523,23.62964097451687,24.211293675428053,6368500.0
2000-01-06,59.69,59.69,58.38,59.25,4705600.0,0.385,1.0,24.266978468078637,24.266978468078637,23.734397771258685,24.08809640197117,4705600.0
2000-01-07,58.88,59.06,57.81,58.81,5043800.0,0.0,1.0,23.937672846380803,24.010851873424766,23.50266418561947,23.90921433586371,5043800.0
2000-01-10,58.81,59.31,57.81,58.5,4487800.0,0.0,1.0,23.90921433586371,24.112489410985827,23.50266418561947,23.783183789287992,4487800.0
2000-01-11,57.75,58.38,57.25,57.95,3694400.0,0.0,1.0,23.478271176604814,23.734397771258685,23.274996101482692,23.55958120665366,3694400.0
2000-01-12,56.38,57.63,56.0,56.0,4288100.0,0.0,1.0,22.921297470770206,23.429485158575506,22.766808413677396,22.766808413677396,4288100.0
2000-01-13,57.0,57.19,55.56,55.56,3783700.0,0.0,1.0,23.173358563921635,23.250603092468037,22.58792634756993,22.58792634756993,3783700.0
2000-01-14,55.94,56.63,55.56,56.31,3180500.0,0.0,1.0,22.74241540466274,23.022935008331267,22.58792634756993,22.89283896025311,3180500.0
2000-01-18,57.0,59.94,56.81,58.75,4861700.0,0.0,1.0,23.173358563921635,24.368616005639694,23.09611403537523,23.884821326849053,4861700.0
2000-01-19,57.5,58.5,57.5,57.63,2962300.0,0.0,1.0,23.376633639043753,23.783183789287992,23.376633639043753,23.429485158575506,2962300.0
2000-01-20,58.06,59.25,57.81,57.81,2711000.0,0.0,1.0,23.604301723180527,24.08809640197117,23.50266418561947,23.50266418561947,2711000.0
2000-01-21,59.88,61.31,59.0,60.06,5706500.0,0.0,1.0,24.344222996625042,24.925589711474306,23.98645886441011,24.417402023669005,5706500.0
2000-01-24,60.31,60.81,59.94,60.13,3908300.0,0.0,1.0,24.519039561230066,24.722314636352184,24.368616005639694,24.445860534186103,3908300.0
2000-01-25,60.06,60.25,58.19,58.5,4420200.0,0.0,1.0,24.417402023669005,24.49464655221541,23.657153242712276,23.783183789287992,4420200.0
2000-01-26,58.75,58.94,57.56,57.75,4054100.0,0.0,1.0,23.884821326849053,23.962065855395455,23.40102664805841,23.478271176604814,4054100.0
