Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,19.5,19.5,19.06,19.06,296400.0,0.0,1.0,5.4623747362512,5.4623747362512,5.3391211524588,5.3391211524588,592800.0
2000-01-04,19.0,19.25,18.94,19.19,267900.0,0.0,1.0,5.3223138455781,5.3923442909146,5.3055065386973,5.3755369840338,535800.0
2000-01-05,19.25,20.25,19.19,20.13,354200.0,0.0,1.0,5.3923442909146,5.6724660722608,5.3755369840338,5.6388514584993,708400.0
2000-01-06,20.31,20.31,19.88,20.0,340200.0,0.0,1.0,5.6892733791416,5.6892733791416,5.5688210131627,5.6024356269243,680400.0
2000-01-07,20.06,20.31,20.0,20.25,188100.0,0.0,1.0,5.619242933805,5.6892733791416,5.6024356269243,5.6724660722608,376200.0
2000-01-10,20.5,20.5,20.13,20.25,455700.0,0.0,1.0,5.7424965175974,5.7424965175974,5.6388514584993,5.6724660722608,911400.0
2000-01-11,20.38,20.38,20.0,20.0,475300.0,0.0,1.0,5.7088819038358,5.7088819038358,5.6024356269243,5.6024356269243,950600.0
2000-01-12,20.13,20.44,20.13,20.38,314200.0,0.0,1.0,5.6388514584993,5.7256892107166,5.6388514584993,5.7088819038358,628400.0
2000-01-13,20.5,20.5,20.13,20.19,242600.0,0.0,1.0,5.7424965175974,5.7424965175974,5.6388514584993,5.6556587653801,485200.0
2000-01-14,20.31,20.31,19.88,19.88,314400.0,0.0,1.0,5.6892733791416,5.6892733791416,5.5688210131627,5.5688210131627,628800.0
2000-01-18,19.88,19.94,19.31,19.5,302600.0,0.0,1.0,5.5688210131627,5.5856283200435,5.4091515977954,5.4623747362512,605200.0
2000-01-19,19.63,20.0,19.5,20.0,191000.0,0.0,1.0,5.4987905678262,5.6024356269243,5.4623747362512,5.6024356269243,382000.0
2000-01-20,19.88,20.0,19.75,19.88,237600.0,0.0,1.0,5.5688210131627,5.6024356269243,5.5324051815877,5.5688210131627,475200.0
2000-01-21,19.94,20.44,19.88,20.31,310400.0,0.0,1.0,5.5856283200435,5.7256892107166,5.5688210131627,5.6892733791416,620800.0
2000-01-24,20.38,20.63,20.31,20.31,440400.0,0.0,1.0,5.7088819038358,5.7789123491724,5.6892733791416,5.6892733791416,880800.0
