Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,52.0,53.44,51.0,51.38,451500.0,0.0,1.0,32.43453206933,33.33271911125,31.810791067997,32.047812648504,451500.0
2000-01-04,51.13,51.13,48.0,49.06,454200.0,0.0,1.0,31.89187739817,31.89187739817,29.939568063997,30.60073352541,454200.0
2000-01-05,49.63,50.0,49.06,49.13,610200.0,0.0,1.0,30.95626589617,31.187050066664,30.60073352541,30.644395395504,610200.0
2000-01-06,49.38,50.56,49.0,49.88,601300.0,0.0,1.0,30.800330645837,31.53634502741,30.56330906533,31.112201146504,601300.0
2000-01-07,50.13,53.5,50.13,53.19,462200.0,0.0,1.0,31.268136396837,33.37014357133,31.268136396837,33.176783860917,462200.0
2000-01-10,54.19,54.88,53.25,54.0,394100.0,0.0,1.0,33.80052486225,34.23090615317,33.214208320997,33.682014071997,394100.0
2000-01-11,54.13,54.13,52.56,53.13,479700.0,0.0,1.0,33.76310040217,33.76310040217,32.783827030077,33.139359400837,479700.0
2000-01-12,53.13,53.13,51.0,51.44,1886800.0,0.0,1.0,33.139359400837,33.139359400837,31.810791067997,32.085237108584,1886800.0
2000-01-13,51.81,51.81,49.13,51.38,670300.0,0.0,1.0,32.316021279077,32.316021279077,30.644395395504,32.047812648504,670300.0
2000-01-14,51.38,51.94,50.56,51.56,350600.0,0.0,1.0,32.047812648504,32.39710760925,31.53634502741,32.160086028744,350600.0
2000-01-18,53.31,53.31,50.63,50.88,550700.0,0.0,1.0,33.251632781077,33.251632781077,31.580006897504,31.735942147837,550700.0
2000-01-19,50.81,51.19,50.63,50.88,584500.0,0.0,1.0,31.692280277744,31.92930185825,31.580006897504,31.735942147837,584500.0
2000-01-20,51.75,52.25,50.56,51.13,292300.0,0.0,1.0,32.278596818997,32.590467319664,31.53634502741,31.89187739817,292300.0
2000-01-21,50.88,50.94,49.5,49.81,423400.0,0.0,1.0,31.735942147837,31.773366607917,30.875179565997,31.06853927641,423400.0
2000-01-24,49.94,50.5,48.31,48.38,304600.0,0.0,1.0,31.149625606584,31.49892056733,30.132927774411,30.176589644504,304600.0
2000-01-25,48.63,49.0,47.63,47.88,266600.0,0.0,1.0,30.332524894837,30.56330906533,29.708783893504,29.864719143837,266600.0
2000-01-26,48.5,48.56,46.5,46.75,220500.0,0.0,1.0,30.251438564664,30.288863024744,29.003956561997,29.159891812331,220500.0
2000-01-27,47.0,48.13,46.81,47.56,253400.0,0.0,1.0,29.315827062664,30.020654394171,29.197316272411,29.665122023411,253400.0
2000-01-28,47.81,47.81,46.31,46.63,383700.0,0.0,1.0,29.821057273744,29.821057273744,28.885445771744,29.085042892171,383700.0
2000-01-31,46.88,46.88,45.13,45.38,245800.0,0.0,1.0,29.240978142504,29.240978142504,28.149431390171,28.305366640504,245800.0
2000-02-01,45.31,45.63,44.94,45.63,979000.0,0.0,1.0,28.261704770411,28.461301890837,28.030920599917,28.461301890837,979000.0
2000-02-02,46.13,46.5,44.75,44.88,691900.0,0.0,1.0,28.773172391504,29.003956561997,27.912409809664,27.993496139837,691900.0
2000-02-03,43.25,46.88,42.63,46.63,995500.0,0.0,1.0,26.976798307664,29.240978142504,26.590078886838,29.085042892171,995500.0
2000-02-04,46.5,48.38,46.38,47.13,231200.0,0.0,1.0,29.003956561997,30.176589644504,28.929107641837,29.396913392837,231200.0
2000-02-07,47.0,47.0,45.13,45.38,403500.0,0.0,1.0,29.315827062664,29.315827062664,28.149431390171,28.305366640504,403500.0
2000-02-08,45.25,46.13,45.13,45.25,483500.0,0.0,1.0,28.224280310331,28.773172391504,28.149431390171,28.224280310331,483500.0
2000-02-09,45.13,45.13,44.5,44.63,537700.0,0.0,1.0,28.149431390171,28.149431390171,27.756474559331,27.837560889504,537700.0
2000-02-10,45.75,45.75,44.25,44.5,620500.0,0.0,1.0,28.536150810997,28.536150810997,27.600539308997,27.756474559331,620500.0
2000-02-11,43.75,44.44,43.75,44.0,850600.0,0.45,1.0,27.567757466598,28.002540384357,27.567757466598,27.725287509264,850600.0
2000-02-14,43.75,44.44,42.5,42.56,198600.0,0.0,1.0,27.567757466598,28.002540384357,26.780107253266,26.817914463506,198600.0
2000-02-15,42.94,44.63,42.94,44.56,2043200.0,0.0,1.0,27.057360128359,28.122263216783,27.057360128359,28.078154804837,2043200.0
2000-02-16,44.88,45.75,44.81,45.19,334900.0,0.0,1.0,28.279793259449,28.827997807928,28.235684847503,28.475130512356,334900.0
2000-02-17,45.44,45.5,43.75,44.06,297400.0,0.0,1.0,28.632660555022,28.670467765262,27.567757466598,27.763094719504,297400.0
2000-02-18,43.63,43.63,41.5,42.0,1266400.0,0.0,1.0,27.492143046118,27.492143046118,26.149987082601,26.465047167934,1266400.0
2000-02-22,42.75,42.81,41.38,41.63,286400.0,0.0,1.0,26.937637295933,26.975444506173,26.074372662122,26.231902704788,286400.0
2000-02-23,41.88,42.25,41.06,41.31,423900.0,0.0,1.0,26.389432747454,26.6225772106,25.872734207509,26.030264250175,423900.0
2000-02-24,41.19,41.19,39.38,39.81,481000.0,0.0,1.0,25.954649829695,25.954649829695,24.814132320791,25.085083994177,481000.0
2000-02-25,39.38,39.94,39.0,39.56,502900.0,0.0,1.0,24.814132320791,25.166999616364,24.574686655939,24.927553951511,502900.0
2000-02-28,41.0,41.38,39.63,40.75,410300.0,0.0,1.0,25.834926997269,26.074372662122,24.971662363458,25.677396954603,410300.0
2000-02-29,41.25,41.56,40.31,40.44,496200.0,0.0,1.0,25.992457039935,26.187794292841,25.40014407951,25.482059701696,496200.0
2000-03-01,40.88,42.19,40.63,41.94,462600.0,0.0,1.0,25.759312576789,26.58477000036,25.601782534123,26.427239957694,462600.0
2000-03-02,42.19,43.25,42.0,42.56,333400.0,0.0,1.0,26.58477000036,27.252697381265,26.465047167934,26.817914463506,333400.0
2000-03-03,42.63,44.06,42.63,43.5,216400.0,0.0,1.0,26.862022875453,27.763094719504,26.862022875453,27.410227423932,216400.0
2000-03-06,42.5,42.88,41.06,42.63,361600.0,0.0,1.0,26.780107253266,27.019552918119,25.872734207509,26.862022875453,361600.0
2000-03-07,41.75,43.19,41.63,42.25,441000.0,0.0,1.0,26.307517125268,27.214890171025,26.231902704788,26.6225772106,441000.0
