Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,47.94,48.13,46.25,46.75,7698700.0,0.0,1.0,35.79116246626,35.93301313102,34.529438132343,34.902729355396,7698700.0
2000-01-04,45.56,48.5,45.38,45.69,7399600.0,0.0,1.0,34.014296244531,36.209248636079,33.879911404232,34.111351962525,7399600.0
2000-01-05,45.0,45.44,42.0,44.75,6607300.0,0.0,1.0,33.596210074712,33.924706350998,31.356462736398,33.409564463186,6607300.0
2000-01-06,43.88,44.0,40.5,40.81,8556600.0,0.0,1.0,32.760037735075,32.849627628608,30.236589067241,30.468029625534,8556600.0
2000-01-07,40.94,45.44,40.75,45.44,10617800.0,0.0,1.0,30.565085343527,33.924706350998,30.423234678767,33.924706350998,10617800.0
2000-01-10,47.19,49.13,46.0,47.75,7491800.0,0.0,1.0,35.231225631682,36.679595577125,34.342792520817,35.6493118015,7491800.0
2000-01-11,47.88,48.0,42.75,43.94,5816400.0,0.0,1.0,35.746367519494,35.835957413026,31.916399570977,32.804832681841,5816400.0
2000-01-12,44.13,45.69,42.06,43.94,5797100.0,0.0,1.0,32.946683346601,34.111351962525,31.401257683164,32.804832681841,5797100.0
2000-01-13,44.86,45.88,44.0,45.25,4712100.0,0.0,1.0,33.491688532258,34.253202627284,32.849627628608,33.782855686238,4712100.0
2000-01-14,47.06,49.0,47.0,48.19,9562000.0,0.0,1.0,35.134169913688,36.582539859131,35.089374966922,35.977808077786,9562000.0
2000-01-18,48.75,50.0,47.5,48.5,7998500.0,0.0,1.0,36.395894247605,37.329122305236,35.462666189974,36.209248636079,7998500.0
2000-01-19,47.0,48.0,44.94,45.81,8774800.0,0.0,1.0,35.089374966922,35.835957413026,33.551415127946,34.200941856057,8774800.0
2000-01-20,47.31,48.0,45.69,46.88,7347300.0,0.0,1.0,35.320815525214,35.835957413026,34.111351962525,34.999785073389,7347300.0
2000-01-21,47.75,47.81,47.0,47.44,6005500.0,0.0,1.0,35.6493118015,35.694106748267,35.089374966922,35.417871243208,6005500.0
2000-01-24,47.94,48.5,44.25,44.5,6624800.0,0.0,1.0,35.79116246626,36.209248636079,33.036273240134,33.22291885166,6624800.0
2000-01-25,45.25,46.63,43.31,46.5,5160300.0,0.0,1.0,33.782855686238,34.813139461863,32.334485740795,34.716083743869,5160300.0
2000-01-26,46.94,47.06,43.56,43.75,4204200.0,0.0,1.0,35.044580020155,35.134169913688,32.521131352322,32.662982017081,4204200.0
2000-01-27,44.0,44.5,41.63,43.75,6997800.0,0.0,1.0,32.849627628608,33.22291885166,31.080227231339,32.662982017081,6997800.0
2000-01-28,43.63,45.25,42.56,43.19,5973100.0,0.0,1.0,32.573392123549,33.782855686238,31.774548906217,32.244895847263,5973100.0
2000-01-31,43.06,45.81,42.06,45.75,5542300.0,0.0,1.0,32.147840129269,34.200941856057,31.401257683164,34.156146909291,5542300.0
2000-02-01,45.88,48.0,44.0,47.94,7631700.0,0.0,1.0,34.253202627284,35.835957413026,32.849627628608,35.79116246626,7631700.0
2000-02-02,48.19,51.44,48.0,50.75,11365600.0,0.0,1.0,35.977808077786,38.404201027627,35.835957413026,37.889059139814,11365600.0
2000-02-03,51.88,57.88,51.88,57.25,13538700.0,0.0,1.0,38.732697303913,43.212191980541,38.732697303913,42.741845039495,13538700.0
2000-02-04,56.56,59.38,56.25,58.06,7889600.0,0.0,1.0,42.226703151683,44.332065649698,41.99526259339,43.34657682084,7889600.0
2000-02-07,58.5,60.0,58.5,60.0,4867600.0,0.0,1.0,43.675073097126,44.794946766283,43.675073097126,44.794946766283,4867600.0
2000-02-08,60.94,61.56,57.44,59.69,4968800.0,0.0,1.0,45.496734265622,45.959615382206,42.883695704255,44.563506207991,4968800.0
2000-02-09,59.56,59.56,57.31,57.81,5546900.0,0.0,1.0,44.466450489997,44.466450489997,42.786639986261,43.159931209314,5546900.0
2000-02-10,57.94,59.38,57.25,58.69,3553700.0,0.0,1.0,43.256986927307,44.332065649698,42.741845039495,43.816923761886,3553700.0
2000-02-11,58.75,58.88,56.63,56.94,4897400.0,0.0,1.0,43.861718708652,43.958774426646,42.27896392291,42.510404481203,4897400.0
2000-02-14,56.88,62.0,56.69,61.94,6033700.0,0.0,1.0,42.465609534436,46.288111658493,42.323758869676,46.243316711726,6033700.0
2000-02-15,61.25,63.81,57.94,61.88,5961700.0,0.0,1.0,45.728174823914,47.639425885942,43.256986927307,46.19852176496,5961700.0
2000-02-16,63.06,67.75,61.81,65.25,5181600.0,0.0,1.0,47.079489051364,50.580960723595,46.146260993733,48.714504608333,5181600.0
2000-02-17,66.63,69.5,64.63,69.06,4523200.0,0.0,1.0,49.744788383957,51.887480004278,48.251623491748,51.558983727992,4523200.0
2000-02-18,68.56,70.06,66.0,66.19,6288400.0,0.0,1.0,51.185692504939,52.305566174097,49.274441442911,49.416292107671,6288400.0
2000-02-22,65.63,68.06,64.19,67.25,5432600.0,0.0,1.0,48.998205937853,50.812401281887,47.923127215462,50.207669500542,5432600.0
2000-02-23,67.75,69.0,67.38,68.0,5458100.0,0.0,1.0,50.580960723595,51.514188781226,50.304725218536,50.767606335121,5458100.0
2000-02-24,69.0,72.38,68.19,72.13,5404900.0,0.0,1.0,51.514188781226,54.037637449059,50.909456999881,53.850991837533,5404900.0
2000-02-25,72.81,74.38,67.88,69.19,4654800.0,0.0,1.0,54.358667900885,55.530802341269,50.678016441588,51.656039445985,4654800.0
2000-02-28,68.63,72.13,64.38,70.25,4509800.0,0.0,1.0,51.237953276167,53.850991837533,48.064977880222,52.447416838856,4509800.0
2000-02-29,76.0,81.06,74.56,79.75,7445400.0,0.0,1.0,56.740265903959,60.517973081248,55.665187181568,59.539950076851,7445400.0
2000-03-01,84.0,84.5,74.5,74.69,9949200.0,0.0,1.0,62.712925472796,63.086216695849,55.620392234801,55.762242899561,9949200.0
2000-03-02,82.75,83.88,75.5,76.94,8379700.0,0.0,1.0,61.779697415165,62.623335579264,56.366974680906,57.442053403297,8379700.0
2000-03-03,81.75,85.0,80.0,83.13,4172900.0,0.0,1.0,61.033114969061,63.459507918901,59.726595688377,62.063398744685,4172900.0
2000-03-06,83.44,85.69,80.5,80.88,3505500.0,0.0,1.0,62.294839302978,63.974649806713,60.09988691143,60.38358824095,3505500.0
2000-03-07,83.38,84.25,79.0,82.0,3850100.0,0.0,1.0,62.250044356211,62.899571084322,58.980013242273,61.219760580587,3850100.0
2000-03-08,83.0,83.06,75.13,81.81,4891000.0,0.0,1.0,61.966343026692,62.011137973458,56.090739175847,61.077909915827,4891000.0
2000-03-09,80.69,82.75,77.25,82.69,3585100.0,0.0,1.0,60.24173757619,61.779697415165,57.673493961589,61.734902468399,3585100.0
2000-03-10,81.56,85.88,81.44,83.31,4729800.0,0.0,1.0,60.891264304301,64.116500471473,60.801674410768,62.197783584984,4729800.0
2000-03-13,79.3,81.38,78.0,79.13,4561300.0,0.0,1.0,59.203987976104,60.756879464002,58.233430796168,59.077068960266,4561300.0
2000-03-14,80.88,81.75,71.25,71.33,7018000.0,0.0,1.0,60.38358824095,61.033114969061,53.193999284961,53.25372588065,7018000.0
2000-03-15,72.5,74.81,65.56,69.19,8510600.0,0.0,1.0,54.127227342592,55.851832793094,48.945945166625,51.656039445985,8510600.0
2000-03-16,72.5,76.0,65.13,72.31,11099100.0,0.0,1.0,54.127227342592,56.740265903959,48.6249147148,53.985376677832,11099100.0
2000-03-17,71.5,75.56,71.5,75.5,5943200.0,0.0,1.0,53.380644896487,56.411769627672,53.380644896487,56.366974680906,5943200.0
2000-03-20,78.69,80.06,73.0,73.38,6858600.0,0.0,1.0,58.74857268398,59.771390635144,54.500518565644,54.784219895164,6858600.0
2000-03-21,74.5,77.31,71.5,77.0,5772100.0,0.0,1.0,55.620392234801,57.718288908356,53.380644896487,57.486848350063,5772100.0
2000-03-22,78.25,82.72,76.63,82.63,5509100.0,0.0,1.0,58.420076407694,61.757299941782,57.210612845005,61.690107521633,5509100.0
2000-03-23,81.69,85.0,79.0,84.38,3944600.0,0.0,1.0,60.988320022294,63.459507918901,58.980013242273,62.996626802316,3944600.0
2000-03-24,83.75,86.56,80.31,82.62,4638900.0,0.0,1.0,62.52627986127,64.624176534824,59.95803624667,61.682641697172,4638900.0
2000-03-27,83.19,88.44,83.19,86.81,4884100.0,0.0,1.0,62.108193691451,66.027751533501,62.108193691451,64.810822146351,4884100.0
2000-03-28,88.0,88.0,83.13,84.88,4020000.0,0.0,1.0,65.699255257215,65.699255257215,62.063398744685,63.369918025368,4020000.0
2000-03-29,84.75,86.25,77.88,80.44,6335100.0,0.0,1.0,63.272862307375,64.392735976532,58.143840902635,60.055091964664,6335100.0
2000-03-30,77.25,81.5,74.13,76.88,5546300.0,0.0,1.0,57.673493961589,60.846469357535,55.344156729743,57.397258456531,5546300.0
2000-03-31,78.0,83.0,74.75,82.81,5231300.0,0.0,1.0,58.233430796168,61.966343026692,55.807037846328,61.824492361932,5231300.0
2000-04-03,81.94,82.94,75.75,77.63,4140400.0,0.0,1.0,61.174965633821,61.921548079925,56.553620292432,57.957195291109,4140400.0
2000-04-04,78.69,81.5,62.88,77.09,9803600.0,0.0,1.0,58.74857268398,60.846469357535,46.945104211065,57.554040770213,9803600.0
2000-04-05,74.73,85.94,72.5,83.63,8509700.0,0.0,1.0,55.792106197406,64.161295418239,54.127227342592,62.436689967738,8509700.0
2000-04-06,83.88,85.0,78.38,80.81,4671700.0,0.0,1.0,62.623335579264,63.459507918901,58.517132125688,60.331327469722,4671700.0
2000-04-07,81.63,82.94,79.44,81.94,3306100.0,0.0,1.0,60.943525075528,61.921548079925,59.308509518559,61.174965633821,3306100.0
2000-04-10,82.44,82.63,75.19,75.38,4716100.0,0.0,1.0,61.548256856873,61.690107521633,56.135534122614,56.277384787374,4716100.0
2000-04-11,74.75,82.13,70.0,77.81,6481000.0,0.0,1.0,55.807037846328,61.31681629858,52.26077122733,58.091580131408,6481000.0
2000-04-12,78.0,80.0,71.75,71.94,5794700.0,0.0,1.0,58.233430796168,59.726595688377,53.567290508014,53.709141172773,5794700.0
2000-04-13,74.0,75.75,68.0,69.88,7816300.0,0.0,1.0,55.247101011749,56.553620292432,50.767606335121,52.171181333798,7816300.0
2000-04-14,68.0,69.81,55.0,58.13,8593900.0,0.0,1.0,50.767606335121,52.11892056257,41.062034535759,43.398837592067,8593900.0
2000-04-17,54.63,65.25,53.94,64.75,10288200.0,0.0,1.0,40.785799030701,48.714504608333,40.270657142888,48.34121338528,10288200.0
2000-04-18,67.0,70.13,63.5,69.5,6473100.0,0.0,1.0,50.021023889016,52.357826945324,47.40798532765,51.887480004278,6473100.0
2000-04-19,69.88,69.88,64.13,66.63,7338100.0,0.0,1.0,52.171181333798,52.171181333798,47.878332268696,49.744788383957,7338100.0
2000-04-20,66.5,67.63,64.5,67.56,4376600.0,0.0,1.0,49.647732665964,50.491370830062,48.154567773754,50.439110058835,4376600.0
2000-04-24,63.31,67.0,59.75,63.0,7275400.0,0.0,1.0,47.26613466289,50.021023889016,44.608301154757,47.034694104597,7275400.0
2000-04-25,64.94,70.38,64.06,70.38,6148200.0,0.0,1.0,48.48306405004,52.54447255685,47.826071497468,52.54447255685,6148200.0
2000-04-26,70.69,71.13,65.5,65.5,5235600.0,0.0,1.0,52.775913115143,53.104409391429,48.901150219859,48.901150219859,5235600.0
2000-04-27,63.19,73.38,62.13,72.63,6736600.0,0.0,1.0,47.176544769357,54.784219895164,46.385167376486,54.224283060586,6736600.0
2000-04-28,73.63,75.0,71.63,73.25,5355100.0,0.0,1.0,54.97086550669,55.993683457854,53.477700614481,54.687164177171,5355100.0
2000-05-01,74.88,75.0,69.75,71.63,7358300.0,0.0,1.0,55.904093564321,55.993683457854,52.074125615804,53.477700614481,7358300.0
2000-05-02,72.63,74.0,66.94,67.19,6187600.0,0.0,1.0,54.224283060586,55.247101011749,49.97622894225,50.162874553776,6187600.0
2000-05-03,65.75,68.25,63.5,66.81,4701200.0,0.0,1.0,49.087795831385,50.954251946647,47.40798532765,49.879173224256,4701200.0
2000-05-04,66.81,68.56,63.56,66.75,4688200.0,0.0,1.0,49.879173224256,51.185692504939,47.452780274416,49.83437827749,4688200.0
2000-05-05,65.69,69.5,65.63,68.88,4912000.0,0.0,1.0,49.043000884619,51.887480004278,48.998205937853,51.424598887693,4912000.0
2000-05-08,66.88,68.0,64.25,64.44,4390600.0,0.0,1.0,49.931433995484,50.767606335121,47.967922162228,48.109772826988,4390600.0
2000-05-09,65.22,65.31,62.0,62.38,4770400.0,0.0,1.0,48.69210713495,48.759299555099,46.288111658493,46.571812988012,4770400.0
2000-05-10,60.88,61.31,55.0,55.75,8505300.0,0.0,1.0,45.451939318855,45.77296977068,41.062034535759,41.621971370338,8505300.0
2000-05-11,57.25,61.0,55.0,59.44,5858000.0,0.0,1.0,42.741845039495,45.541529212388,41.062034535759,44.376860596464,5858000.0
2000-05-12,61.0,63.94,59.31,59.75,3151900.0,0.0,1.0,45.541529212388,47.736481603936,44.279804878471,44.608301154757,3151900.0
2000-05-15,60.25,64.13,57.0,64.06,3881900.0,0.0,1.0,44.981592377809,47.878332268696,42.555199427969,47.826071497468,3881900.0
2000-05-16,65.25,69.0,64.88,67.75,4829900.0,0.0,1.0,48.714504608333,51.514188781226,48.438269103274,50.580960723595,4829900.0
2000-05-17,65.13,69.13,64.25,66.13,3979800.0,0.0,1.0,48.6249147148,51.611244499219,47.967922162228,49.371497160905,3979800.0
2000-05-18,66.88,67.75,63.5,63.88,3398800.0,0.0,1.0,49.931433995484,50.580960723595,47.40798532765,47.691686657169,3398800.0
2000-05-19,65.38,65.63,60.19,61.25,4222700.0,0.0,1.0,48.811560326326,48.998205937853,44.936797431043,45.728174823914,4222700.0
2000-05-22,61.69,65.63,58.13,64.94,5868700.0,0.0,1.0,46.0566711002,48.998205937853,43.398837592067,48.48306405004,5868700.0
2000-05-23,64.67,66.63,60.75,61.13,5015700.0,0.0,1.0,48.281486789592,49.744788383957,45.354883600862,45.638584930381,5015700.0
2000-05-24,60.63,65.63,57.5,65.44,7786600.0,0.0,1.0,45.265293707329,48.998205937853,42.928490651021,48.856355273093,7786600.0
2000-05-25,65.0,69.63,63.88,67.0,5731100.0,0.0,1.0,48.527858996807,51.984535722272,47.691686657169,50.021023889016,5731100.0
2000-05-26,67.75,69.13,65.13,66.88,3409700.0,0.0,1.0,50.580960723595,51.611244499219,48.6249147148,49.931433995484,3409700.0
2000-05-30,68.5,75.13,68.06,75.06,6922200.0,0.0,1.0,51.140897558173,56.090739175847,50.812401281887,56.03847840462,6922200.0
2000-05-31,76.75,79.44,76.69,77.13,8618500.0,0.0,1.0,57.300202738537,59.308509518559,57.255407791771,57.583904068057,8618500.0
2000-06-01,77.5,82.0,77.13,81.75,7720700.0,0.0,1.0,57.860139573116,61.219760580587,57.583904068057,61.033114969061,7720700.0
2000-06-02,86.39,89.88,84.94,88.69,10962200.0,0.0,1.0,64.497257518987,67.102830255892,63.414712972135,66.214397145027,10962200.0
2000-06-05,87.94,90.19,84.94,86.75,5288700.0,0.0,1.0,65.654460310449,67.334270814185,63.414712972135,64.766027199584,5288700.0
2000-06-06,87.19,89.25,82.75,82.81,4491200.0,0.0,1.0,65.09452347587,66.632483314846,61.779697415165,61.824492361932,4491200.0
2000-06-07,83.88,85.75,81.13,85.69,3535700.0,0.0,1.0,62.623335579264,64.01944475348,60.570233852476,63.974649806713,3535700.0
2000-06-08,87.81,88.5,85.63,85.69,4028900.0,0.0,1.0,65.557404592455,66.072546480268,63.929854859947,63.974649806713,4028900.0
2000-06-09,87.81,89.19,87.0,89.06,4272600.0,0.0,1.0,65.557404592455,66.58768836808,64.95267281111,66.490632650086,4272600.0
2000-06-12,90.5,90.75,85.25,85.5,4189000.0,0.0,1.0,67.565711372477,67.752356984003,63.646153530427,63.832799141953,4189000.0
2000-06-13,84.5,92.13,83.5,92.0,4718000.0,0.0,1.0,63.086216695849,68.782640759628,62.339634249744,68.685585041634,4718000.0
2000-06-14,91.94,92.63,87.0,87.06,5034100.0,0.0,1.0,68.640790094868,69.15593198268,64.95267281111,64.997467757877,5034100.0
